Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,0,41349910965,10701227963,1143793549,0,0,-1364071700,8958999752,0,60789860529,-76120325052,-18760292207,15325039416,-431632116,-8958999752,-7062706801,25933727913,-24992901784,-34278229854,-17210479218,2513014511,0,0,-962151448,1000000,12948333,-15645667822,0,0,180944626531,-160909569812,0,-7722600000,0,12312456719,-37611440957,48015469624,0,10404028667
2011,0,15605148833,9354714683,2600871743,0,0,-1827562616,13432336802,0,39165509445,27233049294,27542127200,-54578252516,428900965,-13633305233,-3508697447,38238960,-5186052173,17501518495,-2386903665,795000000,0,0,0,0,0,-1591903665,0,0,156946645173,-165467092161,0,-5658860166,0,-14179307154,1730307676,10404028667,0,12134336343
2012,0,3305938343,1952279052,8048749898,810849,0,-1421673181,2859509988,0,14745614949,4475001536,2547842814,-19837617986,-3080057,-2859509988,-1861910463,0,-1114920000,-3908579195,-857501113,3454545,-4200013000,12100870203,0,0,2014350698,9061161333,0,0,-49913791411,58342704489,0,-12686758499,0,-4257845421,894736717,3803679675,-810849,4697605543
2013,0,6349853911,5961903269,13540212068,9747142,0,1300653327,7659102756,0,34821472473,16677225802,-11170653958,-12829692595,598640092,-7659102756,0,118042838,-1165420801,19390511095,-536223292,554545454,-1800000000,1800000000,0,0,101871231,120193393,0,0,159012101231,-167768427646,0,-3206145500,0,-11962471915,7548232573,6476435025,-411775,14024255823
2014,0,29615815686,5698627976,1166818422,-17560,0,-116854638,3829412485,0,40193802371,14905609834,-24653249414,11627560147,2119021410,-3829412485,-1130452293,0,-1307506580,37925372990,-8436763101,0,-2000000000,3000000000,0,0,116854638,-7319908463,0,0,214344372243,-234043867670,0,-3206145500,0,-22905640927,7699823600,14024255823,17560,21724096983
2015,0,44355100414,6892389107,14180114189,-3016589,0,67977601,3038729296,0,68531294018,-28379506922,-64405223379,75402563980,1150523968,-3038729296,-5528978979,0,-1644184950,42087758440,-7624437904,365000000,-5000000000,0,0,24828105000,902452203,13471119299,0,0,361284129669,-368618568994,0,-14107040200,0,-21441479525,34117398214,21724096983,3016589,55844511786
2016,0,54388452139,8362786106,15975639257,0,0,-2695312088,2639233579,0,78670798993,-43322588945,5631326468,6936176132,-516280875,-2639233579,-9663479206,0,-4302000000,30794718988,-19439762020,0,0,5000000000,0,0,2531001602,-11908760418,0,0,480731982676,-463207705324,0,-16066401314,0,1457876038,20343834608,55844511786,0,76188346394
2017,0,58845559694,10473607213,5652023357,-661531,0,-868923247,3434106593,0,77535712079,-106459646974,-36228237346,94204680222,1219503077,-3434106593,-12808700244,0,-4656298400,9372905821,-14044326563,0,0,0,0,0,2314341274,-11729985289,0,0,436554289260,-421020047612,0,-14033979200,0,1500262448,-856817020,76188346394,661531,75332190905
2018,0,49197188894,15213162900,-3960869727,-558863191,0,-828302840,7666838099,0,66729154135,-77922147454,-37076775324,62406935246,-450588716,-7666838099,-9987670777,0,-4228383182,-8196314171,-83594756677,2254156402,0,0,0,0,1227849227,-80112751048,0,0,508481186808,-433076465188,0,-14252291000,0,61152430620,-27156634599,75332190905,2687197,48178243503
2019,0,49804058525,21547055553,4055138931,-556175994,0,-514068552,11009535601,0,85345544064,23507753637,73922338273,-125492606398,2299803129,-11009535601,-11207687724,0,-5610192640,31755416740,-23808927959,601647706,0,0,0,0,556895422,-22650384831,0,0,377644235141,-381900718819,0,-17651950421,0,-21908434099,-12803402190,48178243503,0,35374841313
