Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2011,0,1809455470909,-22679633762,1786775837147,-1475818306313,310957530834,21529497879,-23446238820,-21368751269,-53525251485,-41514014891,214001523517,43164353495,-4348246708,38816106787,1350934469,254168564773,-61364145006,-1278636021,-62642781027,191525783746,2139228488,189386555258,2448,0
2012,0,1853649274875,-137194590967,1716454683908,-1380702040320,335752643588,15450928638,-43407983197,-35844990221,-75340031913,-56809267280,175646289836,35627109795,-899820117,34727289678,336514708,210710094222,-52463095395,1695128507,-50767966888,159942127334,-465077467,160407204801,1604,0
2013,0,2004114105118,-385587571879,1618526533239,-1249022338438,369504194801,4981945078,-50874416480,-40729150946,-92709445576,-60918406809,169983871014,27838501490,-3721761988,24116739502,471337859,194571948375,-50224167115,1646337205,-48577829910,145994118465,1041030511,144953087954,1450,0
2014,0,1959367282886,-213346847232,1746020435654,-1408383816895,337636618759,5424680374,-62180746123,-60836099868,-87923611339,-56231948567,136724993104,29493010269,-16377353108,13115657161,103428732,149944078997,-35668494293,-1557739374,-37226233667,112717845330,-3924686014,116642531344,1166,0
2015,0,1614655426740,-53066507566,1561588919174,-1150392991816,411195927358,9631916505,-141878758280,-141211578124,-81569738846,-53188580423,144771202167,10388481982,-5670344379,4718137603,0,149489339770,-40047821449,-406943704,-40454765153,109034574617,1742361422,107292213195,998,0
2016,0,1485574606065,-35896886856,1449677719209,-1042166787515,407510931694,3274262875,-129126877376,-124809192633,-70053062816,-52517627919,159682388474,10584345426,-3513924981,7070420445,0,166752808919,-36661451697,-1809511867,-38470963564,128281845355,6288379440,121993465915,1119,0
2017,0,1435254278630,-80953916036,1354300362594,-928942024951,425358337643,8466076928,-142628653653,-145743405983,-76177223098,-47331632809,168281257361,7195654309,-2402896641,4792757668,0,173074015029,-36931636939,553734092,-36377902847,136696112182,5960942695,130735169487,1189,1189
2018,0,1834026572560,-138024913235,1696001659325,-1228416691445,467584967880,1137265373,-132982463650,-133495031300,-96552962980,-51907746405,188202469679,9663611680,-29460358346,-19796746666,0,168405723013,-42268936920,-517301300,-42786238220,125619484793,5956636970,119662847823,1035,1035
2019,0,1956446530066,-393804014600,1562642515466,-1003107662049,559534853417,2026422956,-233104116807,-233104116807,-92241951192,-56815462470,186529733242,26221885266,-13261590033,12960295233,0,199490028475,-45923568945,277746830,-45645822115,153844206360,5462243703,148381962657,1287,1287
