Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2014,4,76904642499,-49196185053,-5721199707,-518394302,-275926310,721812023,-6631562638,0,15283186512,440592496,200000000,0,0,0,0,5235000,645827496,704810000,0,37851340800,-49358004244,0,-3561630635,0,-14363484079,1565529929,3836455287,0,5401985216
2015,1,68574897042,-52275518989,-7466439112,-484098217,-323545252,1020909928,-11815069081,0,-2768863681,-3011672000,0,0,0,0,0,7907773,-3003764227,8528760000,0,41995555548,-38904119465,0,-114274380,0,11505921703,5733293795,5401985216,0,11135279011
2015,2,86062952927,-68447924030,-5010218248,-540206629,-1216045145,484039904,-7467317735,0,3865281044,-770536800,0,0,0,0,0,8978415,-761558385,0,0,53078795165,-55215302622,0,-3806460,0,-2140313917,963408742,11135279011,0,12098687753
2015,3,57028893999,-41426170166,-5039219083,-439586923,-93745341,1257304645,-5941318736,982180966,5346158395,-1723355200,0,0,0,0,0,48424279,-1674930921,0,0,26200769250,-32884427906,0,-10383400,0,-6694042056,-3022814582,12098687753,0,9075873171
2015,4,73801691850,-62009182143,-8323088818,-419010968,-128570109,1278631246,-8140743007,0,-3940271949,-727289960,40000000,0,0,0,0,4748089,-682541871,0,0,46335908429,-35602372170,0,-4063720,0,10729472539,6106658719,9075873171,0,15182531890
2016,1,74933756387,-61697557925,-8338545406,-420825367,-214442280,356065881,-13925882843,1279294456,-9307431553,-1193464583,0,0,0,0,0,8426577,-1185038006,0,0,52732147618,-49382078728,0,-4196110,0,3345872780,-7146596779,15182531890,0,8035935111
2016,2,85556333536,-88519082882,-6989824460,-761886219,0,523719889,-6476808911,0,-16667549047,-4257155203,0,0,0,0,0,9352728,-4247802475,0,0,70049518580,-49514414714,0,-61510590,0,20473593276,-441758246,8035935111,0,7594176865
2016,3,86623602570,-74244697269,-7089827510,-1051643688,0,1026794441,-6178686737,1645164168,-914458193,-3530961364,0,0,0,0,0,11508655,-3519452709,0,0,59235328267,-44610924486,0,-5572972875,0,9051430906,4617520004,7594176865,0,12211696869
2016,4,101802332737,-75556505903,-6639114319,-831663014,-112035186,803581345,-5438722520,0,14027873140,-805292140,0,0,0,0,0,14131644,-791160496,13801920000,0,62789254512,-88626651812,0,-691918135,0,-12727395435,509317209,12211696869,0,12721014078
2017,1,65970026656,-52568876139,-6535020077,-873333955,-155626334,481034279,-13237302010,0,-6919097580,-2068683050,480000000,0,0,0,0,9911410,-1578771640,0,0,49143766555,-37708205738,0,-5334875,0,11430225942,2932356722,12721014078,0,15653370800
2017,2,84796934971,-58584990073,-6926584884,-946690751,-185847160,540930263,-5709118629,0,12984633737,-1855352209,10000000,0,0,0,0,9173293,-1836178916,0,0,46387161302,-57889135177,0,-42104025,0,-11544077900,-395623079,15653370800,0,15257747721
2017,3,110089755946,-75339344009,-7045809827,-857168100,-268776547,860013222,-7343091883,0,20095578802,-527450000,-10000000,0,0,0,0,8371827,-529078173,0,0,63320903369,-72269289037,0,1432685,0,-8946952983,10619547646,15257747721,0,25877295367
