Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2007,0,11440462220,0,0,0,0,0,0,0,0,11440462220,0,0,0,0,0,0,0,0,0,0,11440462220,-3758487454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7681974766,0,0,0,0,0,0,0,0,0,0,0,0,0,-6180109006,1501865760,11499328,0,11499328,0,1513365088,0,0,0,-417442995,0,1095922093,1095922093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,23069539684,0,0,0,0,0,0,0,0,6952930255,0,0,969524638,0,0,1185779283,1668031085,0,12293274423,0,23069539684,-32234460962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9164921278,0,0,0,0,0,0,0,0,0,0,0,0,0,-21857962595,-31022883873,1773431994,-240330638,1533101356,0,-29489782517,0,0,0,0,0,-29489782517,-29489782517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1833,0
2009,0,52500644640,0,0,0,0,0,0,0,0,28570368903,47272727,0,3886957482,0,0,5980103877,1426513082,0,12589428569,0,52500644640,-34184797459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18315847181,0,0,0,0,0,0,0,0,0,0,0,0,0,-22272656754,-3956809573,7036656541,-705927654,6330728887,0,2373919314,0,0,0,0,0,2373919314,2373919314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0
2010,0,76934600355,0,0,0,0,0,0,0,0,21102056436,0,0,906924732,0,0,21537480377,1787989334,0,31600149476,0,76934600355,-15137870945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61796729410,0,0,0,0,0,0,0,0,0,0,0,0,0,-29061908445,32734820965,392727634,-453452096,-60724462,0,32674096503,0,0,0,-1161548322,0,31512548181,31512548181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,0
2011,0,38819778263,0,0,0,0,0,0,0,0,9953350269,0,0,1409318184,3486783257,0,3130229047,20840097506,0,0,0,38819778263,-11498242423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27321535840,0,0,0,0,0,0,0,0,0,0,0,0,0,-26939148566,382387274,142485717,-243736599,-101250882,0,281136392,0,0,0,-176680940,0,104455452,104455452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2012,0,30775802098,0,0,0,0,0,0,0,0,6390437744,0,0,1552139455,0,0,4031607031,3431918204,0,15369699664,0,30775802098,-5327378685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25448423413,0,0,0,0,0,0,0,0,0,0,0,0,0,-22444421767,3004001646,42678979,-12821292,29857687,0,3033859333,0,0,0,-919773510,0,2114085823,2114085823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0
2013,0,26585172671,0,0,0,0,0,0,0,0,7911188280,0,0,1044454543,0,119248073,4021851929,2641818611,0,10846611235,0,26585172671,-10820593595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15764579076,0,0,0,0,0,0,0,0,0,0,0,0,0,-14231228145,1533350931,1196168808,-1153490963,42677845,0,1576028776,0,0,0,-422708855,0,1153319921,1153319921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
2014,0,35848402176,0,0,0,0,0,0,0,0,15480415242,0,0,2434272728,0,363414041,3028528178,2616840369,0,11924931618,0,35848402176,-11978764740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23869637436,0,0,0,0,0,0,0,0,0,0,0,0,0,-12115019260,11754618176,128366157,-133392995,-5026838,0,11749591338,0,0,0,-2569904455,0,9179686883,9179686883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0
2015,0,30788457518,0,0,0,0,0,0,0,0,8947026607,0,0,3101819869,0,418079351,3595852936,2468151385,0,12257527370,0,30788457518,-11236449948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19552007570,0,0,0,0,0,0,0,0,0,0,0,0,0,-12761592242,6790415328,102283963,0,102283963,0,6892699291,0,0,0,-1496200992,0,5396498299,5396498299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0
2016,0,22999202445,1872265498,1356362688,0,515902810,0,7693647925,0,0,8424514317,0,0,1792409093,0,545130298,0,0,0,2671235314,0,22999202445,-10793741474,-428076549,-125217080,-302859469,0,0,0,0,2252711,0,0,-7026358571,0,0,0,-838746050,-900292251,-1602520764,0,12205460971,2866659887,0,2866659887,0,0,0,0,0,0,0,0,0,0,-14928460286,143660572,24677822,0,24677822,0,168338394,168338394,0,-70907346,-70907346,0,97431048,97431048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2017,0,25023663781,7644726197,5391628467,0,2253097730,0,4257196107,0,0,9195995950,0,0,432454547,0,619633585,0,0,0,2873657395,0,25023663781,-14853117598,-642530257,-733084397,90554140,0,0,0,0,-2524817726,0,0,-8303162437,0,0,0,-1080433024,-784543370,-1517630784,0,10170546183,8811303419,0,8811303419,0,0,0,0,0,0,0,0,0,0,-18656458383,325391219,12000000,0,12000000,0,337391219,337391219,0,0,0,0,337391219,337391219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2018,0,24868797482,4745526807,2109777705,1590155952,1045593150,0,7152731161,0,0,11766632799,0,0,257777858,0,855219766,0,0,0,90909091,0,24868797482,-11846972445,-707844129,-316507757,-391336372,0,0,0,0,0,0,0,-9606171981,0,0,0,-1117083971,-415872364,0,0,13021825037,9408834945,0,9408834945,0,0,0,0,0,0,0,0,0,0,-20180396027,2250263955,109714800,-635300000,-525585200,0,1724678755,525859175,1198819580,-1081142769,-1081142769,0,643535986,643535986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0
2019,0,25272724491,1269137367,232755617,106644050,929737700,0,14909863790,0,0,8242674628,0,0,-46363637,0,897412343,0,0,0,0,0,25272724491,-38816995559,-16713345757,-14025000000,-2688345757,0,0,0,0,-12281454171,0,0,-8643248491,0,0,0,-881236071,-297711069,0,0,-13544271068,6753081538,0,6753081538,0,0,-22103883870,0,0,0,-22103883870,0,0,0,-29441034655,-58336108055,182718182,0,182718182,0,-58153389873,-55571688166,-2581701707,0,0,0,-58153389873,-58153389873,0,0,0,0,0,0,0,0,0,0,-58153389873,-58153389873,0,0,-838.55,0
