Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2014,4,166153627191,-174083921105,-2815119957,0,-192674451,-28742107633,93152394358,0,53472198403,0,198300000,0,0,0,0,1675868812,1874168812,0,0,0,0,0,-63053465900,0,-63053465900,-7707098685,95391599207,0,87684500522
2015,1,34758127647,-55875904063,-3495853277,0,-9541788627,13662817443,-41811889674,0,-62304490551,0,0,0,0,0,0,316598879,316598879,0,0,0,0,0,0,0,0,-61987891672,87684500522,0,25696608850
2015,2,109066398402,-26414510350,-2576413910,0,3000000000,5181716852,-81438202415,0,6818988579,0,454779063,0,0,0,0,397760062,852539125,0,0,0,0,0,0,0,0,7671527704,25696608850,0,33368136554
2015,3,83160203256,-12773948571,-2337892964,0,16458099917,17086716013,-25977374208,0,75615803443,0,109559000,0,0,0,0,1008602225,1118161225,0,0,0,0,0,0,0,0,76733964668,33368136554,0,110102101222
2015,4,64965915157,-110100854119,-2659792041,0,-20863576536,22811381921,-7736139807,0,-53583065425,0,2835000,0,0,0,0,1280316362,1283151362,0,0,0,0,0,0,0,0,-52299914063,110102101222,0,57802187159
2016,1,147840376149,-99049448337,-6878389995,0,-23293699406,17223907954,-27810033668,0,8032712697,0,0,0,0,0,0,192088576,192088576,0,0,0,0,0,0,0,0,8224801273,54802187159,0,63026988432
2016,2,0,0,0,0,0,0,0,0,71933936354,0,27272727,0,0,0,0,424113155,451385882,0,0,0,0,0,0,0,0,72385322236,63026988432,0,135412310668
2016,3,0,0,0,0,0,0,0,0,-108436068904,0,-25272727,0,0,0,0,646242294,620969567,0,0,20523020156,0,0,0,0,20523020156,-87292079181,111612166125,0,24320086944
2016,4,18880619388,-36383933369,-3846799352,-53023,-1143831396,-12187416223,20803943322,0,-13877470653,0,-2000000,0,0,-27798714070,25000000000,15210222381,12409508311,0,0,4479233840,0,0,0,0,4479233840,3011271498,48120231487,0,51131502985
2017,1,194040737729,-93741909338,-5967028644,0,-11132105801,49233025061,-108994483702,0,23438235305,0,12561383,0,0,-42851285930,0,173342091,-42665382456,0,0,42390000000,-25002253996,0,0,0,17387746004,-1839401147,50631301637,0,48791900490
