Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2011,3,12879817911898,-9797589605016,3082228306882,578283710824,-177445466169,400838244655,102993022281,-109980459598,-14975810012,390827119279,-299126415190,91700704089,22768822741,3575572831038,-1885522756025,1690050075013,-1117498904751,572551170262,-125536323592,0,-125536323592,458883601077,11868754407,0
2012,1,12702740292988,-9835390460399,2867349832589,646867191444,-142934698094,503932493350,61172513892,48647198904,-17895177634,134231632628,-113026819198,21204813430,22679076016,3507090750547,-1614518272905,1892572477642,-27100914865,1865471562777,-463490113476,0,-463490113476,1394599087796,-7382361505,0
2012,2,12993931814119,-9158674968589,3835256845530,726929438744,-145304741197,581624697547,92850959595,59837404089,114897293416,449739723515,-178674640735,271065082780,119534299593,5075066582550,-1879383796417,3195682786133,-2872855395635,322827390498,-51508338610,0,-51508338610,265506870763,-5812181125,0
2012,3,11204500978837,-8413278730383,2791222248454,636282637186,-132934093598,503348543588,84459061972,2044386622,-17358971408,155017648508,-124264825332,30752823176,8741286493,3403209378897,-1288526950430,2114682428467,-1675435145786,439247282681,-98027499875,0,-98027499875,337511944823,-3707837983,0
2012,4,11477872826182,-7639513597537,3838359228645,746627678872,-194232220980,552395457892,91650100839,58092139345,-9647934324,518048025829,-224909969140,293138056689,-72960898701,4751026150385,-1929854667475,2821171482910,-1073085083127,1748086399783,-443743563868,0,-443743563868,1304819313543,476477628,0
2013,1,10634491010787,-7510952093220,3123538917567,667497950734,-152555999465,514941951269,40598286796,136005381759,1082893450,247274925997,-177667603770,69607322227,38466491992,3924241245060,-1602315864948,2321925380112,-807370631771,1514554748341,-368917251298,0,-368917251298,1141531723588,-4105773455,0
2013,2,11147558989213,-7663264906780,3484294082433,883007049266,-174536000535,708471048731,14792713204,67868618241,-29838893450,487584074003,-261881396230,225702677773,171909508008,4643199754940,-1768043135052,2875156619888,-1810859368229,1064297251659,-232770748702,0,-232770748702,827692276412,-3834226545,0
2013,3,10703489187756,-7442007010801,3261482176955,796434250950,-228756791793,567677459157,29432658571,90098768607,41193504925,365164902699,-174483293634,190681609065,110873422853,4291439600133,-1406221445039,2885218155094,-1403833904770,1481384250324,-342870281964,0,-342870281964,1132409429194,-6104539166,0
2013,4,11799927610422,-7600587757450,4199339852972,966409755107,-301683480004,664726275103,77979640957,168328220044,909244434106,823690479424,-351050070080,472640409344,15052124121,6507310956647,-2743049129289,3764261827358,-2513834782907,1250427044451,-301028003514,0,-301028003514,944897729216,-4501311721,0
2014,1,10937928468451,-7440004362139,3497924106312,842449040024,-237283891361,605165148663,202793324359,60787050122,-21580894243,249775083905,-84698329130,165076754775,92929500347,4603094990335,-1959430988360,2643664001975,-694875798034,1948788203941,-404072698466,0,-404072698466,1536478223642,-8237281833,0
2014,2,11407430531549,-7274471637861,4132958893688,1011809959976,-241957108639,769852851337,18602675641,-40843050122,-7282105757,519944916095,-138914670870,381030245225,100270499653,5354590009665,-2667846011640,2686743998025,-2172253201966,514490796059,-115373301534,5205000000,-110168301534,395227776358,-9094718167,0
2014,3,11125977853972,-7566685484203,3559292369769,963183689939,-318679551167,644504138772,78456834394,156016893654,21352147454,439784812601,-113645714084,326139098517,127973877180,4913735359740,-1883557201448,3030178158292,-1046935463188,1983242695104,-391966530663,-5411083347,-397377614010,1574004080370,-11861000724,0
2014,4,9537214590843,-4858831336198,4678383254645,1250764234864,-381679471228,869084763636,-34786166722,32280418878,1213452312055,1401447696393,-509725433639,891722262754,50403135948,7700539981194,-2894397624554,4806142356640,-2945923320332,1860219036308,-403025284118,0,-403025284118,1449100655379,-8093096811,0
2015,1,11392173000000,-6800706000000,4591467000000,786371000000,-330311000000,456060000000,21255000000,-36644000000,-9615000000,481283000000,-258788000000,222495000000,33662000000,5278680000000,-2026739000000,3251941000000,-978825000000,2273116000000,-408080000000,0,-408080000000,1854649000000,-10387000000,0
2015,2,10812487000000,-6909310000000,3903177000000,959439000000,-367451000000,591988000000,30967000000,-97901000000,56612000000,1075226000000,-84163000000,991063000000,184724000000,5660630000000,-2334678000000,3325952000000,-2481651000000,844301000000,-215005000000,2125000000,-212880000000,616456000000,-14965000000,0
2015,3,13161877000000,-7937165000000,5224712000000,1010011000000,-448682000000,561329000000,-68597000000,6377000000,-361221000000,760925000000,-329682000000,431243000000,248455000000,6042298000000,-3125230000000,2917068000000,-499301000000,2417767000000,-398377000000,-2125000000,-400502000000,2009668000000,-7597000000,0
