Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2005,0,7319180000000,-4267669000000,0,44224000000,460747000000,269970000000,-1286984000000,-229662000000,2309806000000,150000000000,-5876844000000,-2689665000000,0,-13395619000000,0,-1526237000000,-88507000000,-4284785000000,-379362000000,19763260000000,0,976864000000,0,0,10511000000,-5030578000000,0,0,0,-5030578000000,-386209000000,9443000000,0,0,0,0,-39526000000,305000000,0,-415987000000,44550000000,0,0,0,0,-4456000000,40094000000,-5406471000000,8897838000000,0,3491367000000
2006,0,11220872000000,-6781337000000,392994000000,107725000000,221513000000,31767000000,-792143000000,-175054000000,4226337000000,0,4767778000000,-3009817000000,0,-16453321000000,0,-3248859000000,-70417000000,2079413000000,-595758000000,29764147000000,0,6243522000000,0,0,582461000000,24285486000000,0,0,0,24285486000000,-919907000000,2414000000,0,0,0,0,-110976000000,0,34416000000,-994053000000,62387000000,0,0,0,-127097000000,0,-64710000000,23226723000000,12805919000000,0,36032642000000
2007,0,14965624000000,-9759190000000,624190000000,139647000000,159830000000,1255376000000,-1096516000000,-85902000000,6203059000000,0,-4227623000000,-10756284000000,-31644000000,-33344016000000,0,-1900927000000,-745387000000,2331392000000,5212180000000,28839826000000,0,1322119000000,0,0,948632000000,-6148673000000,0,0,0,-6148673000000,-563249000000,1797000000,0,0,0,0,-1463109000000,0,65747000000,-1958814000000,1736050000000,0,0,0,-231989000000,0,1504061000000,-6603426000000,36032642000000,0,29429216000000
2008,0,21646047000000,-15304376000000,1002888000000,790779000000,-838813000000,1188268000000,-2679100000000,-477570000000,5328123000000,0,1113598000000,-2876422000000,28086000000,-28998967000000,0,-1418326000000,279837000000,-1243419000000,798260000000,28061246000000,0,-2958301000000,11128934000000,0,2818983000000,12061632000000,0,-287238000000,0,11774394000000,-703873000000,5272000000,-56000000,0,0,0,-1488851000000,721780000000,102728000000,-1363000000000,0,863216000000,0,0,0,0,863216000000,11274610000000,29429216000000,0,40703826000000
2009,0,21051296000000,-15606684000000,1404125000000,208866000000,147148000000,444706000000,-4131535000000,-423728000000,3094194000000,0,185155000000,-3305319000000,3557000000,-45419388000000,0,-384736000000,-1779180000000,5945454000000,5778989000000,23883447000000,202915000000,13020583000000,-1632871000000,0,-674863000000,-1082063000000,0,-542333000000,0,-1624396000000,-537520000000,0,0,0,0,0,-308864000000,234200000000,156896000000,-455288000000,0,1741250000000,0,0,0,0,1741250000000,-338434000000,40703826000000,0,40365392000000
2010,0,28556414000000,-19656434000000,1776528000000,288675000000,-290740000000,480325000000,-5008485000000,-713812000000,5432471000000,-4779654000000,1070036000000,0,-235825000000,-47789667000000,0,-1425999000000,38510000000,-6715205000000,13739476000000,57869670000000,8298620000000,0,-8794732000000,0,-2526854000000,14180847000000,0,-728636000000,0,13452211000000,-1212285000000,5992000000,-993000000,0,0,0,-245395000000,865461000000,140114000000,-447106000000,3614804000000,0,0,0,0,0,3614804000000,16619909000000,40365392000000,0,56985301000000
2011,0,43908528000000,-31079353000000,2157205000000,314418000000,-11245000000,574299000000,-6332489000000,-1199864000000,8331499000000,0,-6537752000000,-1773682000000,5698000000,-39745545000000,0,-3856585000000,1984814000000,7808493000000,7422621000000,-1867661000000,0,27869720000000,-2893241000000,0,-815362000000,-4066983000000,0,0,0,-4066983000000,-597543000000,2910000000,-1303000000,0,0,0,-2017783000000,151777000000,115046000000,-2346896000000,0,44550000000,0,0,-1696700000000,0,-1652150000000,-8066029000000,56985301000000,0,48919272000000
2012,0,30084156000000,-20643229000000,1442672000000,0,0,788848000000,-4525990000000,-969448000000,6177009000000,0,-19279882000000,-3108410000000,20304000000,-34344962000000,0,-5401220000000,241970000000,-23792424000000,9302179000000,43569493000000,16319000000,5154885000000,19279830000000,0,-3810459000000,-5975368000000,0,0,0,-5975368000000,-1172425000000,3323000000,-582000000,0,0,0,-26090000000,0,100587000000,-1095187000000,0,0,0,0,0,0,0,-7070555000000,44957730000000,0,37887175000000
2013,0,40965572000000,-28604214000000,2461476000000,1358971000000,0,905032000000,-6580671000000,-1089103000000,9417063000000,0,15490854000000,-18325664000000,-239872000000,-51111383000000,0,-6587624000000,-1930314000000,2462393000000,8248388000000,38446094000000,-16319000000,1911357000000,5198532000000,0,314092000000,3277597000000,0,-531000000,0,3277066000000,-1467290000000,4079000000,-844000000,0,0,0,-527867000000,170232000000,152530000000,-1669160000000,2670562000000,0,0,-532902000000,0,0,2137660000000,3745566000000,37887175000000,0,41632741000000
2014,0,42632010000000,-26431048000000,1802735000000,1626903000000,0,1595446000000,-7955314000000,-1511292000000,11759440000000,0,-7466790000000,-30038012000000,314632000000,-54658049000000,0,-6499428000000,-479092000000,-258179000000,38387642000000,105452800000000,0,-31800154000000,-13177322000000,0,655856000000,12193344000000,0,-682000000,0,12192662000000,-1383674000000,1671000000,-3177000000,0,0,0,-400000000000,303139000000,248867000000,-1233174000000,0,0,0,-2389521000000,0,0,-2389521000000,8569967000000,41632741000000,0,50202708000000
