Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2009,4,289435897822,0,0,0,0,0,0,0,0,25855049605,63536364,1719575659,57318182,0,0,104952377977,0,0,156788040035,-122792852,289313104970,-301803744572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12490639602,0,0,0,0,0,0,0,0,0,0,0,0,0,-8964383617,-21455023219,85500000,-5485000,80015000,0,-21375008219,0,0,0,-50945647008,30666365663,-41654289564,-48330000580,0,-6675711016,0,0,0,0,0,0,0,0,0,0,0,0,403,0
2010,1,395343250374,0,0,0,0,0,0,0,0,11901876844,0,5430182,0,0,0,125417906477,0,0,258018036871,-49562147,395293688227,-286641141557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108652546670,0,0,0,0,0,0,0,0,0,0,0,0,0,-5815407503,102837139167,0,0,0,0,102837139167,0,0,0,-25709284792,0,77127854375,77127854375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.73,0
2010,2,398685470616,0,0,0,0,0,0,0,0,17173906726,3000000000,2181917807,123863637,0,0,136611541094,0,0,239594241352,-4934292,398680536324,-380006178794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18674357530,0,0,0,0,0,0,0,0,0,0,0,0,0,-6553679744,12120677786,0,0,0,0,12120677786,0,0,0,-14752698137,10409105937,7777085586,7777085586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
2010,3,403754788420,0,0,0,0,0,0,0,0,9829708643,0,-2801095890,25000000,0,0,168117058728,0,0,228584116939,-37715680,403717072740,-326847954030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76869118710,0,0,0,0,0,0,0,0,0,0,0,0,0,-7259980154,69609138556,0,0,0,0,69609138556,0,0,0,-22824798529,0,46784340027,46784340027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,453408270180,0,0,0,0,0,0,0,0,9573677195,0,2387860665,83274000,0,0,192236324074,0,0,249127134246,-10687931,453397582249,-357680464677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95717117572,0,0,0,0,0,0,0,0,0,0,0,0,0,-8868913771,86848203801,0,0,0,0,86848203801,0,0,0,-56035200368,31460418904,62273422337,62273422337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29374,0
2011,1,416647328396,0,0,0,0,0,0,0,0,5981234152,45454545,60327273,200000000,0,0,125762616246,0,0,284597696180,-12713979,416634614417,-403903827317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12730787100,0,0,0,0,0,0,0,0,0,0,0,0,0,-6229690262,6501096838,0,0,0,0,6501096838,0,0,0,-1625274210,0,4875822628,4875822628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2011,2,413694610505,0,0,0,0,0,0,0,0,5380369863,-45454545,2257605171,149090909,0,0,152317880623,0,0,253635118484,-63906172,413630704333,-360422007837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53208696496,0,0,0,0,0,0,0,0,0,0,0,0,0,-7142733758,46065962738,0,0,0,0,46065962738,0,0,0,1625274210,-11396039235,36295197713,36295197713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0
2011,3,270009388894,0,0,0,0,0,0,0,0,6679514777,0,58874000,117818182,0,0,138861015243,0,0,124292166692,-25161430,269984227464,-211579813460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58404414004,0,0,0,0,0,0,0,0,0,0,0,0,0,-7389960051,51014453953,0,0,0,0,51014453953,0,0,0,0,0,51014453953,51014453953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.63,0
2011,4,224549903625,0,0,0,0,0,0,0,0,8551737241,0,2038082193,502681817,0,0,135513236464,0,0,77944165910,-21247498,224528656127,-187798881543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36729774584,0,0,0,0,0,0,0,0,0,0,0,0,0,-8383405300,28346369284,0,0,0,0,28346369284,0,0,0,0,-13680286472,14666082812,14666082812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
2012,1,209148259242,0,0,0,0,0,0,0,0,7756494979,0,109090909,1826000000,0,0,140287584596,0,0,59169088758,0,209148259242,-148856280632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60291978610,0,0,0,0,0,0,0,0,0,0,0,0,0,-6723792410,53568186200,480870,0,480870,0,53568667070,0,0,0,-19963307644,4524894928,38130254354,38130254354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.86,0
