Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2005,0,10666106000000,162311000000,326114000000,2632576000000,2632576000000,0,0,1942620000000,1942620000000,0,0,5293062000000,5293062000000,0,0,0,0,0,0,0,0,11838000000,11838000000,0,0,0,148652000000,148652000000,0,0,0,148933000000,0,0,0,148933000000,0,0,10666106000000,9656701000000,150102000000,2903954000000,2903954000000,0,6195072000000,0,110877000000,0,296696000000,1009405000000,831266000000,617660000000,0,213235000000,0,0,371000000,50343000000,0,0,127796000000,0,0,1327915000000,914415000000,780273000000,134142000000,0,413500000000,0,0,0,0,0,413500000000,478565000000,0,0,0,0,0,0,0,0
2006,0,17326353000000,203940000000,409281000000,4458308000000,4458308000000,0,0,2876804000000,2876804000000,0,0,8696101000000,8696101000000,0,0,0,0,0,0,0,0,30783000000,30783000000,0,0,0,338301000000,338301000000,0,0,0,312835000000,0,0,0,312835000000,0,0,17326353000000,15564666000000,57883000000,5070852000000,5070852000000,0,9566043000000,0,277307000000,192242000000,400339000000,1761687000000,1504313000000,1500000000000,0,3942000000,0,0,371000000,86253000000,0,0,171121000000,0,0,1808914000000,1169369000000,1022665000000,146704000000,0,639545000000,0,0,0,0,0,639545000000,517143000000,0,0,0,0,0,0,0,0
2007,0,39542496000000,496173000000,1298682000000,9303685000000,9303685000000,0,0,6842172000000,6842172000000,0,0,20486131000000,20486131000000,0,0,0,0,0,0,0,0,36930000000,0,0,36930000000,0,436970000000,436970000000,0,0,0,641753000000,0,0,0,641753000000,0,0,39542496000000,35969080000000,301993000000,8458903000000,8458903000000,0,24476576000000,1775931000000,161170000000,0,794507000000,3573416000000,2998458000000,2521308000000,0,476779000000,0,0,371000000,146322000000,0,0,428636000000,0,0,6803471000000,5455192000000,4710503000000,744689000000,0,1348279000000,0,0,0,0,0,1348279000000,0,0,0,0,0,0,0,0,0
2008,0,59098962000000,1565968000000,2296574000000,15647089000000,15647089000000,0,0,150308000000,209930000000,-59622000000,29907000000,26018985000000,26343017000000,-324032000000,0,0,0,10347261000000,6970969000000,3464988000000,-88696000000,66425000000,0,0,72165000000,-5740000000,564262000000,452772000000,0,111490000000,0,2412183000000,1424335000000,877829000000,0,110019000000,0,0,59098962000000,53473554000000,0,8970269000000,8195555000000,774714000000,39617723000000,0,231961000000,2761793000000,1891808000000,5625408000000,4705788000000,3642015000000,0,1063402000000,0,0,371000000,283177000000,0,0,636443000000,0,0,5162518000000,2283271000000,0,0,2283271000000,2879247000000,0,0,0,0,0,2879247000000,3198933000000,0,0,0,0,0,0,0,3198933000000
2009,0,92581504000000,1973057000000,2719744000000,26268954000000,25899195000000,379049000000,-9290000000,425261000000,425265000000,-4000000,46512000000,41580370000000,42092767000000,-512397000000,0,0,0,13608323000000,10311480000000,3296843000000,0,65668000000,0,0,65668000000,0,700901000000,585114000000,0,115787000000,0,5192714000000,3889531000000,1112806000000,21942000000,168619000000,0,-184000000,92581504000000,85257678000000,3932348000000,10346086000000,7706966000000,2639120000000,62347400000000,0,1632826000000,5036565000000,1962453000000,7323826000000,5400788000000,5400417000000,0,0,0,0,371000000,472210000000,0,0,1450828000000,0,0,10269234000000,4186579000000,0,0,4186579000000,6082655000000,0,0,0,0,0,6082655000000,1349443000000,0,0,0,0,0,0,0,1349443000000
2010,0,150291215000000,4316209000000,2752951000000,46263196000000,46261196000000,2000000000,0,488186000000,566608000000,-78422000000,0,52316862000000,52927857000000,-610995000000,0,0,0,31612764000000,27133053000000,4491211000000,-11500000000,69645000000,0,0,69645000000,0,1003907000000,831259000000,0,172648000000,0,11467495000000,8747242000000,2219043000000,23922000000,477472000000,0,-184000000,150291215000000,140902054000000,8091316000000,27783114000000,22199978000000,5583136000000,80550753000000,52888000000,6641090000000,15024217000000,2758676000000,9389161000000,6932555000000,6932184000000,371000000,0,0,0,0,691111000000,0,0,1765495000000,0,0,11005528000000,5594889000000,0,0,5594889000000,5410639000000,0,0,0,0,0,5410639000000,2938142000000,0,0,0,0,0,0,0,2938142000000
2011,0,180531163000000,5115002000000,4465664000000,43190766000000,43190766000000,0,0,283574000000,437134000000,-153560000000,54272000000,62562406000000,63451465000000,-889059000000,0,0,0,48342033000000,43847690000000,4519013000000,-24670000000,76905000000,0,0,76905000000,0,1191224000000,964923000000,0,226301000000,21121000000,15228196000000,10301030000000,4471852000000,35203000000,420370000000,0,-259000000,180531163000000,168015361000000,3317602000000,48132743000000,38188455000000,9944288000000,88647779000000,0,252398000000,23094145000000,4570694000000,12515802000000,8788450000000,8788079000000,0,0,0,0,371000000,1059195000000,0,0,2668157000000,0,0,17756197000000,8888624000000,0,0,8888624000000,8867573000000,0,0,0,0,0,8867573000000,978406000000,0,0,0,0,0,0,0,978406000000
2012,0,179933598000000,4529185000000,5576747000000,31299956000000,21159534000000,10196333000000,-55911000000,768958000000,800370000000,-31412000000,40868000000,67136307000000,68261442000000,-1125135000000,0,0,0,46654293000000,43895517000000,3092452000000,-333676000000,92825000000,0,0,92825000000,0,1146424000000,819766000000,0,326658000000,1329393000000,21358642000000,15173649000000,5895197000000,34765000000,297964000000,0,-42933000000,179933598000000,166644022000000,0,39170405000000,14920718000000,24249687000000,111462288000000,0,127953000000,10450843000000,5432533000000,13289576000000,8848079000000,8848079000000,0,0,0,0,0,3475744000000,0,0,965753000000,0,0,7426416000000,0,0,0,0,7426416000000,0,0,0,0,0,7426416000000,14762075000000,0,0,0,0,0,0,7240069000000,7522006000000
2013,0,158896663000000,2291494000000,2830794000000,15420747000000,11856655000000,3599224000000,-35132000000,919608000000,921035000000,-1427000000,0,69088680000000,70274919000000,-1186239000000,0,0,0,49845591000000,46169754000000,3693837000000,-18000000000,128625000000,0,0,128625000000,0,1032737000000,656656000000,0,376081000000,1421469000000,15916918000000,10345060000000,5256518000000,28578000000,337896000000,0,-51134000000,158896663000000,144976594000000,0,15224974000000,4565048000000,10659926000000,119977924000000,73157000000,64137000000,5643295000000,3993107000000,13920069000000,8878079000000,8878079000000,0,0,0,0,0,4372389000000,0,0,669601000000,0,0,11338315000000,0,0,0,0,11338315000000,7297000000,2465589000000,1425112000000,212321000000,0,7227996000000,18000976000000,0,0,0,0,0,0,9240217000000,8760759000000
2014,0,175901794000000,2723642000000,1168265000000,18922460000000,9588234000000,9343996000000,-9770000000,2086246000000,2089318000000,-3072000000,0,79347790000000,80307567000000,-959777000000,0,0,0,54978730000000,49704301000000,6197583000000,-923154000000,693788000000,0,0,697630000000,-3842000000,1036505000000,657032000000,0,379473000000,1389389000000,13554979000000,10376418000000,3341124000000,17498000000,606412000000,0,-786473000000,175901794000000,160915744000000,0,19471408000000,7846677000000,11624731000000,131689810000000,18409000000,67266000000,6253623000000,3415228000000,14986050000000,8878079000000,8878079000000,0,0,0,0,0,4551560000000,0,0,1556411000000,0,0,7340871000000,0,0,0,0,7340871000000,5953000000,0,0,0,0,7334918000000,36957979000000,0,0,0,0,0,0,8535196000000,28422783000000
