Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2010,2,2592844670000,-1778815800000,814028870000,169867600000,-65890540000,103977060000,26757390000,-1707180000,-635040000,30244870000,-2386890000,27857980000,1907240000,972186320000,-445724180000,526462140000,-141984990000,384477150000,0,0,0,384477150000,0,0
2012,1,5058726560000,-3740406630000,1318319930000,222854030000,-75428690000,147425340000,18622880000,86014700000,9017660000,316658970000,-50703300000,265955670000,5962220000,1851318400000,-825824960000,1025493440000,2592780000,1028086220000,0,0,0,1028086220000,0,0
2012,2,4671125540000,-3238826740000,1432298800000,313927720000,-85940380000,227987340000,-29849760000,-12218280000,-96194530000,-114106070000,-79726480000,-193832550000,18783870000,1346974890000,-574287100000,772687790000,-170345000000,602342790000,0,0,0,602342790000,0,0
2012,3,4217842070000,-2804128470000,1413713600000,258904170000,-107755280000,151148890000,-46348590000,-89923980000,-64694740000,141422970000,-132673350000,8749620000,156030000,1372800830000,-614785750000,758015080000,-154585860000,603429220000,0,0,0,603429220000,0,0
2012,4,3675170000000,-2723929000000,951241000000,255600000000,-216759000000,38841000000,-81288000000,18829000000,-23171000000,1424007000000,-1158314000000,265693000000,5090000000,1175235000000,-1263207000000,-87972000000,-1128030000000,-1216002000000,0,0,0,-1216002000000,0,0
2013,1,3781622000000,-2491596000000,1290026000000,233743000000,-111262000000,122481000000,18060000000,36508000000,21655000000,239881000000,-107994000000,131887000000,6007000000,1626624000000,-912386000000,714238000000,-316847000000,397391000000,0,0,0,397391000000,0,0
2013,2,3223030000000,-2302487000000,920543000000,320029000000,-75755000000,244274000000,-61209000000,163825000000,-21655000000,157447000000,-32399000000,125048000000,8319000000,1379145000000,-770788000000,608357000000,-353176000000,255181000000,-160363000000,0,-160363000000,94818000000,0,0
2013,3,3168474000000,-2150263000000,1018211000000,285720000000,-134626000000,151094000000,-118346000000,13473000000,83229000000,160821000000,-39604000000,121217000000,14141000000,1283019000000,-872972000000,410047000000,-312732000000,97315000000,-44696000000,869000000,-43827000000,53488000000,0,0
2013,4,3108179000000,-2001297000000,1106882000000,310546000000,-92152000000,218394000000,39994000000,-6010000000,-36389000000,183129000000,-147148000000,35981000000,196000000,1359048000000,-799519000000,559529000000,-431209000000,128320000000,-32080000000,0,-32080000000,96240000000,0,0
2014,1,3174903000000,-1881120000000,1293783000000,537926000000,-102861000000,435065000000,20575000000,40145000000,30382000000,138768000000,-417528000000,-278760000000,552000000,1541742000000,-789929000000,751813000000,-78677000000,673136000000,-147213000000,-750000000,-147963000000,525173000000,0,0
