Year,Quarter,date
2006,0,2007-01-30
2007,0,2008-01-30
2008,0,2009-01-30
2009,0,2010-01-30
2010,1,2010-04-30
2010,0,2011-01-30
2011,0,2012-01-30
2012,3,2012-10-30
2012,0,2013-01-30
2013,1,2013-04-30
2013,2,2013-07-30
2013,0,2014-01-30
2014,0,2015-01-30
2015,3,2015-10-30
2015,4,2016-01-30
2015,0,2016-02-04
2016,1,2016-04-26
2016,2,2016-07-30
2016,3,2016-10-20
2016,4,2017-01-20
2016,0,2017-01-21
2017,1,2017-04-17
2017,2,2017-07-19
2017,3,2017-10-16
2017,4,2018-01-15
2017,0,2018-01-20
2018,1,2018-04-16
2018,2,2018-07-16
2018,3,2018-10-15
2018,0,2019-01-19
2018,4,2019-01-24
2019,1,2019-04-18
2019,2,2019-07-18
2019,3,2019-10-14
2019,0,2020-01-30
2019,4,2020-02-04
2020,1,2020-04-14
2020,2,2020-07-17
