Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2015,0,105180454285,-31985766952,-46451433772,-1429930444,-897547231,4602375131,-22589110532,0,6429040485,-10757693558,0,0,0,0,0,584743768,-10172949790,0,0,4250000000,-3724500000,0,-1600000000,0,-1074500000,-4818409305,31771215729,0,26952806424
2016,0,110751636112,-48267792739,-38479631005,-1358498419,-940065163,6073512397,-14782433743,0,12996727440,-16982120881,90000000,0,0,0,0,541363047,-16350757834,0,0,400000000,-5901500000,0,-1753430000,0,-7254930000,-10608960394,26952806424,0,16343846030
2017,0,121884387990,-25017034798,-61313081654,-860568365,-800121485,4385533912,-17087662135,0,21191453465,-11533114510,0,0,0,0,0,339170883,-11193943627,0,0,6349360000,-7613600000,0,-1741178250,0,-3005418250,6992091588,16343846030,0,23335937618
2018,0,124298264228,-11704149696,-77726814052,-435663154,-1045312309,7729065223,-9812187081,0,31303203159,-14136730056,0,0,0,0,0,487511248,-13649218808,0,0,2278708000,-3587699000,0,-1923820050,0,-3232811050,14421173301,23335937618,0,37757110919
2019,0,145989004857,-60314911398,-39160604300,-488543356,-1139722721,22008813329,-41698626410,0,25195410001,-21602541330,0,0,0,0,0,609644739,-20992896591,0,0,250000000,-3501100000,0,-2605000000,0,-5856100000,-1653586590,37757110919,0,36103524329
