disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2012-02-22,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2012-03-01,,,Giá tham chiếu 17.000đ/cp,,,,
2012-03-27,investorRight,MEETING,Họp cổ đông,2012-03-29,2012-04-27,2012-04-27,Đại hội đồng cổ đông thường niên năm 2012,,,,
2012-06-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-06-18,2012-07-06,2012-07-06,Trả cổ tức đợt 2/2011 (1000 đ/cp),1000,10,2,2011
2012-06-13,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2012-06-18,2012-06-20,,"Trả cổ tức năm 2011, Tỷ lệ 100:20",,20,,2011
2012-08-23,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2012-08-28,,,Số lượng 10.810.000 cp,,,,
2013-02-28,investorRight,MEETING,Họp cổ đông,2013-03-06,2013-04-24,2013-04-24,Đại hội đồng cổ đông thường niên năm 2013,,,,
2013-05-28,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2013-06-05,2013-06-07,,"Trả cổ tức năm 2012, Tỷ lệ 100:20",,20,,2012
2013-05-28,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-06-05,2013-06-24,2013-06-24,Trả cổ tức năm 2012 (3.000 đ/cp),3000,30,,2012
2013-07-17,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2013-07-25,,,Số lượng: 12.972.000 cp,,,,
2014-01-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-02-18,2014-03-05,2014-03-05,Trả cổ tức đợt 1/2013 (1000 đ/cp),1000,10,1,2013
2014-01-27,investorRight,MEETING,Họp cổ đông,2014-02-18,2014-06-30,2014-06-30,Đại hội đồng cổ đông thường niên 2014,,,,
2014-06-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-06-23,2014-07-10,2014-07-10,Trả cổ tức đợt 2 năm 2013 (3000 đ/cp),3000,30,2,2013
2015-05-14,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-05-27,2015-06-17,2015-06-17,Trả cổ tức năm 2014 (4000 đ/cp),4000,40,,2014
2015-11-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-12-09,2015-12-24,2015-12-24,Trả cổ tức năm 2015 (1500 đ/cp),1500,15,,2015
2016-02-29,investorRight,MEETING,Họp cổ đông,2016-03-10,,,Đại hội đồng cổ đông thường niên năm 2016,,,,
2016-04-29,schedEvent,schedIssue,Dự kiến phát hành,2016-06-04,2016-06-04,,Phát hành cho cổ đông hiện hữu để tăng vốn từ nguồn vốn chủ sở hữu,,45,,
2016-05-06,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến cổ tức 15% cho năm 2016,,15,,2016
2016-05-12,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-05-24,2016-06-22,2016-06-22,Trả cổ tức đợt 2/2015 (1500 đ/cp),1500,15,2,2015
2016-07-17,investorRight,KINDDIV,Cổ phiếu thưởng,2016-08-04,2016-08-05,,Tỷ lệ 100:45,,45,,
2016-09-23,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2016-10-04,,,"Số lượng 35,024,400 cp",,,,
2016-11-09,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-11-24,2016-12-08,2016-12-08,Trả cổ tức đợt 1/2016 (500đ/cp),500,5,1,2016
2017-03-14,investorRight,MEETING,Họp cổ đông,2017-03-28,,,ĐHCĐ thường niên năm 2017,,,,
2017-05-18,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-06-01,2017-06-20,2017-06-20,Trả cổ tức đợt 2/2016 (500 đ/cp),500,5,2,2016
2017-10-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-11-10,2017-12-12,2017-12-12,Tạm ứng cổ tức đợt 1/2017 (600 đ/cp),600,6,1,2017
2018-05-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-05-24,2018-06-11,2018-06-11,Trả cổ tức đợt 2/2017 (700 đ/cp),700,7,2,2017
2018-11-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-12-06,2018-12-26,2018-12-26,Tạm ứng cổ tức đợt 1/2018 (700 đ/cp),700,7,1,2018
2019-03-01,investorRight,MEETING,Họp cổ đông,2019-03-28,,,"ĐHĐCĐ thường niên năm 2019 
",,,,
2019-06-04,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-06-14,2019-07-03,2019-07-03,Trả cổ tức đợt 2/2018 (300 đ/cp),300,3,2,2018
2020-05-04,investorRight,MEETING,Họp cổ đông,2020-05-15,,,ĐHĐCĐ thường niên năm 2020,,,,
