Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2014,4,24965432436,0,0,0,0,0,0,0,0,3227625596,0,0,6240000000,0,80195613,1372939094,0,0,14044672133,0,24965432436,-10470710256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14494722180,0,0,0,0,0,0,0,0,0,0,0,0,0,-6594884096,7899838084,28003,-4,27999,0,7899866083,0,0,0,-388736938,-1174616968,6336512177,6336512177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,71058599741,0,0,0,0,0,0,0,0,24002458726,0,0,30093958984,0,89716852,7505713049,0,0,9366752130,0,71058599741,-23794846617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47263753124,0,0,0,0,0,0,0,0,0,0,0,0,0,-3433263720,43830489404,10737882,-250,10737632,0,43841227036,0,0,0,-9182242220,0,34658984816,34658984816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0
2015,2,32120143000,0,0,0,0,0,0,0,0,6702573000,0,0,0,0,90845000,16042940000,0,0,9283785000,0,32120143000,-15511515000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16608628000,0,0,0,0,0,0,0,0,0,0,0,0,0,-4307081000,12301547000,308200000,0,308200000,0,12609747000,0,0,0,-1548337000,-332672000,10728738000,10728712000,0,-26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,65165356607,0,0,0,0,0,0,0,0,2175886165,0,0,35052759990,0,88784162,21157456305,0,0,6690469985,0,65165356607,-25686259407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39479097200,0,0,0,0,0,0,0,0,0,0,0,0,0,-3950352426,35528744774,3944669870,0,3944669870,0,39473414644,0,0,0,-7567584559,0,31905830085,31905441474,0,-388611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,38557165499,0,0,0,0,0,0,0,0,17112659485,0,0,4534503318,0,91994422,10338036662,0,0,6479971612,0,38557165499,-14231656187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24325509312,0,0,0,0,0,0,0,0,0,0,0,0,0,-6747705376,17577803936,11123368,-497335902,-486212534,0,17091591402,0,0,0,-5514711789,332671538,11909551151,11909455874,0,-95277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,33292156980,18998965643,13240882177,0,5758083466,0,1524097021,0,0,1566339943,0,0,0,0,97754373,0,0,11105000000,0,0,33292156980,-5707662387,-450059347,-439286498,0,-10772849,0,0,0,0,0,-322745094,-2294355696,0,0,0,-97647523,-1500850420,-1042004307,0,27584494593,989854441,0,989854441,0,0,-1243184835,-2102226,-1241082609,0,0,0,0,0,-4509918976,22821245223,0,-3,-3,0,22821245220,22821245220,0,-4330695070,-4330695070,0,18490550150,18490285913,0,264237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,41514373574,26044470625,12168515960,11940966841,1934987824,10043840552,1648849248,0,0,1900499159,0,0,0,0,94036973,0,0,140000000,1642677017,0,41514373574,-26785943358,-14275570420,-3594754285,-10632309898,-48506237,0,-6386112975,0,0,0,-1027636873,-2422841298,0,-2904719632,0,-93828223,1500850420,-1176084357,0,14728430216,1088874811,0,1088874811,0,0,1142496456,-98586153,1241082609,0,0,0,0,0,-4482936948,12476864535,22000,3,22003,0,12476886538,12476886538,0,-1385949264,-1385949264,0,11090937274,11080701400,0,10235874,0,0,0,0,0,0,0,0,11090937274,11080437163,10500111,0,679,0
2016,3,36147541313,17394960233,12367778243,1287013280,3740168710,10766211393,2318710800,0,0,2462108485,0,0,0,0,96953898,0,0,2674075000,434521504,0,36147541313,-17747936217,-3329656955,-502295392,-2770857845,-56503718,0,0,0,-8566267111,0,-691462504,-2678246060,0,0,0,-96496150,-1372408602,-1013398835,0,18399605096,921587815,20055,921567760,0,0,-308419,-308419,0,0,0,0,0,0,-4425028825,14895855667,2,0,2,0,14895855669,14895855669,0,-2318955803,-2318955803,0,12576899866,12573197508,0,3702358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,56555709747,25240846181,20613757618,2736287663,1890800900,11215032298,2562607113,0,0,8517854581,0,0,4828600000,0,105250295,0,0,0,4085519279,0,56555709747,-28708903070,-8451567936,-1123791204,-7223341225,-104435507,0,0,0,-9136707798,0,-842372492,-2797685156,0,-4755132433,0,-110988392,0,-2614448863,0,27846806677,839180344,6887724,832292620,0,0,-523,-523,0,0,0,0,0,0,-8202526306,20483460192,11194645016,-134991750,11059653266,0,31543113458,31543113458,0,-6806738204,-6544912358,-261825846,24736375254,24688902584,0,47472670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,103627235305,83592022796,33230421410,48301650936,2059950450,15115531114,2746952933,0,0,1661033138,0,0,0,0,112161469,0,0,0,399533855,0,103627235305,-28371942022,-21624125148,-16760454636,-4765307825,-98362687,0,0,0,-985661967,0,-861735675,-2371139956,0,0,0,-111899119,-1504093970,-913286187,0,75255293283,326376839,4103731,322273108,0,0,-9747044986,-3775780,-9743269206,0,0,0,0,0,-4700140659,61134484477,123600,1,123601,0,61134608078,29484842199,31649765879,-8500900511,-8500900511,0,52633707567,52632056579,0,1650988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
