Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2015,4,385221320641,-406739676374,-10242336265,-8443637737,-2498266493,40452790507,-38770824060,0,-41020629781,-19179556312,4732490000,-5000000000,0,-300000000,0,1321200076,-18425866236,0,0,332271929866,-269211066088,0,0,0,63060863778,3614367761,18899365540,-20303405,22493429896
2016,1,525649973597,-480759035498,-13008677226,-7842976526,-138879945,23525516339,-27104673664,2276323879,20321247077,-38394108907,11557278677,0,0,0,0,1953758838,-24883071392,0,0,229853260620,-237103331234,0,0,0,-7250070614,-11811894929,22493429896,-1425480,10680109487
2016,2,347978296511,-348289092507,-11169210385,-9174261237,-2242988825,13386172750,-20607667832,1200925566,-30118751525,-5503079103,-11536150000,0,0,-323102150000,294036170000,42860737472,-3244471631,0,0,322774201103,-265829317584,0,0,0,56944883519,23581660363,10680109487,121216,34261891066
2016,3,276817044920,-230687222460,-14085039356,-9469721383,-10305259639,41526207639,-22166148773,0,31629860948,-3767783879,25000000,0,0,-3000000,0,-42484251422,-46230035301,0,0,209277685815,-202861651071,0,0,0,6416034744,-8184139609,34261891066,-105557,26077645900
2016,4,390741196038,-308152147438,-12216090306,-11563091453,-108271512,58605549764,-62676027472,0,54631117621,-1602305422,16907680001,0,0,-76397000000,12995071000,4940030,-48091614391,0,70427451305,282970863499,-336729752314,0,0,0,16668562490,23208065720,26077645900,13815449,49299527069
2017,1,276521734272,-292576905056,-17112230404,-9964835594,-166531914,22660906749,-37095716476,0,-57733578423,-19669268394,0,-500000000,0,0,0,264379293,-19904889101,0,0,275914644726,-194016884440,0,0,0,81897760286,4259292762,49260186287,1506975,53520986024
2017,2,287985902642,-243648330176,-12378257458,-11321642300,-135027177,8474630491,-25739262004,4787342315,3238014018,-790123478,0,0,100000000,0,0,7530984425,6840860947,0,0,215956628241,-245807785435,0,0,0,-29851157194,-19772282229,53520986024,-4595825,33744107970
2017,3,268723623535,-244155562668,-13530817512,-11773718131,-8003651297,16712356643,-17642500322,0,-9670269752,1577951337,2000000000,0,-100000000,0,200000000,-7057284527,-3379333190,0,0,256715833655,-232925779082,0,0,0,23790054573,10740451631,33744107970,9520896,44494080497
2017,4,1007292417217,-798851420229,-13765358199,-12721126486,-10109855096,58885610615,-68293022447,0,162437245375,-9231206966,186800000,-653000000000,400000000,-873000000000,-200000000,7529117217,-1527315289749,1306834850000,0,343800770427,-309553026301,0,0,0,1341082594126,-23795450248,44494080497,12927,20698643176
2018,1,188312480072,-137310237237,-15342165488,-11366350206,-366007818,5501697096,-16329930982,0,13099485437,-2542505000,0,0,31060000000,-21000000000,0,145838571,7663333571,0,0,145529564810,-176939204419,0,0,0,-31409639609,-10646820601,20698643176,87961,10051910536
2018,2,154835458602,-146173420133,-14990389641,-10614809955,-4554089760,228944287202,-105153651289,0,102293385026,1921791091,0,-24500000000,7840000000,21000000000,2002000000,13663027,8277454118,0,0,150514638632,-264170989533,0,0,0,-113656350901,-3085511757,10051910536,867067,6967265846
2018,3,447744029790,-331565528730,-8197512662,-11296611944,-1827874070,-191268686890,78380064494,0,-18032120012,-2979870104,10720000,0,0,0,27000000000,233533762,24264383658,0,0,177994962111,-175071449093,0,0,0,2923513018,9155776664,6967265846,6664519,16129707029
2018,4,162914005121,42858225517,-3971854064,-7161987396,-39749961,73955642211,-63972756085,0,204581525343,-2227491530,27000000000,-177080000000,10100000000,-281000000000,263669000000,30001952039,-129536539491,0,0,5080937769,-87438880982,0,0,0,-82357943213,-7312957361,16129707029,-149746023,8667003645
2019,1,117220616953,-100069658127,-14363494989,-7963388276,-365607608,-11043162801,-10318431918,0,-26903126766,0,162268213,0,0,0,21600000000,32089383245,53851651458,0,0,97149730087,-115879561541,0,0,0,-18729831454,8218693238,8667003645,261851,16885958734
2019,2,806272508689,-803750762369,-8722224433,-9196811523,-138540350,145936923710,-96389295633,0,34011798091,0,-162268213,0,21600000000,0,-21600000000,-32077056655,-32239324868,0,0,225384975451,-226534559229,0,0,0,-1149583778,622889445,16885958734,25011,17508873190
2019,3,856828821053,-842082257704,-25559913932,-22632608510,-433870318,69926615243,-78795320979,0,-42748535147,-811757400,1290000000,0,0,0,21600000000,40002570799,62080813399,0,0,339505998195,-365560158889,0,0,0,-26054160694,-6721882442,14059464327,-1265829,7336316056
2019,4,-635088416361,845643872124,19557567910,10480127021,-3395868607,-103519906032,48221404028,0,181898780083,-5399090080,0,0,-21600000000,0,0,-39998395115,-66997485195,0,0,-251637587487,139028521799,0,0,0,-112609065688,2292229200,7336316056,-286862,9628258394
2020,1,339813634156,-318843064407,-8891633800,-4506016657,0,109318546196,-14580681546,0,102310783942,0,0,0,0,0,0,1431905,1431905,0,0,6300000000,-109192969706,0,0,0,-102892969706,-580753859,7181453727,198188,6600898056
