Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2008,0,85496196210,-26794903330,-1331275714,-606960988,0,11500000,-8257453914,-263241031,48253861233,0,-1801700000000,-339950657474,0,-1206634416513,0,0,-204622415415,0,1547000000000,0,0,297041073417,0,0,87566171531,-1573046383221,0,0,0,-1573046383221,-8950652633,0,0,0,0,0,-610000000000,0,0,-618950652633,2500000000000,0,0,0,0,0,2500000000000,308002964146,0,0,308002964146
2009,0,570696223294,-203151451842,28925870702,-33984507872,0,21553,-29540673924,-29397021686,303548460225,0,-530632284571,-4944745285455,0,-1006865440478,0,0,-2062568545771,0,5078490621363,902703733818,0,3411981405445,0,0,548216462624,1700129127200,0,-1713381323,0,1698415745877,-1939411885,0,0,0,0,0,-271790016900,0,8421000000,-265308428785,0,0,0,-74512010120,0,0,-74512010120,1358595306972,308002964146,0,1666598271118
2010,0,1725293614454,-1120418423280,43212591110,-10540364527,0,3636360,-43184509347,-95942866880,498423677890,0,-42574436391,-2396943615510,0,-1282974958115,0,0,-4085666176184,115893271793,2258732504285,735029448170,-1190000000,3805147895697,600000000000,0,2430019111378,2633896723013,0,-2393191493,0,2631503531520,-8413821041,0,0,0,0,0,-166207465000,0,6327618100,-168293667941,0,0,0,-225171441600,0,0,-225171441600,2238038421979,1666598271118,0,3904636693097
2011,0,2805720597963,-2265796727820,3509774001,-125214556894,0,3163168842,-57550378984,-99607819958,264224057150,0,333466367385,-555797892425,93838061422,0,0,0,2475702862308,70415246371,-1942298649468,-66503306858,0,-3135550497964,240000000000,0,-463876971734,-2686380723813,0,-5848313100,0,-2692229036913,-1397237974,0,0,0,0,0,0,0,5901345470,4504107496,0,0,0,-273071018000,0,0,-273071018000,-2960795947417,3904636693097,0,943840745680
2012,0,1555537053252,-1424211258563,9599540890,-17199810514,0,0,68899471138,-89135347619,103489648584,0,-72088845269,793425764911,0,172176612783,0,0,1948197575203,-186308518164,-1681792107045,999787112679,0,2445692078669,-383000000000,0,-416528329755,3723050992596,0,-16025168785,0,3707025823811,-5434613563,0,0,0,0,0,249657254933,0,11464752507,255687393877,0,0,0,-210564506300,0,0,-210564506300,3752148711388,943840745680,0,4695989457068
2013,0,953966827836,-958589116581,28340137658,32088509131,0,30000000,-69416040304,-36859077273,-50438759533,0,217646581846,1217867061799,-272608000,-2519538321669,0,0,1140018015079,0,-1186980175000,1055345334908,135097123911,0,-457000000000,0,-47966424011,-496222170670,0,-7462123500,0,-503684294170,-31315648826,0,0,0,0,0,0,154700674824,8123191555,131508217553,0,0,0,-98516888500,0,0,-98516888500,-470692965117,4695989457068,0,4225296491951
2014,0,1408847312666,-1062065623577,41542125911,28876568458,0,3031500000,-82243683161,-23751962695,314236237602,0,-1511269325000,1530428839814,-8922396200,-1846337278626,0,0,-175042108243,0,427955175000,-242450909935,0,-21845272665,20724440199,0,0,-1512522598054,0,-8868219310,0,-1521390817364,-18573250000,0,0,0,0,0,0,11643427461,8188984900,1259162361,0,0,0,-72150688940,0,0,-72150688940,-1592282343943,4225296491951,0,2633014148008
2015,0,960717000000,-763817000000,73137000000,-6905000000,0,634000000,-79704000000,-22261000000,161801000000,0,301034000000,-19212000000,9195000000,-1098128000000,0,-88727000000,-57489000000,0,155971000000,640814000000,11914000000,44544000000,0,0,8088000000,69805000000,0,-8980000000,0,60825000000,-552000000,5000000,0,0,0,0,0,65293000000,24499000000,89245000000,0,0,0,-50137000000,0,0,-50137000000,99933000000,2633014000000,0,2732947000000
2016,0,1105981000000,-706202000000,98532000000,58422000000,0,1701000000,-96443000000,-45596000000,524633000000,0,-80668000000,-816970000000,0,226982000000,0,-33597000000,121859000000,0,2151341000000,-1365775000000,-11914000000,-486707000000,0,0,-27133000000,202051000000,0,-7001000000,0,195050000000,-12493000000,0,0,0,0,0,0,0,32191000000,19698000000,0,0,0,-66605000000,0,0,-66605000000,148143000000,2732947000000,0,2881090000000
2017,0,1645694000000,-1047341000000,135644000000,169767000000,0,10245000000,-130058000000,-47538000000,798427000000,0,116629000000,-165617000000,0,-495353000000,0,-339140000000,-69506000000,0,-1082519000000,453256000000,8811000000,423954000000,0,0,-12827000000,-363885000000,0,-6810000000,0,-370695000000,-5178000000,22000000,0,0,0,0,-43475000000,0,16568000000,-32063000000,0,0,0,-28970000000,0,0,-28970000000,-431728000000,2881090000000,0,2449362000000
