Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2010,3,1255111117584,-1233453509160,24125533920,173087005603,0,-94968438858,-117238117480,-782306463,5881285146,0,281757077677,0,0,-494792869229,0,0,-298636489314,-450611667169,-1924925771922,960806986689,0,133206750000,-1342232600091,0,582055212042,-2547492086171,0,0,0,-2547492086171,-4279660776,0,0,0,0,0,-90000000000,90000000000,1255000000,-3024660776,0,0,0,-122790632091,0,0,-122790632091,-2673307379038,5849430005718,0,3176122626680
2011,1,508468189309,-549398219596,3387824647,70421968242,0,-23830477687,-57090835786,0,-48041550871,0,0,33151710,939944883,-595427464194,0,0,-728233344116,-18295084157,430058937420,775864914623,33496295,18956650000,-51812973680,0,-503236085307,-719159407394,0,0,0,-719159407394,-22468704821,0,0,0,0,0,-151000000000,0,60000000,-173408704821,1189980670000,0,0,0,0,0,1189980670000,297412557785,5487816980931,0,5785229538716
2011,2,1306207997578,-1213031920434,6350535837,92948218781,0,-47319772541,-117029168345,-24065886,28101824990,0,0,66303420,939944883,-2011060259714,0,1592802056,-518098389508,-160419214738,-1043730865879,1813761744187,0,37808000000,1981835171768,0,-426093689736,-295296628271,0,-8374294496,0,-303670922767,-24126073847,4200000,-42383679,0,0,0,-167000000000,0,60000000,-191104257526,1189980670000,0,0,-125575915220,0,0,1064404754780,569629574487,5487816980931,0,6057446555418
2011,3,2235694606417,-2110658398811,12086199382,99352190879,0,-80846014784,-184742516397,-46778334673,-75892267987,0,0,99455130,939944883,-2102417316687,0,-5610658169,-1166894415990,-11229299192,14599792517,1284731120362,0,48870950000,527878767256,0,-360912417185,-1845836345062,0,-8376742136,0,-1854213087198,-30598392497,4200000,-145221024,0,0,0,-167000000000,0,750000000,-196989413521,1160336690485,0,0,-50575915220,-29643979515,0,1080116795750,-971085704969,5487816980931,0,4516731275962
2011,4,981120403027,-744421085903,7098728673,29180840741,0,-67725755090,-79335528214,-2295559104,123622044130,0,0,33151710,-252150065,-45709635634,0,28768189341,13344118460,-97951852595,-1847398152010,2816249760770,0,70779550000,-957373925056,0,-145392668809,-41281569758,0,0,0,-41281569758,-15693283465,0,-484823454,0,0,0,-700000000,0,-60000000,-16938106919,-400455,0,0,-75000000000,-400455,0,-75000800910,-133220477587,4478512106360,0,4345291628773
2012,1,645920002810,-533065482058,2453255858,0,-7769841278,-36801051733,-98972942353,-10875455983,-39111514737,0,0,-74241820606,0,-914580787686,0,2942534742,-144696568484,-51238062951,-2444588857257,3905909622083,0,-933250000,-226866376520,0,87388318556,99983237140,0,0,0,99983237140,-1185168146,0,0,0,0,0,0,0,0,-1185168146,0,0,0,0,0,0,0,98798068994,4383714406820,0,4482512475814
2012,2,469041581824,-519215215066,5055490835,-13137029784,7769841278,-40176698513,-85009156583,-11839479379,-187510665388,0,0,-362305377709,-2450549355,598140026502,0,6576280189,47740190996,0,-327908660858,-813035823883,0,-32702542500,-32831498680,0,-141628007236,-1247916627922,0,-23424813233,0,-1271341441155,-1661550155,0,0,0,0,0,0,0,0,-1661550155,0,0,0,0,0,0,0,-1273002991310,4482512475814,0,3209509484504
2012,3,329373745139,-466340571430,2084341253,-4615242969,0,-36202022871,-82445489832,-14780710535,-272925951245,-326195833334,-362030680936,654913224,779233586552,0,-26666088106,-126479872410,307212771015,-648528471178,-1353655908732,0,-18627250000,0,0,137443200830,-4209552262,-1914775136582,0,-25106727322,0,-1939881863904,0,0,0,0,0,0,0,0,920000000,920000000,0,0,0,0,0,0,0,-1938961863904,3209509484504,0,1270547620600
2012,4,223602825165,-375736098791,-120887570,-4206434084,0,-90306668235,-206024664913,-2192189214,-454984117642,0,-317069522650,798577879251,1795636131,-433766471295,0,70988931289,173476646703,424972924511,40830177158,-4288634178795,0,-29342110363,4805692887702,0,-153280252893,639258429107,0,-1794169890,0,637464259217,-9425536226,0,0,0,0,0,0,0,645505953,-8780030273,0,0,0,0,0,0,0,628684228944,1232781330632,0,1861465559576
2013,1,338119063015,-562088607484,317347346,-1251429248,0,-477919841,-122827332431,0,-348208878643,0,0,-514476414181,134920000,-350965861945,0,0,-161974649692,-539370639310,6156618980,3373997016053,-18346215289,0,-2089247761321,0,116662427502,-525639437846,0,0,0,-525639437846,-310878780,0,0,0,0,0,0,0,0,-310878780,0,0,0,0,0,0,0,-525950316626,1862789183218,0,1336838866592
