Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2009,0,1261443710831,-1066180117180,99214866151,40176548568,0,-139022402712,-125836529523,-32591528009,37204548126,0,16500000000,0,-2489350134,-4485048662461,0,73462189711,-87707747655,500000000000,1923682078080,3607866010129,0,0,1640357930116,0,57191617345,3281018613257,0,-4534919373,0,3276483693884,-7990073579,0,0,0,0,0,-2225827860481,146823000000,71830246460,-2015164687600,0,0,0,-47387090240,0,0,-47387090240,1213931916044,4635498089674,0,5849430005718
2010,0,1861463001773,-1655467316708,27952327941,231808797361,0,-167940348753,-186764030496,-38234612851,72817818267,0,0,281790229387,1549405251,-806947393611,0,32214436525,-1091720324156,-339580785262,-17266174400,1091574319581,0,254363200000,-1101404322866,0,793848843379,-828760747905,0,-10808143368,0,-839568891273,-8436223710,0,0,0,0,0,-303200000000,90000000000,2147872287,-219488351423,820234850000,0,0,-122790632091,0,0,697444217909,-361613024787,5849430005718,0,5487816980931
2011,0,2481057616201,-1902229663058,19184932455,-92792861534,0,-148568769874,-264130084062,-63719405094,28801765034,0,0,132606840,687794818,-2148126952321,0,20445932654,-1063461589148,-109181151787,-1832798359493,4100980881132,-429495157800,119650500000,0,0,-579320643132,-1891684373203,0,-8443097984,0,-1900127471187,-45333325006,4200000,-630044478,0,0,0,-164400000000,0,690000000,-209669169484,1160336290030,0,0,-124997843500,-29644379970,0,1005694066560,-1104102574111,5487816980931,0,4383714406820
2012,0,1668646037556,-1894569336026,9472200376,-21958706837,-203486441352,0,-472457253681,-39687835111,-954041335075,0,0,-643265355984,0,29026354073,0,53841658114,-86959603195,680947632575,-3380195812135,-2549416289327,0,-81605152863,4545995012502,0,-69364815053,-2455037706368,0,-29428535385,0,-2484466241753,-37378981849,0,0,0,0,0,0,0,920000000,-36458981849,0,0,0,0,0,0,0,-2520925223602,4383714406820,0,1862789183218
2013,0,1237643256574,-1524136556751,-191125806,9748675981,57176395756,6500000,-603371995311,-114991961,-823239841518,0,0,-1275976232616,-3102842143,-589734689004,0,-32228702210,811447432158,-732185695526,4912921437363,6104070053585,0,-195638701789,-2678509956504,0,37201280135,5535023541931,0,0,0,5535023541931,-908928058517,1200000,0,0,0,0,-273700000000,0,4292990000,-1178333868517,0,0,0,0,0,0,0,4356689673414,1862786183218,0,6219475856632
2014,0,1255525251911,-1655937219182,-6531764070,72013249081,0,2483868999,-576474007828,-20630456,-908941251545,0,-2500000000000,-1372614408468,-52132884,-3165266463230,0,-11631227964,-486079282045,0,3690240312736,6063422113490,0,-25116600000,-2127182931198,0,-40911571250,-884133442358,0,0,0,-884133442358,-123242119667,7500000,0,0,0,0,0,6360000000,3540000000,-113334619667,0,0,0,0,0,0,0,-997468062025,6219478856632,0,5222010794607
2015,0,1795283839057,-1767437103547,3624015891,4531361790,0,-40851165899,-634028480356,-2000000000,-638699648283,0,2115000000000,-4887226221701,3407125092,-3644784925302,0,-22934087736,-1038960649215,0,1292153190730,9444613812174,8050246061,42230829889,200097000000,0,28347267038,2901293938747,0,0,0,2901293938747,-45682967248,3167642273,-3852476025,0,0,0,0,55238000000,2875000000,11745199000,0,0,0,0,0,0,0,2913039137747,5222010794607,0,8135049932354
2016,0,2760576000000,-2355999000000,3558000000,-32339000000,0,148591000000,-837545000000,-288000000,-312946000000,0,-1965323000000,-9079801000000,-33755000000,-4920776000000,0,-1806000000,-1085333000000,1209304000000,10706066000000,7760733000000,-8050000000,71555000000,718590000000,0,-88115000000,2970343000000,0,0,0,2970343000000,-32847000000,0,0,0,0,0,0,4367000000,0,-28480000000,0,0,0,0,0,0,0,2941863000000,8135049000000,0,11076912000000
2017,0,3944654000000,-2998890000000,18181000000,83165000000,0,100812000000,-949955000000,-367000000,211617000000,0,1626993000000,3220057000000,33755000000,-6758369000000,0,-5108000000,-428890000000,-1209304000000,-4972477000000,3927997000000,38895000000,33016000000,4480666000000,0,122198000000,321046000000,0,0,0,321046000000,-225334000000,25654000000,-4142000000,0,0,0,0,150000000000,0,-53822000000,0,0,0,0,0,0,0,267224000000,11076913000000,0,11344137000000
2018,0,4327690000000,-3593515000000,25421000000,-43820000000,0,49629000000,-1013119000000,-38000000,-235122000000,0,691234000000,-312668000000,-53079000000,-3573547000000,0,-79293000000,-656970000000,1244200000000,-5966999000000,1429212000000,-38895000000,-48392000000,3784922000000,0,11126000000,-3804271000000,0,0,0,-3804271000000,-14614000000,1005885000000,0,0,0,0,0,0,0,991271000000,0,0,0,0,0,0,0,-2813000000000,11344137000000,0,8531137000000
2019,0,4804715000000,-3860781000000,50745000000,28673000000,0,85068000000,-905481000000,-49858000000,157008000000,0,-852208000000,2938627000000,9154000000,-2226470000000,0,-38204000000,-1141467000000,-1244200000000,2656560000000,11954471000000,0,-53586000000,-6480085000000,0,-171254000000,5508346000000,0,0,0,5508346000000,-14945000000,784000000,-137000000,0,0,0,0,0,0,-14298000000,1091339000000,0,0,0,0,0,1091339000000,6585387000000,8531137000000,0,15116524000000
