Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,1032922000000,-597913000000,435009000000,100467000000,-29441000000,71026000000,25417000000,19532000000,0,23798000000,0,23798000000,21781000000,596563000000,-260307000000,336256000000,-23449000000,312807000000,-74383000000,0,-74383000000,238424000000,0,2425
2006,0,1647753000000,-983994000000,663759000000,143162000000,-31692000000,111470000000,4178000000,143426000000,0,36255000000,0,36255000000,104271000000,1063359000000,-409129000000,654230000000,-42902000000,611328000000,-141200000000,0,-141200000000,470128000000,0,2675
2007,0,3383002000000,-2231130000000,1151872000000,291083000000,-97685000000,193398000000,100815000000,599873000000,208599000000,6050000000,-2514000000,3536000000,183490000000,2441583000000,-741225000000,1700358000000,-118387000000,1581971000000,-184074000000,0,-184074000000,1397897000000,0,3983
2008,0,7161082000000,-6014414000000,1146668000000,672016000000,-109667000000,562349000000,510041000000,86856000000,-88253000000,126711000000,-10502000000,116209000000,120089000000,2453959000000,-1269935000000,1184024000000,-74097000000,1109927000000,-155174000000,0,-155174000000,954753000000,0,1869
2009,0,7137799000000,-4834864000000,2302935000000,1246301000000,-210109000000,1036192000000,314108000000,16024000000,412690000000,35676000000,-108687000000,-73011000000,87189000000,4096127000000,-1638759000000,2457368000000,-282429000000,2174939000000,-508346000000,3966000000,-504380000000,1670559000000,0,2771
2010,0,11801566000000,-7911015000000,3890551000000,1436117000000,-293359000000,1142758000000,-502212000000,18046000000,-151395000000,552415000000,-416964000000,135451000000,522808000000,5056007000000,-2177733000000,2878274000000,-317832000000,2560442000000,-655512000000,5410000000,-650102000000,1871696000000,-38644000000,2422
2011,0,17864267000000,-12022040000000,5842227000000,1685590000000,-644195000000,1041395000000,204268000000,-186449000000,-10723000000,508433000000,-402357000000,106076000000,-242027000000,6754767000000,-3589136000000,3165631000000,-394957000000,2770674000000,-774817000000,0,-774817000000,2066431000000,70574000000,2241
2012,0,16869623000000,-10372444000000,6497179000000,1292300000000,-605811000000,686489000000,218164000000,3585000000,-387086000000,95324000000,-176891000000,-81567000000,-83412000000,6853352000000,-4154236000000,2699116000000,-1331265000000,1367851000000,-674396000000,308915000000,-365481000000,1002370000000,0,1029
2013,0,16294326000000,-9666889000000,6627437000000,1436185000000,-488285000000,947900000000,-203332000000,-67760000000,27674000000,132313000000,-35235000000,97078000000,172310000000,7601307000000,-4206024000000,3395283000000,-434635000000,2960648000000,-526873000000,-204669000000,-731542000000,2229109000000,3000000,1982
2014,0,15195969000000,-8631311000000,6564658000000,1443862000000,-495379000000,948483000000,196167000000,183086000000,169024000000,192607000000,-59045000000,133562000000,54508000000,8249488000000,-4460613000000,3788875000000,-962588000000,2826287000000,-576216000000,-43639000000,-619855000000,2206436000000,4000000,1292
2015,0,15892850000000,-9317743000000,6575107000000,1740796000000,-569533000000,1171263000000,158842000000,11455000000,-99478000000,479034000000,-20182000000,458852000000,12675000000,8288716000000,-5154547000000,3134169000000,-2256014000000,878155000000,-242858000000,12622000000,-230236000000,647919000000,0,444
2016,0,17868402000000,-13847705000000,4020697000000,2112833000000,-682789000000,1430044000000,265028000000,-753000000,45835000000,747616000000,-10652000000,736964000000,32342000000,6530157000000,-5678323000000,851834000000,-696243000000,155591000000,-75531000000,8549000000,-66982000000,88609000000,0,49
2017,0,21534204000000,-16256169000000,5278035000000,3439285000000,-815454000000,2623831000000,343879000000,13965000000,157524000000,323744000000,-8537000000,315207000000,-87155000000,8645286000000,-6336893000000,2308393000000,-816589000000,1491804000000,-278137000000,-32107000000,-310244000000,1181560000000,0,555
2018,0,26295571000000,-18661777000000,7633794000000,3772038000000,-1089894000000,2682144000000,401278000000,3304000000,21223000000,951030000000,-18647000000,932383000000,2809000000,11676935000000,-7837830000000,3839105000000,-1592114000000,2246991000000,-445711000000,-11124000000,-456835000000,1790156000000,0,780
2019,0,30476971000000,-21296283000000,9180688000000,4803443000000,-1480453000000,3322990000000,608748000000,0,72764000000,1485474000000,-64287000000,1421187000000,28961000000,14635338000000,-9265703000000,5369635000000,-2152889000000,3216746000000,-791542000000,29660000000,-761882000000,2454864000000,0,1119
