Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2009,4,2139571000000,-1508916000000,630655000000,403326000000,-85885000000,317441000000,78571000000,-8182000000,298137000000,22803000000,-93243000000,-70440000000,40345000000,1286527000000,-580742000000,705785000000,-90878000000,614907000000,-132322000000,3966000000,-128356000000,486551000000,0,2784
2010,1,2278980000000,-1658973000000,620007000000,355748000000,-43106000000,312642000000,71149000000,9586000000,12018000000,28028000000,-1506000000,26522000000,9859000000,1061783000000,-483010000000,578773000000,-11319000000,567454000000,-132590000000,0,-132590000000,426257000000,-8607000000,2867
2010,2,2642952000000,-1809595000000,833357000000,317557000000,-61815000000,255742000000,-397118000000,44649000000,348020000000,34756000000,-8682000000,26074000000,25254000000,1135978000000,-504990000000,630988000000,-115693000000,515295000000,-194888000000,0,-194888000000,282408000000,-37999000000,0
2010,3,3039548000000,-2067105000000,972443000000,60594000000,-63017000000,-2423000000,162740000000,-76373000000,1781000000,96163000000,-43130000000,53033000000,-5707000000,1105494000000,-555177000000,550317000000,-45938000000,504379000000,-133339000000,0,-133339000000,371040000000,0,0
2010,4,3897359000000,-2665626000000,1231733000000,513342000000,-109865000000,403477000000,-514102000000,52431000000,7048000000,361655000000,-328559000000,33096000000,117277000000,1330960000000,-655416000000,675544000000,-90162000000,585382000000,-226894000000,5410000000,-221484000000,363898000000,0,0
2011,1,4297000000000,-2977885000000,1319115000000,501293000000,-97256000000,404037000000,-107415000000,-34263000000,1913000000,20149000000,-35508000000,-15359000000,12879000000,1580907000000,-664681000000,916226000000,-201222000000,715004000000,-143587000000,0,-143587000000,570123000000,-1294000000,671
2011,2,4357074000000,-3048672000000,1308402000000,298938000000,-120014000000,178924000000,100471000000,-140346000000,-2834000000,10037000000,27289000000,37326000000,41952000000,1523895000000,-737240000000,786655000000,-34434000000,752221000000,-238674000000,0,-238674000000,585419000000,71872000000,588
2011,3,4592541000000,-3043274000000,1549267000000,317408000000,-93919000000,223489000000,45382000000,7223000000,-1446000000,277738000000,-227091000000,50647000000,-69481000000,1805081000000,-991331000000,813750000000,-148998000000,664752000000,-225451000000,0,-225451000000,439303000000,2000000,479
2011,4,4617651000000,-2952211000000,1665440000000,567958000000,-366991000000,200967000000,165829000000,-19064000000,-8355000000,200510000000,-167050000000,33460000000,-227272000000,1811005000000,-1168129000000,642876000000,-4079000000,638797000000,-167107000000,0,-167107000000,471690000000,0,0
2012,1,4368283000000,-2837746000000,1530537000000,314738000000,-115965000000,198773000000,51726000000,75705000000,3320000000,49431000000,-25610000000,23821000000,22661000000,1906543000000,-805506000000,1101037000000,-37209000000,1063828000000,-255923000000,0,-255923000000,807905000000,0,0
2012,2,4238279000000,-2738059000000,1500220000000,295875000000,-76701000000,219174000000,147819000000,9870000000,-43416000000,2495000000,1920000000,4415000000,20539000000,1858621000000,-1009346000000,849275000000,-332896000000,516379000000,-150192000000,0,-150192000000,366187000000,0,0
2012,3,4092024000000,-2416540000000,1675484000000,358866000000,-116043000000,242823000000,45531000000,-105611000000,-91775000000,14714000000,-3652000000,11062000000,-4078000000,1773436000000,-1071641000000,701795000000,-113872000000,587923000000,-176585000000,0,-176585000000,411338000000,0,0
2012,4,4169510000000,-2380093000000,1789417000000,313642000000,-338116000000,-24474000000,-25393000000,23622000000,-255216000000,-66370000000,-63145000000,-129515000000,-122568000000,1255873000000,-1205414000000,50459000000,-852495000000,-802036000000,-68965000000,0,-68965000000,-871000950000,50000,0
2013,1,4244105000000,-2433294000000,1810811000000,406772000000,-172889000000,233883000000,82725000000,19515000000,15368000000,6597000000,-1388000000,5209000000,30622000000,2198133000000,-1097635000000,1100498000000,-207487000000,893011000000,-217269000000,0,-217269000000,675741560000,-440000,694
2013,2,4111535000000,-2480608000000,1630927000000,273068000000,-33873000000,239195000000,-358854000000,2143000000,84263000000,6080000000,-1409000000,4671000000,14427000000,1616772000000,-950502000000,666270000000,-41742000000,624528000000,-151124000000,0,-151124000000,473404440000,440000,486
2013,3,4031789000000,-2424870000000,1606919000000,485578000000,-184501000000,301077000000,73083000000,-44389000000,-1346000000,108971000000,-7016000000,101955000000,9060000000,2046359000000,-1183155000000,863204000000,-163587000000,699617000000,-190897000000,0,-190897000000,508720000000,0,0
2013,4,3906903000000,-2328133000000,1578770000000,256149000000,-82392000000,173757000000,-287000000,-45029000000,-70612000000,10665000000,-26126000000,-15461000000,118217000000,1739355000000,-974639000000,764716000000,-21815000000,742901000000,33122000000,-204669000000,-171547000000,571356000000,2000000,0
2014,1,3817395000000,-2255398000000,1561997000000,352377000000,-94581000000,257796000000,77883000000,100418000000,-121828000000,15517000000,-5599000000,9918000000,-1288000000,1884896000000,-995740000000,889156000000,-95354000000,793802000000,-172966000000,0,-172966000000,620835580000,-420000,552
2014,2,4024706000000,-2133913000000,1890793000000,326755000000,-134388000000,192367000000,50935000000,-85073000000,8278000000,117275000000,-23925000000,93350000000,14095000000,2164745000000,-1124741000000,1040004000000,-209528000000,830476000000,-181628000000,561000000,-181067000000,649412420000,3420000,560
2014,3,4018016000000,-2160138000000,1857878000000,363295000000,-135943000000,227352000000,23349000000,103726000000,48961000000,28578000000,-11953000000,16625000000,27752000000,2305643000000,-1061043000000,1244600000000,-466436000000,778164000000,-170538000000,0,-170538000000,607623000000,-3000000,0
2014,4,3335849000000,-2081862000000,1253987000000,381833000000,-130469000000,251364000000,42082000000,64015000000,233614000000,50840000000,-17569000000,33271000000,15862000000,1894195000000,-1279091000000,615104000000,-191270000000,423834000000,-45392000000,-44200000000,-89592000000,334242000000,0,0
2015,1,3950204840460,-2010158698368,1940046142092,374466302598,-127380176244,247086126354,43380752992,-3569436900,5737925121,29924181678,-20674402973,9249778705,3610000000,2245541288364,-1102003844580,1143537443784,-331630395594,811907048190,-175364087988,0,-175364087988,636543070382,110180,0
2015,2,3865368159540,-2011588301632,1853779857908,428114697402,-145784823756,282329873646,74815247008,-171563100,-2136925121,24735818322,-9687597027,15048221295,18739000000,2242403711636,-1162852155420,1079551556216,-366147604406,713403951810,-170156912012,0,-170156912012,543246929618,-110180,1033
2015,3,3963645367541,-2056046739653,1907598627888,454648689514,-156062152420,298586537094,70274122972,-979914324,-7826044248,9638827605,14513768272,24152595877,2105798248,2293911723507,-1372636465283,921275258224,-305897947658,615377310566,-127467558255,0,-127467558255,487909894205,141894,0
2015,4,4165593091031,-3252074711363,913518379668,491198748994,-139948118241,351250630753,-29445069143,16176867981,-56794071795,504929009480,-15011297837,489917711643,-2653905723,1681970543384,-1224527423130,457443120254,-1128632400917,-671189280663,150778151102,-1031076512,149747074590,-521442206073,0,-65
2016,1,4522150000000,-3283431000000,1238719000000,472840000000,-159913000000,312927000000,63252000000,-1589000000,5752000000,93292000000,-2757000000,90535000000,3566000000,1713162000000,-1464550000000,248612000000,-49611000000,199001000000,-37053000000,0,-37053000000,161948000000,0,0
2016,2,3950253000000,-3434560000000,515693000000,520662000000,-160446000000,360216000000,199066000000,2289000000,13674000000,20649000000,-2753000000,17896000000,23026000000,1131860000000,-1316414000000,-184554000000,7035000000,-177519000000,13555000000,4522000000,18077000000,-159442000000,0,0
2016,3,4433545000000,-3477033000000,956512000000,523181000000,-175778000000,347403000000,279286000000,1176000000,27081000000,89043000000,-56008000000,33035000000,3177000000,1647670000000,-1514820000000,132850000000,54178000000,187028000000,-36857000000,0,-36857000000,150171000000,0,0
2016,4,4962454000000,-3652681000000,1309773000000,596150000000,-186652000000,409498000000,-276576000000,-2629000000,-672000000,544632000000,50866000000,595498000000,2573000000,2037465000000,-1382539000000,654926000000,-707845000000,-52919000000,-15176000000,4027000000,-11149000000,-64068000000,0,0
2017,1,4874971000000,-3823427000000,1051544000000,577526000000,-194702000000,382824000000,147226000000,6124000000,28610000000,70070000000,-1233000000,68837000000,1110000000,1686275000000,-1377789000000,308486000000,970000000,309456000000,-52479000000,-46439000000,-98918000000,210538000000,0,0
2017,2,5031979000000,-4020793000000,1011186000000,635162000000,-178164000000,456998000000,82049000000,2203000000,98936000000,14596000000,-2000000000,12596000000,11707000000,1675675000000,-1322565000000,353110000000,-86698000000,266412000000,-11717000000,-1255000000,-12972000000,253440000000,0,0
2017,3,5852032000000,-4155568000000,1696464000000,663757000000,-208042000000,455715000000,92928000000,5638000000,1891000000,86153000000,-2557000000,83596000000,-99481000000,2236751000000,-1648012000000,588739000000,-138862000000,449877000000,-142595000000,0,-142595000000,307282000000,0,0
2017,4,6029956000000,-4510379000000,1519577000000,1564375000000,-234637000000,1329738000000,21765000000,0,28087000000,152289000000,-2243000000,150046000000,-492000000,3048721000000,-1964538000000,1084183000000,-621198000000,462985000000,-73107000000,11651000000,-61456000000,401529000000,0,0
2018,1,6046226000000,-4374371000000,1671855000000,752134000000,-207822000000,544312000000,54064000000,-1705000000,19590000000,57006000000,-1635000000,55371000000,0,2343487000000,-1758717000000,584770000000,-81003000000,503767000000,-107041000000,0,-107041000000,396726000000,0,0
2018,2,6385204000000,-4603508000000,1781696000000,831423000000,-241955000000,589468000000,105117000000,1705000000,31738000000,173091000000,-14366000000,158725000000,1000000000,2669449000000,-1743875000000,925574000000,-433271000000,492303000000,-120445000000,-579000000,-121024000000,371279000000,0,0
2018,3,6910294000000,-4840089000000,2070205000000,899361000000,-272878000000,626483000000,153702000000,3304000000,-770000000,93405000000,-1543000000,91862000000,1225000000,2946011000000,-1963458000000,982553000000,-664122000000,318431000000,-155251000000,0,-155251000000,163180000000,0,0
2018,4,6953847000000,-4843809000000,2110038000000,1289120000000,-367239000000,921881000000,88395000000,0,-29335000000,627528000000,-1103000000,626425000000,584000000,3717988000000,-2371780000000,1346208000000,-413718000000,932490000000,-62974000000,-10545000000,-73519000000,858971000000,0,0
2019,1,7351280000000,-4893422000000,2457858000000,969750000000,-327627000000,642123000000,112766000000,0,22799000000,305004000000,-1217000000,303787000000,2376000000,3541709000000,-2050281000000,1491428000000,-429984000000,1061444000000,-217202000000,0,-217202000000,844242000000,0,0
2019,2,7300322000000,-5277842000000,2022480000000,1082505000000,-340913000000,741592000000,107408000000,0,2135000000,431599000000,-5152000000,426447000000,730000000,3300792000000,-2284831000000,1015961000000,-616179000000,399782000000,-92597000000,0,-92597000000,307185000000,0,638
2019,3,8451686000000,-5526860000000,2924826000000,1122973000000,-375719000000,747254000000,202193000000,0,28185000000,166836000000,-52266000000,114570000000,1591000000,4018619000000,-2351354000000,1667265000000,-637428000000,1029837000000,-257968000000,0,-257968000000,771869000000,0,0
2019,4,7373683000000,-5598159000000,1775524000000,1628215000000,-436194000000,1192021000000,186381000000,0,19645000000,582035000000,-5652000000,576383000000,24264000000,3774218000000,-2579237000000,1194981000000,-469298000000,725683000000,-223775000000,29660000000,-194115000000,531568000000,0,0
2020,1,8486713000000,-5646836000000,2839877000000,1126417000000,-405121000000,721296000000,232683000000,0,18004000000,82415000000,-11391000000,71024000000,228000000,3883112000000,-2477566000000,1405546000000,-417663000000,987883000000,-202142000000,0,-202142000000,785741000000,0,0
2020,2,8369258000000,-5732059000000,2637199000000,1091313000000,-393809000000,697504000000,165622000000,0,-50526000000,131546000000,-21260000000,110286000000,1177000000,3561262000000,-1973154000000,1588108000000,-1147557000000,440551000000,-97181000000,0,-97181000000,343370000000,0,0
