disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2006-12-26,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2006-12-26,,,Ngày giao dịch đầu tiên trên HOSE,,,,
2007-04-02,investorRight,MEETING,Họp cổ đông,2007-04-09,2007-05-28,2007-05-28,ĐHCĐ thường niên năm 2007,,,,
2007-10-19,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2007-10-26,2007-10-30,,"Trả cổ tức năm 2006, Tỷ lệ 100:12",,12,,2006
2007-10-19,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-10-26,2007-11-21,2007-11-21,Trả cổ tức đợt 1/2007 (900 đ/cp),900,9,1,2007
2007-10-19,investorRight,ISSUE,Phát hành thêm,2007-10-26,2007-12-10,,"Phát hành 812865 cp cho CBCNV, giá 15000 đ/cp",,50,,
2007-10-19,investorRight,POLL,Lấy ý kiến cổ đông,2007-10-26,2007-11-22,2007-11-22,Lấy ý kiến cổ đông: niêm yết bổ sung số lượng cổ phiếu phát hành thêm; phương án phát hành thêm cổ phiếu tăng vốn điều lệ,,,,
2008-02-20,investorRight,MEETING,Họp cổ đông,2008-02-28,2008-04-18,2008-04-18,ĐHCĐ thường niên 2008,,,,
2008-05-06,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-05-15,2008-06-16,2008-06-16,Trả cổ tức đợt 2/2007 (600 đ/cp),600,6,2,2007
2008-09-09,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-09-18,2008-10-14,2008-10-14,Trả cổ tức đợt 1/2008 (1000 đ/cp),1000,10,1,2008
2008-09-09,investorRight,POLL,Lấy ý kiến cổ đông,2008-09-18,2008-10-07,2008-10-07,Lấy ý kiến cổ đông bằng văn bản: Ủy quyền HĐQT quyết định thời điểm phát hành và giá phát hành cho cổ đông chiến lược và cổ đông hiện hữu trong đợt phát hành thêm CP năm 2008 tăng vốn điều lệ lên 80 tỷ đồng,,,,
