Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,1,19301059641,-10655798197,-2830075362,-350781500,0,620900822,-2087600037,0,3997705367,-9099458056,0,0,0,0,0,12075055,-9087383001,9000000000,0,9702696601,-14037231162,0,0,0,4665465439,-424212195,3258984501,0,2834772306
2010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,44073428438,-28710354098,-5040374812,-4369741808,0,31531832312,-5256309663,0,32228480369,-1710862829,4335595063,-30094770000,0,-30120000000,0,311737532,-57278300234,63609370000,-5000000,24930351993,-39446998400,0,0,0,49087723593,24037903728,3258984501,0,27296888229
2011,1,7695004754,-3795809778,-4733037327,-1209744510,-506947343,12430071115,-42063150076,0,-32183613165,-20585871394,20000000000,-41600000000,38608966667,0,0,196618882,-3380285845,48489183200,0,1600000000,-34242578395,0,0,0,15846604805,-19717294205,32412022399,0,12694728194
2011,4,10309177176,-8148914165,-471052671,0,41000241,98423925,-986623564,0,842010942,0,99707540,0,0,0,0,4159534,103867074,0,0,0,0,0,-5164200,0,-5164200,940713816,2367235688,4646492,3312595996
2012,1,13997355530,-11492693251,-561248885,0,0,21834950,-3880679313,0,-1915430969,0,0,0,0,0,0,6313493,6313493,0,0,0,0,0,0,0,0,-1909117476,3312595996,0,1403478520
2012,2,32212856073,-23778913016,-529372617,-496128546,0,148747300,-15493663503,0,-7936474309,0,4051435,0,563631755,-6171620000,2000000,6345323,-5595591487,0,0,14750334000,-500000000,0,0,0,14250334000,718268204,1403478520,0,2121746724
2012,3,18394971820,-17443029292,-1133573424,-512182713,-211679707,82032107,-2945023142,0,-3768484351,0,-240623,0,0,0,0,3304531,3063908,0,0,2483467333,0,0,0,0,2483467333,-1281953110,2121746724,0,839793614
2012,4,45233415795,-22320214946,-835972440,-673154683,-762870144,8785255,-4307114366,0,16342874471,-97724500,0,0,0,0,0,11329282,-86395218,0,0,-17233801333,24683046833,-5345000000,0,0,2104245500,18360724753,839793614,-294295,19200224072
2013,1,26687848329,-29782358021,-1188663319,-567781950,-37865483,1046638652,-4024633779,0,-7866815571,0,0,0,0,0,0,77193697,77193697,0,0,3956000000,-4259071000,0,0,0,-303071000,-8092692874,19198006827,0,11105313953
2013,3,72579809807,-36550166830,-18713149710,-1436125496,-615955970,15169419537,-44248281009,0,-13814449671,0,0,0,0,0,0,244719117,244719117,0,0,19658399421,-15488441333,0,0,0,4169958088,-9399772466,11105313953,0,1705541487
2013,4,50979226591,-18401114349,-4063215691,-1250289874,0,5208719106,-19960643483,0,12512682300,-23614399421,19747512333,0,0,0,0,2008048,-3864879040,0,0,41370721146,-39277193186,0,0,0,2093527960,10741331220,5572428575,459184,16314218979
2014,1,16194850371,-25395366702,-1441193428,-813888848,0,3700000000,-7320219620,0,-15075818227,0,0,0,0,0,0,0,0,0,0,14828873176,-10161260241,0,-4110179400,0,557433535,-14518384692,16314218979,0,1795834287
2014,2,6781424545,3988333921,-9511808648,-794867390,-500000000,9559891667,-11320748717,0,-1797774622,0,0,0,0,0,0,4665531,4665531,0,0,3254240122,-5532338485,0,4110179400,0,1832081037,38971946,1795834287,0,1834806233
