disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2000-07-28,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2000-07-28,,,Ngày giao dịch đầu tiên trên sàn HOSE,,,,
2004-01-30,investorRight,MEETING,Họp cổ đông,2004-02-20,2004-03-10,2004-03-10,Họp ĐHCĐ thường niên năm 2004,,,,
2005-01-16,investorRight,DIVIDEND,Cổ tức bằng tiền,2005-01-27,2005-03-21,2005-03-21,Cổ tức đợt 2/2004 (1.000 đ/cp),1000,10,2,2004
2005-01-17,investorRight,MEETING,Họp cổ đông,2005-01-27,2005-03-10,2005-03-10,họp Đại hội cổ đông thường niên 2005,,,,
2005-07-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2005-08-11,2005-09-05,2005-09-05,Cổ tức đợt 1/2005 (600 đ/cp),600,6,1,2005
2006-01-12,investorRight,DIVIDEND,Cổ tức bằng tiền,2006-01-18,2006-03-01,2006-03-01,Cổ tức đợt 2/2005 (1.000 đ/cp),1000,10,2,2005
2006-01-12,investorRight,ISSUE,Phát hành thêm,2006-01-20,2006-02-14,,Tỷ lệ 5:1 với giá 10.000 đ/cp,,20,,
2006-04-17,investorRight,ISSUE,Phát hành thêm,2006-01-20,2006-05-10,,Phát hành cho các cổ đông hiện hữu chưa thực hiện quyền theo danh sách tại thời điểm chốt danh sách cổ đông,,,,
2006-06-19,investorRight,DIVIDEND,Cổ tức bằng tiền,2006-06-28,2006-08-01,2006-08-01,Cổ tức đợt 1/2006 (800 đ/cp),800,8,1,2006
2006-08-10,investorRight,KINDDIV,Cổ phiếu thưởng,2006-08-18,2006-08-22,,Tỷ lệ 100:33.33,,33.33,,
2006-11-08,investorRight,DIVIDEND,Cổ tức bằng tiền,2003-02-19,2003-04-10,2003-04-10,Cổ tức đợt 3/2002 (300 đ/cp),300,3,3,2002
2006-11-08,investorRight,DIVIDEND,Cổ tức bằng tiền,2004-02-20,2004-04-10,2004-04-10,Cổ tức đợt 2/2003 (800 đ/cp),800,8,2,2003
2006-11-08,investorRight,DIVIDEND,Cổ tức bằng tiền,2004-07-29,2004-08-25,2004-08-25,Cổ tức đợt 1/2004 (600 đ/cp),600,6,1,2004
2007-01-02,investorRight,MEETING,Họp cổ đông,2007-02-07,2007-03-10,2007-03-10,họp ĐHCĐ thường niên năm 2007,,,,
2007-02-01,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-02-07,2007-04-10,2007-04-10,Cổ tức đợt 2/2006 (800 đ/cp),800,8,2,2006
2007-05-04,investorRight,ISSUE,Phát hành thêm,2007-05-14,2007-06-28,,"Phát hành 7487885 cp cho CĐHH, giá 20000 đ/cp",,20,,
2007-05-04,investorRight,ISSUE,Phát hành thêm,2007-05-14,,,"Phát hành 9572687 cp cho CĐCL, giá 150000 đ/cp",,,,
2007-09-07,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-09-17,2007-10-15,2007-10-15,Cổ tức đợt 1/2007 (800 đ/cp),800,8,1,2007
2007-11-09,investorRight,POLL,Lấy ý kiến cổ đông,2007-11-21,2007-12-13,2007-12-13,Lấy ý kiến cổ đông phê duyệt phương án tăng vốn điều lệ và niêm yết bổ sung cổ phiếu,,,,
2008-01-15,investorRight,KINDDIV,Cổ phiếu thưởng,2008-01-23,2008-01-25,,Tỷ lệ 100:20,,20,,
2008-01-15,investorRight,MEETING,Họp cổ đông,2008-01-23,,,ĐHCĐ thường niên 2008,,,,
