Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,530133000000,-339818000000,190315000000,18266000000,-113317000000,-95051000000,0,0,0,0,0,0,0,95264000000,0,95264000000,0,95264000000,-25983000000,0,-25983000000,69281000000,0,2044
2006,0,1030878000000,-641805000000,389073000000,89155000000,-278222000000,-189067000000,0,0,0,0,0,0,0,200006000000,0,200006000000,0,200006000000,-53916000000,0,-53916000000,146090000000,0,2447
2007,0,1949745000000,-1240563000000,709182000000,91785000000,-23614000000,68171000000,13714000000,80642000000,0,29155000000,-34008000000,-4853000000,17372000000,884228000000,-387957000000,496271000000,-70572000000,425699000000,-116877000000,0,-116877000000,308822000000,0,2510
2008,0,4098267000000,-3279493000000,818774000000,145539000000,-36369000000,109170000000,69389000000,0,-78302000000,68671000000,-88098000000,-19427000000,10395000000,909999000000,-606078000000,303921000000,-73476000000,230445000000,-61601000000,0,-61601000000,168844000000,0,844
2009,0,3721763000000,-2586595000000,1135168000000,203138000000,-46873000000,156265000000,122213000000,0,67443000000,164726000000,-62482000000,102244000000,9931000000,1593264000000,-866602000000,726662000000,-112351000000,614311000000,-151095000000,0,-151095000000,463216000000,0,2200
2010,0,6821796000000,-4727048000000,2094748000000,303864000000,-72514000000,231350000000,97562000000,0,12798000000,119359000000,-40649000000,78710000000,19196000000,2534364000000,-1190830000000,1343534000000,-292301000000,1051233000000,-261820000000,1516000000,-260304000000,790929000000,0,2389
2011,0,11835087000000,-8100793000000,3734294000000,322282000000,-131285000000,190997000000,53948000000,0,-62540000000,52848000000,-458468000000,-405620000000,7942000000,3519021000000,-1696284000000,1822737000000,-973837000000,848900000000,-208983000000,-922000000,-209905000000,638995000000,0,1581
2012,0,8710770000000,-5722070000000,2988700000000,233141000000,-106201000000,126940000000,38199000000,0,-31110000000,414010000000,-284163000000,129847000000,8410000000,3260986000000,-1816259000000,1444727000000,-743964000000,700763000000,-165863000000,-14511000000,-180374000000,523213000000,2824000000,1231
2013,0,4790141000000,-2854483000000,1935658000000,253952000000,-89408000000,164544000000,23026000000,0,233446000000,248645000000,-96743000000,151902000000,5070000000,2513646000000,-1561497000000,952149000000,-871058000000,81091000000,-23147000000,-7696000000,-30843000000,50248000000,0,118
2014,0,4895476000000,-2582927000000,2312549000000,226659000000,-81374000000,145285000000,-23982000000,0,92276000000,1027684000000,-85140000000,942544000000,1403000000,3470075000000,-1633714000000,1836361000000,-1188008000000,648353000000,-141264000000,15581000000,-125683000000,522670000000,0,1230
2015,0,4794299000000,-2450185000000,2344114000000,278915000000,-112812000000,166103000000,-10503000000,0,88991000000,400962000000,-80609000000,320353000000,20397000000,2929455000000,-1765240000000,1164215000000,-509071000000,655144000000,-140446000000,6368000000,-134078000000,521066000000,0,1161
2016,0,5291791000000,-2665553000000,2626238000000,391311000000,-135674000000,255637000000,24814000000,0,149445000000,345240000000,-27959000000,317281000000,27556000000,3400971000000,-2092628000000,1308343000000,-606127000000,702216000000,-139806000000,-678000000,-140484000000,561732000000,0,1125
2017,0,7252564000000,-3796588000000,3455976000000,594174000000,-187283000000,406891000000,-62888000000,0,161340000000,160975000000,-34212000000,126763000000,1380000000,4089462000000,-2334457000000,1755005000000,-349935000000,1405070000000,-280779000000,-12000000,-280791000000,1124279000000,0,2002
2018,0,10085843000000,-5260350000000,4825493000000,1026934000000,-292189000000,734745000000,-25871000000,0,35757000000,598878000000,-83764000000,515114000000,535000000,6085773000000,-2689716000000,3396057000000,-653487000000,2742570000000,-548700000000,51000000,-548649000000,2193921000000,0,3873
2019,0,13861218000000,-7648003000000,6213215000000,2238183000000,-440883000000,1797300000000,-121708000000,0,37147000000,287553000000,-63191000000,224362000000,1766000000,8152082000000,-3437100000000,4714982000000,-632725000000,4082257000000,-815890000000,35000000,-815855000000,3266402000000,0,3894
