Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,45826560353,-20930303693,24896256660,0,0,0,0,0,0,2762813537,-13495163465,-10732349928,0,14163906732,0,14163906732,0,14163906732,-3965893885,0,-3965893885,10198012847,0,0
2006,0,77753730469,-35726557062,42027173407,0,0,0,0,0,0,3157533934,-19959813687,-16802279753,0,25224893654,0,25224893654,0,25224893654,-7062970233,0,-7062970233,18161923421,0,0
2007,0,198687598161,-91218706699,107468891462,811852733,-612227012,199625721,15640625,0,0,927037566,-110755000,816282566,0,108500440374,-31960102821,76540337553,-1737030718,74803306835,-20944925914,0,-20944925914,53858380921,0,1169
2008,0,351900247039,-225861620585,126038626454,2107864187,-1741828935,366035252,225418761,6761504739,0,394977718,-125512812,269464906,2793569600,136454619712,-81509685312,54944934400,-4290689385,50654245015,-13400989116,0,-13400989116,37253255899,0,647
2009,0,543762747358,-298469645954,245293101404,9629672415,-4526616468,5103055947,-1897988770,1394708303,0,818005011,-7657347,810347664,6159912000,256863136548,-119119873828,137743262720,-17656954177,120086308543,-28481599136,0,-28481599136,91604709407,0,916
2010,0,1339402617242,-840541098419,498861518823,33484756198,-8066582677,25418173521,-31564718344,-24538942245,0,2950825590,0,2950825590,3043750000,474170607345,-181711380922,292459226423,-33608131475,258851094948,-63244871913,0,-63244871913,195606223035,0,1304
2011,0,2352900085669,-1475635824008,877264261661,72104649666,-20439246438,51665403228,2152481791,-23327833325,0,3591001191,-347534269,3243466922,4152637600,915150417877,-354347487824,560802930053,-36032260892,524770669161,-130154507891,0,-130154507891,394616161270,0,1315
2012,0,2721757907474,-1643661387587,1078096519887,7245205379,-9573245688,-2328040309,1916350289,-29907327045,0,61568947294,-1791242240,59777705054,843921025,1108399128901,-567690690240,540708438661,-72955212805,467753225856,-116727326208,0,-116727326208,351025899648,0,1170
2013,0,2389127368645,-1354768346351,1034359022294,7018460719,-6342101822,676358897,428514275,0,-58179576064,14746259555,-1478764449,13267495106,72872522591,1063424337099,-587586861106,475837475993,-82430186389,393407289604,-79980582610,0,-79980582610,313426706994,0,1045
2014,0,2094846000000,-1301129000000,793717000000,6003000000,-6366000000,-363000000,-1245000000,0,36955000000,17343000000,-13186000000,4157000000,4285000000,837506000000,-525316000000,312190000000,-78478000000,233712000000,-57799000000,0,-57799000000,175913000000,0,567
2015,0,2109696000000,-1287136000000,822560000000,13596000000,-4549000000,9047000000,-11064000000,0,8644000000,24296000000,-10962000000,13334000000,6721000000,849242000000,-571923000000,277319000000,-65659000000,211660000000,-46425000000,0,-46425000000,165235000000,0,558
2016,0,2294005000000,-1508068000000,785937000000,31812000000,-6831000000,24981000000,6483000000,0,66112000000,49616000000,-14958000000,34658000000,7174000000,925345000000,-681680000000,243665000000,-92029000000,151636000000,-30646000000,0,-30646000000,120990000000,0,368
2017,0,2908703000000,-1867071000000,1041632000000,60057000000,-11955000000,48102000000,3633000000,0,-4133000000,53252000000,-15777000000,37475000000,445000000,1127154000000,-806203000000,320951000000,-68757000000,252194000000,-50501000000,0,-50501000000,201693000000,0,634
2018,0,3171636000000,-2196765000000,974871000000,73869000000,-17910000000,55959000000,11626000000,0,116790000000,105024000000,-8832000000,96192000000,724000000,1256162000000,-928436000000,327726000000,-37644000000,290082000000,-58193000000,0,-58193000000,231889000000,0,644
2019,0,3897868000000,-2889998000000,1007870000000,93310000000,-16854000000,76456000000,28631000000,0,61938000000,35287000000,-8208000000,27079000000,835000000,1202809000000,-1041601000000,161208000000,-75287000000,85921000000,-18247000000,0,-18247000000,67674000000,0,212
