Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2010,1,228134021489,-158259961706,69874059783,6595717076,-1779799357,4815917719,145297326,8885189,0,1455711686,-600000,1455111686,-37754801678,38544470025,0,38544470025,-9636117506,28908352519,0,0,0,28908352519,0,0
2010,2,305161148301,-204360590282,100800558019,6224671893,-1658523610,4566148283,-377265212,-216020026,0,719137377,600000,719737377,1650000000,107143158441,-39893080320,67250078121,-10128199279,57121878842,-13867969711,0,-13867969711,43253909131,0,0
2011,1,449018944114,-307484476831,141534467283,16332686259,-2626716413,13705969846,6828755917,2879238158,0,174508319,-87059606,87448713,0,165035879917,-66564754333,98471125584,-897635000,97573490584,0,0,0,97573490584,0,0
2011,2,566609482399,-331514122946,235095359453,15586647559,-6974445813,8612201746,9002829,-8028669,0,2006913970,-127631820,1879282150,0,245587817509,-67456605745,178131211764,-6449458151,171681753613,-42920423904,0,-42920423904,128761329709,0,0
2011,3,614573452355,-365075581628,249497870727,2343508715,-4851670752,-2508162037,0,164806058,0,162865815,-55038453,107827362,2206054400,249468396510,-83449348937,166019047573,-21752263827,144266783746,-35515182337,0,-35515182337,108751601409,0,0
2012,1,705489714169,-491680741896,213808972273,1697103421,-1882379729,-185276308,2132630776,-25092530142,0,35475045220,-119344075,35355701145,634135325,226653633069,-111720118252,114933514817,-1220350785,113713164032,-28269757177,0,-28269757177,85443406855,0,0
2012,2,686843700334,-445026832385,241816867949,1619049676,-1497347078,121702598,86672480,-5940432442,0,15315901116,-972112993,14343788123,220000000,250648598708,-117464976916,133183621792,-14201201437,118982420355,-29690605089,0,-29690605089,89291815266,0,0
2012,3,635594871250,-355662567601,279932303649,1580841592,-2779529734,-1198688142,122066366,1125635539,0,7585225958,-560123991,7025101967,-377714300,286628705079,-124048661170,162580043909,-11293895656,151286148253,-37915965638,0,-37915965638,113370182615,0,0
2012,4,693829621721,-352199525540,341630096181,2348210690,-4413989147,-2065778457,-425019333,0,0,3078772000,-139661181,2939110819,367500000,342445909210,-214447281724,127998627486,-46239764927,81758862559,-20597840640,0,-20597840640,61161021919,0,0
2013,1,579386522694,-294516710864,284869811830,1642674121,-3010252221,-1367578100,88516794,0,0,493084482,-85415542,407668940,0,283998419464,-185398778708,98599640756,0,98599640756,-24649910189,0,-24649910189,73949730567,0,0
