Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2011,0,17849201337737,112933664044,885357501760,4154375068943,4154375068943,0,0,33605741996,74188234948,-40582492952,0,8309061706224,8403856165904,-94794459680,0,0,0,3000000000000,2550000000000,450000000000,0,74441100000,0,0,74441100000,0,433091935844,60880260772,0,372211675072,0,846334618926,285348761680,515457152030,0,45528705216,0,0,17849201337737,14393068341282,0,4767921148642,4767921148642,0,8137592772885,0,54672478500,1050273000000,382608941255,3456132996455,3000000000000,3000000000000,0,0,0,0,0,61211125643,0,0,394921870812,0,0,34927087363,6582164400,0,0,6582164400,28344922963,0,12622334027,6105307961,56000000,0,9561280975,0,0,0,0,0,0,0,0,0
2012,0,18580999422062,113526874777,412726000112,3165923407432,2665923407432,500000000000,0,0,0,0,0,9541603059318,9683477230649,-141874171331,0,0,0,3800223203147,2800223203147,1000000000000,0,69521100000,0,0,69521100000,0,574957537838,114485984796,0,460471553042,0,902518239438,97468169427,731326747302,0,73723322709,0,0,18580999422062,15136131833483,0,3007490490293,2507490490293,500000000000,10641181615932,0,102456558500,1000000000000,385003168758,3444867588579,2965800000000,3000000000000,0,0,0,-34200000000,0,127531734704,0,0,351535853875,0,0,196197833440,163375645160,0,0,163375645160,32822188280,0,0,0,0,0,32822188280,0,0,0,0,0,0,0,0,0
2013,0,21372115468274,105652797636,500116724241,3459029208637,1459029208637,2000000000000,0,0,0,0,326745340,12003522481171,12128627461522,-125104980351,0,0,0,3305051725011,2659749750000,703385725011,-58083750000,69521100000,0,0,69521100000,0,661720877267,133018604858,0,528702272409,0,1267173808971,326194352416,808077575588,0,132901880967,0,0,21372115468274,17896409695913,0,3627404022212,1335728022212,2291676000000,13303626908749,0,78754950033,500000000000,386623814919,3475705772361,2965800000000,3000000000000,0,0,-34200000000,0,0,179184944641,0,0,330720827720,0,0,85831533009,35716258783,0,0,35716258783,50115274226,0,0,0,0,0,50115274226,0,0,0,0,0,0,0,0,0
2014,0,23103925568400,140564992881,622869095680,3422209781203,2681138281203,741071500000,0,0,0,0,0,13389966524994,13526466502377,-136499977383,0,0,0,3039749303155,2724820059845,361202170712,-46272927402,46199100000,0,0,46199100000,0,958094136362,246420850473,0,711673285889,0,1484272634125,429443811729,931507586581,0,123321235815,0,0,23103925568400,19739818454877,0,2781982656399,1767869731607,1014112924792,16570527274744,7004652427,0,0,380303871307,3364107113523,2965800000000,3000000000000,0,0,-34200000000,0,0,215924137840,0,0,182382975683,0,0,140091935336,124524033170,0,0,124524033170,15567902166,0,0,0,0,0,15567902166,0,0,0,0,0,0,0,0,0
2015,0,25322238000000,206918000000,721384000000,1772866000000,1672866000000,100000000000,0,0,0,0,0,16080186000000,16217984000000,-137798000000,0,0,0,3479751000000,3141588000000,416461000000,-78298000000,30530000000,0,0,30530000000,0,1049432000000,374732000000,0,674700000000,0,1981171000000,637547000000,1129732000000,0,213892000000,0,0,25322238000000,21948891000000,312218000000,1172538000000,788037000000,384501000000,20080836000000,555000000,0,0,382744000000,3373347000000,2965800000000,3000000000000,0,0,-34200000000,0,0,242312000000,0,0,165235000000,0,0,33581000000,16632000000,0,0,16632000000,16949000000,0,0,0,0,0,16949000000,11635000000,11635000000,5540000000,6095000000,0,0,0,0,0
2016,0,30451008000000,299046000000,901778000000,3090239000000,3090239000000,0,0,0,0,0,0,19596649000000,19766439000000,-169790000000,0,0,0,2923124000000,2335915000000,715408000000,-128199000000,14521000000,0,0,14521000000,0,1315479000000,584959000000,0,730520000000,0,2310172000000,703720000000,1274730000000,0,331722000000,0,0,30451008000000,27087122000000,200928000000,3477475000000,3010758000000,466717000000,22889160000000,0,0,0,519559000000,3363886000000,2965800000000,3000000000000,0,0,-34200000000,0,0,267096000000,0,0,130990000000,0,0,48486000000,15946000000,0,0,15946000000,32540000000,0,0,0,0,0,32540000000,0,0,0,0,0,0,0,0,0
2017,0,37326805000000,433191000000,2251582000000,4163859000000,4163859000000,0,0,0,0,0,0,24465617000000,24685503000000,-219886000000,0,0,0,2154674000000,1674482000000,636789000000,-156597000000,14521000000,0,0,14521000000,0,1401126000000,689015000000,0,712111000000,143009000000,2299226000000,410054000000,1542115000000,0,349120000000,0,-2063000000,37326805000000,33775208000000,0,7028038000000,6863405000000,164633000000,26124192000000,0,0,0,622978000000,3551597000000,2965800000000,3000000000000,0,0,-34200000000,0,0,285244000000,0,0,300553000000,0,0,78257000000,11059000000,0,0,11059000000,67198000000,0,0,0,0,0,67198000000,11059000000,0,0,0,0,0,0,11059000000,0
2018,0,42309803000000,519751000000,1852903000000,5399327000000,5399327000000,0,0,0,0,0,987000000,29216772000000,29471994000000,-255222000000,0,0,0,1460500000000,0,1553963000000,-93463000000,14521000000,0,0,14521000000,0,1487690000000,781619000000,0,706071000000,96353000000,2260999000000,317959000000,1561344000000,0,385821000000,0,-4125000000,42309803000000,38559656000000,255545000000,7992502000000,7829594000000,162908000000,29206157000000,0,0,300000000000,805452000000,3750147000000,3202758000000,3236958000000,0,0,-34200000000,0,0,226639000000,0,0,320750000000,0,0,155436000000,44351000000,0,0,44351000000,111085000000,0,0,0,0,0,111085000000,44351000000,0,0,0,0,0,0,44351000000,0
2019,0,51102121000000,694761000000,2998548000000,9877201000000,9877201000000,0,0,0,0,0,853000000,33183657000000,33479645000000,-295988000000,0,0,0,830764000000,0,830764000000,0,14521000000,0,0,14521000000,0,1528792000000,786352000000,0,742440000000,94310000000,1878714000000,245786000000,1270241000000,0,366812000000,0,-4125000000,51102121000000,47310267000000,0,12280937000000,11392828000000,888109000000,32920772000000,0,0,1200000000000,908558000000,3791854000000,3202758000000,3236958000000,0,0,-34200000000,0,0,261423000000,0,0,327673000000,0,0,133761000000,5529000000,0,0,5529000000,128232000000,0,0,0,0,0,128232000000,5529000000,0,0,0,0,0,0,5529000000,0
