Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2014,4,0,337033453141,-222629677459,-216021660097,-6608017362,0,0,0,26007142601,75078678091,0,0,75078678091,222898603100,-186682006559,0,0,0,0,0,-62048223913,0,-3642956885,-3636073110,-118457319218,-39947395470,-39947395470,0,0,0,0,0,0,0,-78509923748,-187784573126,35114029974,0,0,0,0,0,0,0,-32646196296,-32646196296,0,0,2467833678,0,0,48557882200,797820336,49355702536,18608030084,-5416311281,13191718803,13993390695,79008645712,0,-14306068472,64702577240,204963653,64497613587,492
2015,1,0,387613544501,-232931944711,-228207868651,-4724076060,0,0,0,50366705477,87828377670,0,0,87828377670,289111012369,-192875520319,0,0,0,0,0,-68992589285,0,-34449246973,-4782170274,-172455490077,-172455490077,-83155042355,0,0,0,0,-89300447722,0,0,0,-280679496609,8431515760,0,0,0,0,0,0,0,-4046433979,-4046433979,0,0,4385081781,0,0,48283196806,4622449408,52905646214,3055371348,-1118522803,1936848545,7948777141,67176353681,0,-11279008520,55897345161,-86660694,55984005855,427
2015,2,0,431696049007,-258270801048,-278600847160,20330046112,0,0,0,56081593009,15503695922,0,0,15503695922,219117474105,-294029303166,0,0,0,0,0,-90448235074,0,2444212702,-4592856055,-103126589180,-103126589180,-87438566209,0,0,0,0,-15688022971,0,0,0,-195723467607,23394006498,0,0,0,0,0,0,0,-19500887582,-19500887582,0,0,3893118916,0,0,48579044789,5260319075,53839363864,3588878731,-4135429540,-546550809,8595637412,65781569383,0,-11591197173,54190372210,-248955834,54439328044,389
2015,3,0,518455159359,-281334425731,-326049298342,44714872611,0,0,0,57412440641,86500872995,0,0,86500872995,314348611728,-381327855186,0,0,0,0,0,-100824689319,0,30396849986,-5772175833,-190595196523,-190595196523,-93485667236,0,0,0,0,-97109529287,0,0,0,-266795211689,47553400039,0,0,0,0,0,0,0,-24163837302,-24163837302,0,0,23389562737,0,0,68333891160,-4176215213,64157675947,3408651740,-1650400176,1758251564,13689105510,102994595758,0,-18363855966,84630739792,-220174448,84850914240,632
2015,4,0,279377460040,-204939749913,-170840239662,-34099510251,0,0,0,42824408905,8383703218,0,0,8383703218,169189682388,-205800286294,0,0,0,0,0,-71428417252,0,3963804427,-3256116610,-79332516008,-79332516008,-68867240826,0,0,0,0,-10465275182,0,0,0,-150053245443,19136436945,0,0,0,0,0,0,0,-18150282005,-18150282005,0,0,986154940,0,0,49624847367,751976803,50376824170,5773157093,-127194783,5645962310,1040435223,58049376643,0,-9181589873,48867786770,-955540227,49823326997,372
2016,1,0,437984329445,-260003612534,-269209881109,9206268575,0,0,0,57654899930,75823622518,0,0,75823622518,293484007512,-290647790168,0,0,0,0,0,-100529171233,0,12266702536,-5063233449,-170304713609,-92023084087,-92023084087,0,0,0,0,0,0,0,-78281629522,-263630415755,29853591757,0,0,0,0,0,0,0,-17886134701,-17886134701,0,0,11967457056,0,0,46280759545,-5298994597,40981764948,3697240585,-781470783,2915769802,4237425015,60102416821,0,-9625171912,50477244909,37207799,50440037110,374
2016,2,0,449204084522,-276724919225,-305321207933,28596288708,0,0,0,60069365938,9875966926,0,0,9875966926,212344759232,-345503399870,0,0,0,0,0,-68137870026,-4316486298,7235922927,0,-103054730594,-103054730594,-88073759983,0,0,0,0,-14980970611,0,0,0,-168273163991,44071595241,0,0,0,0,0,0,0,-20287697018,-20287697018,0,0,23783898223,0,0,41341525182,-2905583860,38435941322,3634076193,-650657144,2983419049,7784841847,72988100441,0,-12564709792,60423390649,-222492508,60645883157,447
2016,3,0,468715048023,-291609021078,-333232169310,41623148232,0,0,0,56270920572,123521713320,0,0,123521713320,318680330097,-189811346601,0,0,0,0,0,-45024213398,-4064486363,-32461739145,0,-206127436077,-206127436077,-85830493383,0,0,0,0,-120296942694,0,0,0,-287677874983,31002455114,0,0,0,0,0,0,0,-24710714796,-24710714796,0,0,6291740318,0,0,65377185076,-7541217118,57835967958,3691368443,-649900891,3041467552,7580473684,74749649512,0,-12519456530,62230192982,-141237245,62371430227,463
2016,4,0,299654308816,-217850147671,-186271123441,-31579024230,0,0,0,45847970505,-33930510118,0,0,-33930510118,139968454160,-134958454330,0,0,0,0,0,-47079866800,0,710720144,-3401495560,-49004891897,-49004891897,-74339020521,0,0,0,0,25334128624,0,0,0,-98775534113,41192920047,0,0,0,0,0,0,0,-25927828647,-25927828647,0,0,15265091400,0,0,63338051326,-10161937199,53176114127,3698527257,-662410355,3036116902,7852869525,79330191954,0,-12476241201,66853950753,534551084,66319399669,493
2017,1,0,451576591243,-287433762186,-301865656429,14431894243,0,0,0,62153219358,89485282654,0,0,89485282654,295424325549,-214667805536,0,0,0,0,0,-62534615736,0,-20079558139,-4491328044,-186918799063,-186918799063,-92056804579,0,0,0,0,-94861994484,0,0,0,-274024300982,21400024567,0,0,0,0,0,0,0,-10297834450,-10297834450,0,0,11102190117,0,0,57087531133,-9685728312,47401802821,3654821926,-623633193,3031188733,9380868393,70916050064,-10425040863,5250516,60496259717,-190989356,60687249073,451
