Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2005,0,393630410761,55900225791,55900225791,0,175534400000,175534400000,0,162151410421,141220674407,0,0,0,20930736014,0,26045830,26045830,0,18328719,0,0,0,0,0,18328719,0,0,0,483905028955,59784859605,41229392562,51603309842,-10373917280,0,0,0,18544281165,19520295963,-976014798,11185878,0,0,0,421849623043,0,0,421849623043,0,2270546307,0,0,0,2270546307,877535439716,522541650277,319148583635,0,244678022281,0,10054330352,2299418032,0,62116812970,0,0,0,0,16000000,0,0,16000000,203377066642,60584874906,0,77039695754,65752495982,0,0,354993789439,353030140719,343000000000,0,0,0,1657634147,833356974,4166784869,2083392435,1288972294,1963648720,1963648720,0,877535439716
2006,0,519166733865,93245227445,32144227445,61101000000,271454500000,271454500000,0,143738780613,143738780613,0,0,0,0,0,23842694,23842694,0,10704383113,10449686382,0,96675605,0,0,158021126,0,0,0,355559276843,56688813039,39065500794,51780488194,-12714987400,0,0,0,17568266367,19520295963,-1952029596,55045878,0,0,0,296605353761,0,38420000000,258185353761,0,2265110043,0,0,2265110043,0,874726010708,461269436734,224798566027,0,204710081250,0,4787589445,2344723314,0,12956172018,0,0,0,0,767397059,727068352,0,40328707,235703473648,67720622117,0,97485319419,70497532112,0,0,413456573974,410597408242,343000000000,0,0,0,0,2012617791,10063088953,5031544477,50490157021,2859165732,2859165732,0,874726010708
2007,0,588564079157,99275778970,39047778970,60228000000,221142599800,221262275350,-119675550,263556815286,263962896982,0,0,0,0,-406081696,33666772,33666772,0,4555218329,4417232202,0,50972971,0,0,87013156,0,0,0,626710594484,53877666975,37001170958,52063678053,-15062507095,0,0,0,16592251569,19520295963,-2928044394,284244448,0,0,0,570567817466,0,249465450000,321102367466,0,2265110043,0,0,2265110043,0,1215274673641,601392562350,310355676655,0,297364791594,0,4100172932,2513608660,0,6377103469,0,0,0,0,1535076659,946119825,113702875,475253959,289501809036,91838877296,0,120903488860,76759442880,0,0,613882111291,611739257971,504138300000,45515630000,0,0,0,3466045810,17330229048,8665114524,32623938589,2142853320,2142853320,0,1215274673641
2008,0,1895644003711,426025983308,56585983308,369440000000,933812439650,952197123800,-18384684150,535588704710,538357243735,0,0,0,0,-2768539025,30652371,30652371,0,186223672,0,0,66232843,0,0,119990829,0,0,0,828251410597,50938809742,35267527093,52763769130,-17496242037,0,0,0,15616236771,19520295963,-3904059192,55045878,0,0,0,775047490812,0,38420000000,736627490812,0,2265110043,0,0,2265110043,0,2723895414308,813124671759,408211035014,0,392160201415,1291963659,8556933289,5043572053,0,1158364598,0,0,0,0,2693969406,1720074536,188917407,784977463,402219667339,137223918213,0,178837698951,86158050175,0,0,1910770742549,1907306770230,672184400000,1104116030642,0,0,0,6562880582,32814402909,16407201455,75221854642,3463972319,3463972319,0,2723895414308
2009,0,2160410615153,557524876302,42888247535,514636628767,980957425749,989129947749,-8172522000,621504128192,624691830518,0,0,0,38250000,-3225952326,42544234,42544234,0,381640676,168195580,0,102042577,0,0,111402519,0,0,0,899094346419,34287821466,34232775588,54253171354,-20020395766,0,0,0,0,0,0,55045878,0,0,0,844166302980,0,372983409999,471182892981,0,20640221973,0,0,6000000000,14640221973,3059504961572,1062504809459,590740333490,0,546400669767,1040668439,38547563947,3182666713,0,1568764624,0,0,0,0,14936438752,2173952085,243286229,0,456828037217,153472672653,0,207056763690,96298600874,0,0,1996976871387,1996976871387,683604900000,1104116030642,0,0,8009310605,10458867357,52294336782,26147168392,112346257609,0,0,23280726,3059504961572
2010,0,2512498116003,836432234938,836432234938,0,791181715317,805257245082,-14075529765,884621130260,892587467722,0,0,0,124355754,-8090693216,32539955,32539955,0,230495533,72182442,0,0,0,0,158313091,0,0,0,1155265113897,36616088293,31728332446,54506740080,-22778407634,0,0,0,0,0,0,4887755847,0,0,0,1099512591295,0,186535219163,913646477406,-669105274,19136434309,13074730309,0,6000000000,61704000,3667763229900,1512953139541,920169742390,0,826636936945,4077065931,36118970695,6896121315,0,41252419745,5188227759,0,0,0,19723669506,2544388951,267113077,1268319307,573059727645,191583232390,0,272753481232,108723014023,0,0,2119540913281,2119540913281,672184400000,1104116030642,0,0,20354044018,14618670958,73359966219,36546677394,198361124050,0,0,35269177077,3667763229899
2011,0,2953556581083,1477184661700,10395621298,1466789040402,441730446507,465770701918,-24040255411,1034304053791,1049439547612,0,0,0,431088134,-15566581955,69217203,69217203,0,268201882,0,0,0,0,0,268201882,0,0,0,1122429104564,29310144445,29271905513,54181487588,-24909582075,0,0,0,38238932,41715200,-3476268,0,0,0,0,1060834546690,0,251554078304,816253899952,-6973431566,16225142464,10225142464,0,6000000000,0,4075985685647,1788570294459,1081061212735,0,904348100875,4490085157,18227650886,7704872128,0,41616527840,5565363969,0,0,0,16729294973,2747351784,192273604,1069422211,690779786751,222837562427,0,344628112228,123314112096,0,0,2252785242919,2252785242919,1008276580000,768023850642,0,0,32370699318,19232357227,96424026884,48080893067,280376835781,0,0,34630148269,4075985685647
2012,0,3154609032597,771395912978,24345224560,747050688418,1335989182165,1348908430836,-12919248671,1040343666132,1059221348207,0,0,0,509156016,-19386838091,62956710,62956710,0,6817314612,6500000000,0,0,0,0,317314612,0,0,0,1057581058079,32870400311,32842590183,61217178606,-28374588423,0,0,0,27810128,41715200,-13905072,0,0,0,0,990352072183,0,315553657604,766610985568,-91812570989,13475483365,7239147361,236336004,6000000000,0,4212190090676,1858279561951,1041446633209,0,869134283758,659532743,12229464472,12535744167,0,140406063104,6481544965,0,0,0,15813404884,2252230666,0,945344014,801019523858,284757322454,0,399713561043,116548640361,0,0,2319702717093,2319702717093,1008276580000,768023850642,0,0,0,23923337154,119878926520,59808342885,339791679892,0,0,34207811632,4212190090676
2013,0,5187257895404,773393970344,42900163924,730493806420,1152034657763,1162071665009,-10037007246,1466240527947,1513173280955,0,0,0,0,-46932753008,54311517,54311517,0,1057946784,123200000,0,601043709,0,0,333703075,0,0,0,1175401172287,32894174761,11779382009,24737860826,-12958478817,0,0,0,21114792752,24415317809,-3300525057,0,16652235383,34055061893,-17402826510,1033157693626,0,331383330134,790821476063,-89047112571,64693397419,6022177067,274347474,0,58396872878,6362659067691,3899520947711,3894871371172,0,1259495964550,206429422,12325352658,14255803845,12615830204,103334427148,8868805103,0,0,0,4649576539,0,0,1097389897,0,0,0,0,0,0,0,2431132289571,2431132289571,1008276580000,768023850642,0,0,0,30042903393,150476757713,75107258481,399204939342,0,0,32005830409,6362659067691
2014,0,4907419601474,297587919060,147927919060,149660000000,1742095935326,30474683685,-2928748359,1026371186846,1078308021619,0,0,0,409756017,-52346590790,135670390,135670390,0,145410857015,144750901483,0,659955532,0,0,0,0,0,0,1127090437485,34532784284,10701654498,24940283036,-14238628538,0,0,0,23831129786,32434195934,-8603066148,0,15235023861,34055061893,-18820038032,981534666404,0,167306051992,472000270000,-47359987642,60464598953,1836755101,230970974,0,58396872878,6034510038959,3355473837652,3352128401641,0,735751584171,980218989,7744878106,14593455287,0,9389622657,12717559202,0,0,0,3345436011,0,0,1049868064,0,0,0,0,0,0,0,2679036201307,2679036201307,1310759370000,566368537309,0,0,0,187779081159,0,93255808614,489126408365,0,0,0,6034510038959
2015,0,5278551452636,215489620218,200489620218,15000000000,1974741015580,31067564861,-6726549281,988251433312,1035509379741,56500000,0,0,338755051,-47653201480,206866990,206866990,0,159203478279,159203478279,0,0,0,0,0,0,0,0,1186755428812,25264330092,8583315430,25113907036,-16530591606,0,0,0,16681014662,32434195934,-15753181272,0,13817812339,34055061893,-20237249554,1050936263290,0,186566776135,472000270000,-17236940220,61345327825,2737416738,211038209,0,58396872878,6465306881448,3812072305307,3808248264821,0,836534241830,1562551137,7883683343,14028770977,0,70799143985,13921185579,0,0,0,3824040486,0,0,0,0,0,0,0,0,0,0,2653234576141,2653234576141,1310759370000,566368537309,0,0,0,191870712711,0,103484887493,450515403971,0,0,0,6465306881448
2016,0,4974630577596,75029558127,70829558127,4200000000,2045815094125,19154237103,-325057978,961571460468,1017813026176,0,0,0,342986056,-56584551764,53899538,53899538,0,168059020152,167284562994,0,774457158,0,0,0,0,0,0,1375719859874,16033364231,6495512172,25150907036,-18655394864,0,0,0,9537852059,32434195934,-22896343875,0,12400600817,34055061893,-21654461076,1243783596892,0,202802787058,476140070000,-3852282403,67943360468,1274232265,413921992,0,66255206211,6350350437470,3595005021683,3589718589047,0,865492353438,2014397619,9054718644,16045137270,0,5981538353,15192932223,0,0,0,5286432636,0,0,0,0,0,0,0,0,0,0,2755345415787,2755345415787,1310759370000,566368537309,0,0,0,196247856004,0,114427745725,537098212962,0,0,0,6350350437470
2017,0,5235413769624,169817165145,66817165145,103000000000,2218226936835,255297398,-176172398,1067450453050,1094732977717,0,0,0,11039453311,-38321977978,59021267,59021267,0,188776477336,187931351792,0,845125544,0,0,0,0,0,0,1236267171559,7605175886,5165764208,25150907036,-19985142828,0,0,0,2439411678,32480195934,-30040784256,0,10983389295,34055061893,-23071672598,1091238504138,0,227722596956,470445070000,-2737031437,90881164774,1168826614,421202827,0,89291135333,6471680941183,3752806269003,3748372372884,0,936307148265,1386887302,5418007023,17387973271,0,158941084871,17416202598,0,0,0,4433896119,0,0,0,0,0,0,0,0,0,0,2718874672180,2718874672180,1310759370000,566368537309,0,0,0,200956093477,0,126198339406,483692105013,0,0,0,6471680941183
2018,0,5323245284131,63803229276,46803229276,17000000000,2433155685385,173907022,-4948983950,869495694856,890833527743,0,0,0,18487490668,-39825323555,40571643367,45118767505,-4547124138,254661650415,249259411914,0,5402238501,0,0,0,0,0,0,1350680978324,5321763664,5261886567,25817950881,-20556064314,0,0,0,59877097,32434195934,-32374318837,0,10664027216,34055061893,-23391034677,1219784370115,0,258842891150,462366363997,-4458755507,78120497772,2978239544,0,0,75142258228,6673926262455,3687506774819,3684807038054,0,740898046995,724298709,16849114278,18338825325,0,47827231542,19210767385,0,0,0,2699736765,0,0,0,0,0,0,0,0,0,0,2986419487636,2986419487636,1310759370000,566368537309,0,0,0,206077621278,0,131075937000,735886003612,0,0,0,6673926262455
2019,0,5846030074798,103163125222,103163125222,0,2792546231902,173907022,-3242840861,980112416948,916184821195,62550480,0,0,90529906968,-26664861695,40500614410,45047738548,-4547124138,418865030529,413364664958,0,5500365571,0,0,0,0,0,0,1148351750011,4684443147,4684443147,25795808154,-21111365007,0,0,0,0,32434195934,-32434195934,0,9408782725,34055061893,-24646279168,1084413654319,0,274951845713,403155876046,-94817694,10702482496,2844149163,0,0,7858333333,6994381824809,3887040153264,3884243615709,0,825996707924,1882361089,17896496743,21508923286,0,48492213904,18970301148,0,0,0,2796537555,0,0,0,0,0,0,0,0,0,0,3107341671545,3107341671545,1310759370000,566368537309,0,0,0,211573836051,0,131075937000,852773676716,0,0,0,6994381824809
