Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2005,0,827509947029,0,-685336641759,-682675887543,0,-2660754216,0,-24679238526,65585821213,19076201504,19076201504,0,0,202156089461,-217722465720,0,156226729821,156226729821,0,0,-61495735899,0,-1440077898,-4265199158,-108773460407,0,0,0,0,0,0,0,-107999346566,0,-774113841,-175974473362,26181616099,0,0,0,0,0,0,0,-17365194554,-17365194554,0,0,8816421545,0,0,48129945533,-802808986,47327136547,9646148,0,9646148,0,56153204240,0,-13480111574,42673092666,0,42673092666,1244
2006,0,790763677766,0,-632595806751,-624676593049,0,-7919213702,0,-7135747211,72592900599,19690395741,19690395741,0,0,243315420144,-189533940437,0,120228793247,120228793247,0,0,-69305147190,0,-20445623665,-4745036130,-113599561296,-112287792832,-95809860157,0,0,0,0,-16477932675,-1311768464,0,0,-208095368281,35220051863,0,0,0,0,0,0,0,-19223118271,-19223118271,0,0,15996933592,0,0,46761678991,-77481221,46684197770,8835666397,0,8835666397,0,71516797759,0,-11048649516,60468148243,0,60468148243,1714
2007,0,0,926272618776,-717542259857,-703674668251,0,-13867591606,0,-24118255179,100251021875,21683450704,21683450704,0,0,306546576319,-244558017689,0,162228746649,162228746649,0,0,-82329271040,0,-23418169441,-6261910768,-145109748838,-144685447371,-132174991396,0,0,0,0,-12510455975,-424301467,0,0,-257119100087,49427476232,0,0,0,0,0,0,0,-23495953033,-23495953033,0,0,25931523199,0,0,48608989605,-119675550,48489314055,9366815894,0,9366815894,0,83787653148,0,-10711182362,73076470786,0,73076470786,1873
2008,0,1095228624390,0,-781941714545,-774858638244,0,-7083076301,0,-45385040917,121482623381,22709075574,22709075574,0,0,412093567883,-480540187139,0,365949649854,365949649854,0,0,-114590537285,0,-57934210091,-9398607295,-207625239924,-207112655636,-181251688319,0,0,0,0,-25860967317,-512584288,0,0,-389548594595,22544973288,0,0,0,0,0,0,0,-34042791390,-34042791390,0,0,-11497818102,0,0,223669363281,-18369277386,205300085895,11291870398,0,11291870398,0,205094138191,0,-45543187908,159550950283,0,159550950283,2352
2009,0,1126515668142,0,-788497311511,-776355960943,0,-12141350568,0,-16248754440,122361697519,28484987303,28484987303,0,0,472616287013,-444016187077,0,289857189275,289857189275,0,0,-154158997802,0,-28219064739,-10140550699,-236057237162,-227933280806,-205640989909,0,0,0,0,-22292290897,-590247691,0,-7533708665,-428575850402,44040436611,0,0,0,0,0,0,0,-29915653706,-29915653706,0,0,14124782905,0,0,211000955213,-2276607022,208724348191,13569024992,-3624825346,9944199646,0,232793330742,0,-37993992011,194799338731,0,194799338731,2898
2010,0,1225620246620,0,-811473141703,-801314180902,0,-10158960801,0,-38110559737,142400105313,37530642511,8375258426,29155384085,0,555967293004,-507166828056,0,367208656460,367208656460,0,0,-139958171596,0,-65696717542,-12424413149,-271857997699,-261812488366,-238078463266,0,0,0,0,-23734025100,0,-1935369827,-8110139506,-489937299986,66029993018,0,0,0,0,0,0,0,-43047886562,-43047886562,0,0,22982106456,0,0,262918290603,-22659182603,240259108000,14703507268,-3829050222,10874457046,22740524710,296856196212,0,-61962391431,234893804781,1459183870,233434620911,3494
2011,0,1433956406776,0,-947586470995,-933611986583,0,-13974484412,0,-31254330037,164400356627,38118275234,10169420069,27948855165,0,657634237605,-682833214604,0,504854055123,504854055123,0,0,-177979159481,0,-71874630996,-14591098073,-313749386219,-314895141048,-275710789313,0,0,0,0,-39184351735,0,1145754829,0,-578194274769,79439962836,0,0,0,0,0,0,0,-49146674861,-49146674861,0,0,30293287975,0,0,292074906967,-37278264410,254796642557,14776036907,-3954335293,10821701614,65018859141,360930491287,0,-67110306008,293820185279,-680043939,294500229218,2921
2012,0,0,1625113379098,-978369705701,-961702290345,0,-16667415356,0,-57758669714,157858035012,61967014192,23515580340,38451433852,0,808810052887,0,-901440270348,598771436368,598771436368,0,0,-302668833980,27000000000,-36792356175,-19402310202,-387313738696,0,0,0,0,0,0,0,-374372668852,-12941069844,0,-719177239053,89632813834,0,0,0,0,0,0,0,-51580309481,-51580309481,0,0,38052504353,0,0,304361947006,-89988073202,214373873804,11963399048,-7240566170,4722832878,44299560873,301448771908,0,-46095487167,255353284741,-422336637,255775621378,2537
2013,0,0,1450054039586,-949950970521,-924856035481,0,-25094935040,0,68269059580,185842572795,19054857764,-4804072243,23858930007,0,773269559204,0,-1044425581434,756096510792,756096510792,0,0,-288329070642,0,56360906279,-15003092072,-350995337010,0,0,0,0,0,0,0,-355635593647,4640256637,0,-597966593445,175302965759,0,0,0,0,0,0,0,-82553996393,-82553996393,0,0,92748969366,0,0,230666235600,-14973582804,215692652796,-7756554977,-5675682932,-13432237909,72631304237,367640688490,0,-69307022767,298333665723,-2201981224,300535646947,2981
2014,0,0,1512456200118,-935774298078,-954209712719,18435414641,0,0,0,103273380221,412067999363,0,0,412067999363,1053238145015,-1054419773432,0,0,0,0,0,-260684324226,0,-60500312130,-16753113940,-588227975574,-588227975574,-174364485568,0,0,0,0,-413863490006,0,0,0,-926165725870,127072419145,0,0,0,0,0,0,0,-75521992650,-75521992650,0,0,51550426495,0,0,300699029599,13723227330,314422256929,28093716323,-11213957626,16879758697,33234599904,416087042025,0,-81536984387,334550057638,-258834549,334808892187,2974
