Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2015,0,691822898328,-187409288570,-102642936959,-4580790209,-28418809568,3330318235,-21159923471,76263504104,350941467786,-57073205246,0,-729000000000,577000000000,0,0,43032988986,-166040216260,0,0,0,-34382800180,0,-139804905500,0,-174187705680,10713545846,10074045298,6425413,20794016557
2016,0,678509478339,-178821598521,-121121904415,-2698159643,-30444096345,2509319591,-34223815034,79994971334,313709223972,-58809023756,0,-1090000000000,1128000000000,0,0,47483374516,26674350760,0,0,110000000000,-145211014331,0,-298839260750,0,-334050275081,6333299651,20794016557,5374786,27132690994
2017,0,652239735241,-172934136696,-114272032862,-1546193693,-55809683767,2786933268,-39315428879,82203721480,271149192612,-29387608003,0,-840000000000,750000000000,0,0,59122959283,-60264648720,0,0,0,-35737528760,0,-178863116450,0,-214600645210,-3716101318,27132690994,2620468,23419210144
2018,0,647879342268,-170435010955,-124564659934,-444327957,-37129369123,1751936523,-39077165058,80606095837,277980745764,-165149265300,0,-1060000000000,1155000000000,0,0,65423606357,-4725658943,0,0,0,-25391439137,0,-179188230700,0,-204579669837,68675416984,23419210144,132756,92094759884
2019,0,617587314722,-153722845777,-120966117128,0,-35893791352,2090386762,-40416197245,74430167145,268678749982,-27723846000,2178000000,-1302000000000,1042000000000,0,0,73060734586,-212485111414,0,0,0,0,0,-119033421800,0,-119033421800,-62839783232,92094759884,-17762164,29237214488
