Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2008,0,595326000000,-154371000000,440955000000,1921000000,-1783000000,138000000,1119000000,-7672000000,107552000000,60035000000,-2520000000,57515000000,0,599607000000,-150953000000,448654000000,-5066000000,443588000000,0,0,0,443588000000,0,1344
2009,0,1108678000000,-452177000000,656501000000,16552000000,-6164000000,10388000000,22804000000,5693000000,185870000000,10234000000,-911000000,9323000000,34000000,890613000000,-322018000000,568595000000,-28542000000,540053000000,0,0,0,540053000000,0,1897
2010,0,2489081000000,-1264774000000,1224307000000,43381000000,-10646000000,32735000000,49513000000,-222000000,17239000000,4391000000,-447000000,3944000000,0,1327516000000,-511106000000,816410000000,-57510000000,758900000000,-76000000000,0,-76000000000,682900000000,0,1871
2011,0,5193132000000,-3135463000000,2057669000000,39314000000,-79763000000,-40449000000,103318000000,0,-23155000000,43458000000,-39827000000,3631000000,0,2101014000000,-939539000000,1161475000000,-75194000000,1086281000000,-109253000000,0,-109253000000,977028000000,0,1776
2012,0,6341079000000,-3887371000000,2453708000000,39153000000,-183399000000,-144246000000,31736000000,-14214000000,0,51497000000,-67371000000,-15874000000,0,2311110000000,-1036472000000,1274638000000,-306953000000,967685000000,-99525000000,0,-99525000000,868160000000,0,1275
2013,0,6127272000000,-3856416000000,2270856000000,50284000000,-234018000000,-183734000000,7218000000,5903000000,-15504000000,57406000000,-3139000000,54267000000,0,2139006000000,-1191262000000,947744000000,-283342000000,664402000000,-99128000000,0,-99128000000,565274000000,0,815
2014,0,6163158000000,-3872312000000,2290846000000,35527000000,-342003000000,-306476000000,6312000000,-234000000,247563000000,18313000000,-143389000000,-125076000000,0,2112935000000,-1350947000000,761988000000,-226820000000,535168000000,-68705000000,0,-68705000000,466463000000,0,685
2015,0,6968760000000,-4348857000000,2619903000000,78543000000,-72498000000,6045000000,-10469000000,-244000000,10959000000,16757000000,-155248000000,-138491000000,0,2487703000000,-1563456000000,924247000000,-502310000000,421937000000,-72088000000,0,-72088000000,349849000000,0,524
2016,0,8907851000000,-4884081000000,4023770000000,164177000000,-88112000000,76065000000,137811000000,-324000000,-222440000000,5365000000,-148602000000,-143237000000,0,3871645000000,-2031488000000,1840157000000,-492299000000,1347858000000,-285072000000,0,-285072000000,1062786000000,0,1582
2017,0,11509779000000,-6282936000000,5226843000000,190084000000,-125204000000,64880000000,5659000000,14045000000,370117000000,33169000000,-611803000000,-578634000000,0,5102910000000,-2813096000000,2289814000000,-521728000000,1768086000000,-400000000000,0,-400000000000,1368086000000,0,2028
2018,0,13856320000000,-8840534000000,5015786000000,331158000000,-178333000000,152825000000,6914000000,0,-4683000000,58200000000,-349597000000,-291397000000,0,4879445000000,-3048068000000,1831377000000,-618436000000,1212941000000,-252988000000,0,-252988000000,959953000000,0,1287
2019,0,16259848000000,-10198972000000,6060876000000,592483000000,-199072000000,393411000000,63982000000,4070000000,-53806000000,90911000000,-53124000000,37787000000,275000000,6506595000000,-4032180000000,2474415000000,-435591000000,2038824000000,-438547000000,0,-438547000000,1600277000000,0,1588
