Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,ST liabilities/ Equity,ST liabilities/ Total Assets,ROE %,ROA %,Net Profit per Employees,Dividend Yield,Cash Dividend Ratio,Dividend Payout Ratio,Gross profit margin %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,Total assets growth rate,Equity growth rate,Capital growth rate,Net Interest Margin (NIM),Average Yield on Earning Assets (YOEA),Average Cost of Financing (COF),Non-interest income/ Net Interest Income,Cost-to-Income Ratio,Preprovision ROA % %,Average Loans Growth %,Aver Deposit Growth %,CAR - Tier 1,CAR - Tier 2,Equity/Liabilities,Equity/Loans,Equity/Assets,Loans/Deposit Ratio,NPLs/Loans Ratio,Loan-loss reserves/NPLs,Loan-loss reserves/Loans,Provision Charges/Loans
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,330000000,330000000,10444.2060606061,1816.99090909091,10369.9090909091,-1812.96363636364,1344.20606060606,1344.20606060606,1213.49015151515,1344,0,1.16241366824233,0.537553792465238,0.128703517797892,0.0595184537020178,54730166.5638495,0,0,0,0.748246768299903,0.739797900958461,0.739797900958461,0.242362399505257,0,0,5.57726989909556,5.57726989909556,6.17804766741561,0.717814255721891,4.1260525644297,0.722957157509928,-4.13521807587777,0,0,0,0.0667055141137404,0.090058003413674,0,0.359791815491377,-0.251753231700097,0.060198184638054,0,0,0,0,0.860278941413417,1.42730516425703,0.462446207534762,0.848039282825739,0,0,0.0020788884324353,-0.00209793800771259
2009,0,365000000,365000000,10488.1917808219,2440.03561643836,10388.7232876712,3837.44657534247,1479.59726027397,1479.59726027397,1460.4404109589,1897,0,3.53659039911812,0.77957013703631,0.148472709407765,0.043517778632200396,66632078.9636027,0,0,0,0.638431058158819,0.606383468464979,0.606383468464979,0.325468269499581,0,0,5.06691935791487,5.06691935791487,5.13338301497531,0.714803862922164,3.07249613468476,0.721647866865126,1.95364283327669,1.33020915613404,0.110718774625804,0.106060606060606,0.0598254439275832,0.101031306156038,-0.0465728584047171,0.356553912332198,-0.361568941841181,0.0458177092644166,1.2458844634977,1.56456454241738,0,0,0.282758218268465,0.705884327011053,0.22042986296369,0.742659511286376,0.00284939632183925,-1.86494531806122,0.00531396832971496,-0.00728297477700323
2010,0,3104527537.74722,3104527537.74722,11250.3890410959,3637.0301369863,10825.4109589041,394.102157292451,219.969058639931,219.969058639931,219.016256655077,1871,0,7.51957679637015,0.882623277669607,0.17213257106675597,0.0260889570399803,84256631.7088217,0,0,0,0.614990704443487,0.571669192687696,0.514419411894094,0.485131404159837,0,0,34.0820661158163,34.0820661158163,34.2303357499477,0.666376955731455,2.06129718963839,0.692537218998931,19.0229864548463,1.014444809762,0.0726719415702983,0,0.0520044040592937,0.105727708867393,-0.0578242299293723,0.0842999345752332,-0.385009295556513,0.0311894646610197,0.813247729130887,0.686294253306104,0,0,0.132986207479485,0.417583488132599,0.117376722330393,0.798570990630678,0.00417706330972168,-1.90593047034765,0.00796119223856974,-0.00753885588063203
2011,0,601000000,601000000,10971.7154742097,3495.86356073211,10508.996672213,15463.2179700499,1625.67054908486,1625.67054908486,1621.13935108153,1776,0,7.51263686493223,0.882527586238349,0.18261534880073998,0.021445556330407397,120546329.42628,0,0,0,0.552816401984946,0.51702701647871,0.465026887017412,0.466301662095787,0,0,4.61163549048748,4.61163549048748,4.62452533460398,0.683302444145823,2.14453449620041,0.713388750024343,0.484827932615361,0.604481407627021,0.605789461892581,0.646575342465753,0.0498504808274505,0.125812328027695,-0.0798550657386476,0.0210650984196195,-0.447183598015054,0.0254941286624948,0.297287400280444,1.08358831829302,0,0,0.133109055845337,0.516887132765427,0.117472413761651,0.497207665871047,0.021363959426953,-0.429869782016049,0.00918372058186401,-0.00665703385469209
2012,0,646000000,646000000,11441.1795665635,3577.56965944272,10950.3544891641,-12613.6300309598,1343.90092879257,1343.90092879257,1362.33049535604,1275,0,7.98561480567858,0.888711009583002,0.124155854668033,0.0141688321223105,107114127.082048,0,0,0,0.551526322849194,0.418710057072143,0.375646334445353,0.477200167992894,0,0,5.57853621452267,5.57853621452267,5.50306994195318,0.655264604176809,2.0955566805561,0.68463537024474,-0.594357055153739,0.183145077019421,0.120867588585443,0.0748752079866888,0.0454691068520249,0.117505097838916,-0.0735051941486449,-0.0581153095641372,-0.448473677150806,0.02080276888905,0.802259973807607,0.611091301057501,0,0,0.125225173556944,0.32146418524161,0.111288990416998,0.556205271719552,0.0271080222450894,-0.647220497417606,0.0175448676414743,-0.0171727626254517
2013,0,646000000,646000000,11255.8436532508,3311.15479876161,10743.9226006192,22070.3235294118,875.037151702786,875.037151702786,812.03366873065,815,0,9.94639399555099,0.908645714706922,0.0771058956258977,0.0077431114951537405,69743861.8136953,0,0,0,0.443076831014032,0.310612499450679,0.264269478439986,0.441663972090384,0,0,8.56763622597183,8.56763622597183,9.23237580988374,0.666054027663649,2.2641647569011,0.697789836978901,0.339686909890977,0.19847927573247,-0.0161990214587955,0,0.0357188455094372,0.0963773493177465,0,-0.0580618057683975,-0.556923168985968,0.0129821776003549,0.285160706605141,0.343918596467936,0,0,0.100538949135465,0.246083449627141,0.0913542852930779,0.531887245179332,0.0248203558920475,-0.809748401946026,0.0200982435193171,-0.0107858276884259
2014,0,646000000,646000000,11441.326625387,3270.79721362229,10909.580495356,-13149.7120743034,722.078947368421,722.078947368421,867.291021671827,685,0,12.6382666876108,0.92667689942532,0.0636272221165852,0.0051715450242844395,57552498.4577421,0.0800320128051221,1.2034649122807,0.830934071941397,0.360630118768443,0.253281809426225,0.220765428184019,0.436280807472628,0,0,10.3825212289078,10.3825212289078,8.6441572813108,0.655256181863125,2.29210174472949,0.687194159591316,-0.570126551641409,0.266445294704173,0.0164788156134927,0,0.0288383771019323,0.0775850819054581,0,-0.0776617022706895,-0.639369881231557,0.00844794817587772,0.397356775863548,0.400818445230195,0,0,0.0791247743632672,0.179008409119064,0.0733231005746805,0.530572858015587,0.0139774645151548,-0.820372645408123,0.0114667295403957,-0.00640398796619456
2015,0,646000000,646000000,11765.5108359133,3850.93343653251,11138.5433436533,-883.797213622291,541.561919504644,541.561919504644,702.348684210526,524,0,13.1552663501971,0.929354914611969,0.046672617103278496,0.0033576510276541,43164589.7594078,0,0,0,0.371526263384335,0.169609073108808,0.140631337422514,0.486106215164417,0,0,14.6280595342562,14.6280595342562,11.2792978446378,0.673323930467915,2.05716357619861,0.711224058261977,-8.96359467748405,0.0673166176714866,0.0283344948659177,0,0.0284032380066221,0.0755506401920329,-0.0458086978620112,-0.0504598834384326,-0.628473736615665,0.00887039519723142,0.360281217042607,-0.00245278008021066,0,0,0.0760151845944965,0.135325342776117,0.0706450853880313,0.723502886499197,0.00966215597621528,-1.28019636134468,0.0123694569234955,-0.0103086691277483
