Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2013,2,2057146870772,-1785078509160,-45576753832,18219400898,0,215960042,-166073513052,-38144497513,40708958155,0,1292714000000,-2245413091358,722964400,-6964982784147,0,0,-4724766898103,3031825000,-753301791301,7769022393418,163716720,13468045301,0,0,5944769425963,376136764048,0,-21538109995,0,354598654053,-36356750404,25264783,-523868669,0,0,0,0,0,0,-36855354290,0,0,0,-193800000000,0,0,-193800000000,123943299763,1509741404501,-3062227172,1630622477092
2014,3,1110366593722,-668077739375,-78160016122,-172390410,0,-10599313414,-209307883142,-20494907396,123554343863,0,-1177148038548,332722158328,-1046498460652,-5157002969928,0,-111132414179,2543035437405,-2466585000,-1174883032239,7490540170443,1043825441528,-18037253464,0,0,88675028892,2935183826449,0,-1129592216,0,2934054234233,-62175906840,187829090,-198828643,0,0,0,-300000000000,0,0,-362186906393,0,0,0,-193800000000,0,0,-193800000000,2378067327840,7318623352090,-4301468656,9692389211274
2015,1,1256927817241,-1200537138189,-62289236543,-8255535835,0,-11382658863,-199782148617,-25664605507,-250910756313,0,1962627999630,-770570772327,0,-6672619032014,0,6050000,-909582878125,203798564035,-1035475138893,3482644550048,-43310302084,10600000000,0,0,36540449111,-3986251266932,0,-575957990,0,-3986827224922,-60569134816,1721249,-73275865,0,0,0,0,0,0,-60640689432,0,0,0,-129200000000,0,0,-129200000000,-4176667914354,7946272720957,1313198758,3770918005361
2015,3,1574596000000,-779716000000,-69150000000,0,32645000000,18205000000,-36961000000,-13426000000,726262000000,0,1963878000000,1469565000000,-11939000000,-4713404000000,0,42562000000,-1201671000000,10894000000,2175174000000,2036030000000,11258000000,10850000000,0,0,267589000000,2787048000000,0,60593000000,0,2847641000000,-53829000000,339000000,-336000000,0,0,0,0,0,0,-53826000000,0,0,0,0,0,0,0,2793815000000,2877403000000,2015000000,5673233000000
2016,1,2061615000000,-1162825000000,-67198000000,60391000000,0,-53063000000,-198467000000,-48986000000,591540000000,0,-520804000000,-3051277000000,-21155000000,-2479775000000,0,0,-776297000000,-5713961000000,-2839578000000,13942290000000,0,-1650000000,0,0,130208000000,-740459000000,0,-42626000000,0,-783085000000,-11032000000,30000000,-551000000,0,0,0,0,0,0,-11553000000,0,0,0,-290700000000,0,0,-290700000000,-1085338000000,7039419000000,0,5954081000000
2016,2,1759019000000,-974536000000,-62180000000,-17733000000,0,-33488000000,-520734000000,-45553000000,105145000000,0,833054000000,-1516678000000,27079000000,-6264396000000,0,2317000000,832738000000,-370664000000,-4235448000000,19235167000000,0,800000000,0,0,-71029000000,8578085000000,0,-2155000000,0,8575930000000,-75211000000,205000000,551000000,0,0,0,0,0,0,-74455000000,0,0,0,0,0,0,0,8501475000000,5954081000000,0,14455556000000
2016,3,3074810000000,-971067000000,-34846000000,47369000000,0,-31157000000,-106611000000,-44997000000,1933283000000,0,-59745000000,-245128000000,-4954000000,-7748497000000,0,-2317000000,396189000000,35314000000,10512752000000,-6753541000000,-34196000000,3800000000,1000000000000,0,1162736000000,195696000000,0,-1116000000,0,194580000000,-35067000000,-153000000,-492000000,0,0,0,0,0,0,-35712000000,0,0,0,0,0,0,0,158868000000,14455556000000,0,14614424000000
2016,4,2739310000000,-1569631000000,321443000000,18691000000,0,-12494000000,-136600000000,-70714000000,1289972000000,0,-685255000000,3455358000000,13857000000,-7018700000000,0,752000000,1271557000000,15215000000,159385000000,6931994000000,34196000000,10500000000,1100000000000,0,-132638000000,6446193000000,0,-481000000,0,6445712000000,-104737000000,471000000,492000000,0,0,0,0,0,0,-103774000000,0,0,0,0,0,0,0,6341938000000,14614424000000,0,20956362000000
2017,1,4943007000000,-3522529000000,19256000000,111288000000,0,-116167000000,-425589000000,-139790000000,869292000000,0,-550000000000,-1664759000000,-44940000000,-9559851000000,0,752000000,-1484854000000,783538000000,-5820255000000,509477000000,0,5850000000,482133000000,0,656076000000,-15817541000000,0,-2143000000,0,-15819684000000,-10969000000,4000000,0,0,0,0,0,0,0,-10965000000,0,0,0,-258400000000,0,0,-258400000000,-16089049000000,20956361000000,0,4867312000000
2017,2,76710000000,747884000000,-2149000000,-35423000000,0,-286418000000,-692047000000,-137034000000,-320407000000,0,1430000000000,786529000000,64309000000,-3368028000000,0,-52826000000,1414892000000,233746000000,5712137000000,-3375877000000,26687000000,7750000000,1240920000000,0,-716564000000,3083268000000,0,-20793000000,0,3062475000000,-61038000000,317000000,0,0,0,0,0,0,0,-60721000000,0,0,0,0,0,0,0,3001754000000,4867313000000,0,7869067000000
2017,3,3195011000000,-1501156000000,80871000000,79406000000,0,-49020000000,-193962000000,-33395000000,1577889000000,0,300000000000,640486000000,0,-2262673000000,0,0,-221064000000,994667000000,-10404057000000,14325505000000,-10474000000,1950000000,368502000000,0,-379542000000,4931189000000,0,-7022000000,0,4924167000000,-152856000000,-294000000,0,0,0,0,0,0,0,-153150000000,0,0,0,0,0,0,0,4771017000000,7869067000000,0,12640084000000
2017,4,3223129000000,-1455447000000,53623000000,7672000000,0,-74076000000,-1405642000000,-80366000000,268931000000,0,-1430000000000,1817124000000,-38738000000,-5754522000000,0,-1991000000,-20344000000,-991170000000,9254288000000,5831378000000,32907000000,-2250000000,-34424000000,0,1332543000000,10263732000000,0,-6572000000,0,10257160000000,-150480000000,8161000000,0,0,0,0,0,0,0,-142319000000,0,0,0,0,0,0,0,10114841000000,12640083000000,0,22754924000000
2018,1,2987133000000,-1690954000000,8841000000,84653000000,0,-119107000000,-623119000000,-93008000000,554439000000,0,-609972000000,-4875930000000,-41657000000,-7515920000000,0,-22394000000,-442104000000,993209000000,-10825251000000,16073933000000,0,1650000000,-5650000000,0,-565595000000,-7281242000000,0,-550000000,0,-7281792000000,-26388000000,7000000,0,0,0,0,0,0,0,-26381000000,1039994000000,0,0,-1033597000000,0,0,6397000000,-7301776000000,22754923000000,0,15453147000000
2018,2,2783868000000,-1622907000000,32769000000,-38864000000,0,-47953000000,-696083000000,-95768000000,314538000000,0,-899498000000,2064257000000,41657000000,-6387915000000,0,-77298000000,440953000000,-7841000000,-1031509000000,1966746000000,20319000000,24850000000,4244607000000,0,275990000000,989856000000,0,-99292000000,0,890564000000,-110808000000,4101000000,-5435000000,0,0,0,0,0,0,-112142000000,-387594000000,0,0,387592000000,0,0,-2000000,778420000000,15453147000000,0,16231567000000
2018,3,3571803000000,-1705617000000,-4326000000,8798000000,0,-46400000000,-455966000000,-39001000000,1329294000000,0,1739470000000,-152997000000,-70322000000,-669769000000,0,-76452000000,-320216000000,-8721000000,9805404000000,-18774152000000,-20319000000,19750000000,-394913000000,0,-86902000000,-7680845000000,0,-1559000000,0,-7682404000000,121593000000,100000000,-168000000,0,0,0,0,0,0,121525000000,387594000000,0,0,-387595000000,0,0,-1000000,-7560880000000,16231567000000,0,8670687000000
