Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2010,3,151642075821,14454193620,-24900442989,-22708267163,0,-2192175826,0,-29452901049,8915858949,28535160523,0,29046445892,-511285369,149193944875,-69779536296,-5930441027,20787682976,20159033158,0,628649818,-54922294347,0,-1104253961,-1795741219,-18798914924,-15940179701,-12647526493,0,0,-1287129160,-1716084647,-289439401,-3286460223,427725000,0,-76621204451,72572740424,0,0,0,41111594445,-39417412291,1694182154,-6085074886,-54908092851,-54908092851,0,0,11579572687,0,1694182154,25871242954,-12361538505,13509704449,1048662000,-697049130,351612870,1058681770,28193753930,0,-6668912790,21524841140,62758568,21462082572,512
2010,4,251445546301,8361059189,-54012554847,-53968822981,0,-43731866,0,-32551070385,9389681554,1941004105,0,2602080,1938402025,184573665917,-68814849823,-2923541650,9439953434,7933603496,5000000,1501349938,-62298438039,0,9422414160,-13267517528,-35000988715,-33379987167,-25468221671,0,-105592330,-5042531056,-929055459,-1834586651,-2059751548,11025000,427725000,-101144530122,83429135795,0,0,0,45063942720,-43980029300,1083913420,-13180094700,-71569852078,-71569852078,0,0,-1320810983,0,1083913420,64253073585,-26797599477,37455474108,-1010752100,680923673,-329828427,-1783841332,35104906786,0,-7967442643,27137464143,60768027,27076696116,645
2011,1,230780626151,22468276312,-50996572647,-47646354466,-407044151,-2943174030,0,-41259274721,11931084474,42186813630,112674936,0,42074138694,215110953199,-57402609217,-6885697740,9336665713,8495688798,840976915,0,-54951641244,0,-20838319562,-2549666617,-23781242571,-18865300947,-17123752241,0,0,-232365103,-729263314,-779920289,-4915941624,0,0,-102120869994,112990083205,0,0,0,0,-40136999114,-40136999114,-6691895028,-56902860701,-56902860701,0,0,49395327476,0,-40136999114,25376439526,-12824301988,12552137538,1304223,-375621500,-374317277,-491455738,20944692885,0,-5323696437,15620996448,8984698,15612011750,347
2011,2,253632493871,11187631623,-60520817396,-52566431772,-7623780383,-330605241,0,-43651900327,11932666301,1687695902,0,0,1687695902,174267769974,-94679258554,-4661339333,50461898077,49814149439,50000000,597748638,-48878699810,0,2311832225,-9646882520,-28005687788,-24743610662,-20844739088,0,0,-996379050,-1504316653,-1398175871,-2603692780,-658384346,0,-84219437893,90048332081,0,0,0,66896853444,-62067475222,4829378222,-8002184218,-81249600176,-81249600176,0,0,796547687,0,4829378222,33773421366,-8666839338,25106582028,107152039,-69286069,37865970,-683018269,30087355638,0,-6850025116,23237330522,339249046,22898081476,509
2011,3,268866375672,14505868145,-35673715659,-36798603163,2386303905,-1261416401,0,-52932890459,8047039689,2628368793,0,281330253,2347038540,205441046181,-92307819706,-11737888649,93747622135,92798766305,23150000,925705830,-10298086220,61900000000,-130877422938,-7431335072,-34755401669,-31491581819,-24418247761,0,-21153170,0,-5517749606,-1534431282,-3263819850,0,0,-121462245899,83978800282,0,0,0,91893370811,-87268942877,4624427934,-11238844033,-82518931275,-82518931275,0,0,-9778975026,0,4624427934,25964837692,-5165998552,20798839140,55000871,-5144123,49856748,-464391283,15229757513,0,-3925623774,11304133739,230113186,11074020553,246
2011,4,330167596284,19278990022,-74665472938,-69688434742,-2076275640,-2900762556,0,-31773229508,16648280665,-311387017,0,0,-311387017,259344777508,-265721336572,-9040604153,45767770034,43996773058,0,1770996976,-228994170691,18100000000,135534880883,-8243054174,-51856304441,-46180375467,-35562672665,0,0,-5182932973,-4377114227,-1057655602,-5040478696,-635450278,0,-135458648423,123886129085,0,0,0,84705458973,-81050188614,3655270359,-20252534807,-112468351415,-112468351415,0,0,-8834757137,0,3655270359,45993761623,-13900734275,32093027348,347959540,-86725078,261234462,7091860460,34266635492,0,-4380386495,29886248997,204876929,29681372068,660
2012,1,642683892081,25752561807,-331725451994,-324994319649,-1978047978,-4753084367,0,-65748509634,10649989781,2749720000,29830,2086322608,663367562,284362202041,-123037780471,-8249262002,19775055835,18763337468,0,1011718367,-111511986638,0,-40107886903,-4033760162,-42965206520,-38043909859,-32703348004,0,0,0,-2876296924,-2464264931,-4921296661,0,0,-198618840223,85743361818,0,0,0,64541840477,-60248202603,4293637874,-8696116162,-88818196598,-88818196598,0,0,-11770950942,0,4293637874,26973631098,1920298441,28893929539,12482475,-96462247,-83979772,-1511957100,19820679599,0,-5292947739,14527731860,140488175,14387243685,320
2012,2,257711919807,17870933129,-12383883525,-5989818567,-1692908567,-4701156391,0,-30251079045,15689332492,315241853,0,6865377,308376476,248952464711,-135238763432,-10148477356,8389303502,7790057687,0,599245815,-136997937286,28000000000,16207327295,-13963538977,-44258752175,-39142477333,-32771790280,0,0,-3668967056,71891100,-2773611097,-4169654842,-946620000,0,-151012901143,97939563568,0,0,0,70053540303,-66000750267,4052790036,-17245012530,-100115189113,-100115189113,0,0,-19420638075,0,4052790036,34982775392,-7624861941,27357913451,4093120,17214949,21308069,-5536893740,6474479741,0,-1846675856,4627803885,150446950,4477356935,1203
2012,3,344858415295,12509804297,-66124531225,-61459911880,-1891575187,-2773044158,0,-22759437849,18591533252,283544988,0,0,283544988,287359328758,-140659911624,-2252580300,10844912825,8748466251,24000000,2072446574,-132067579099,22000000000,-12182655983,9085762542,-47526916804,-44282075331,-38930320891,0,0,-1742574846,-1376827148,-2232352446,-3240315062,-4526411,0,-160691389344,126667939414,0,0,0,55727173494,-52623225612,3103947882,-17918535350,-102928298246,-102928298246,0,0,5821105818,0,3103947882,21603046038,-4003577237,17599468801,253654231,-44841940,208812291,-495547528,26237787264,0,-6120188624,20117598640,119151653,19998446987,0
2012,4,415800627032,33449566172,-124219292142,-115995392919,-4427000502,-3796898721,0,-26331744056,21197318794,294139891,100320,0,294039571,320190615691,-156661045642,-17692696195,20100934335,18782460308,0,1318474027,-154252807502,30000000000,25589179944,-3250309045,-66451589347,-58333051006,-44119084995,0,-34999998,-1719514314,-9301912482,-3157539217,-7176599497,-941938844,0,-168365525950,151825089741,0,0,0,6682969196,-5034545771,1648423425,-23432426934,-131335856180,-131335856180,0,0,-2943193373,0,1648423425,31673106376,-1137822504,30535283872,2001050135,-47933761,1953116374,3711602606,34905232904,0,-7492611529,27412621375,-7081516,27419702891,544
