Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2005,0,358910514690,33900787545,2132950658,31767836887,260333000000,260333000000,0,62796390726,50686885386,3106982324,0,0,9783783164,-781260148,491413856,491413856,0,1388922563,0,0,0,0,0,1388922563,0,0,0,78598980706,56227494788,13263514124,24465211725,-11201697601,0,0,0,42683180664,42860514000,-177333336,280800000,0,0,0,16640000000,0,13640000000,3000000000,0,5731485918,1743470837,0,3988015081,0,437509495396,326599414476,41312915687,0,14600037040,1524298095,11304980527,12715777520,0,1167822505,0,0,0,0,389214614,340104700,0,0,284897284175,103100373889,0,56328329873,125468580413,0,0,110910080920,108530707806,70000000000,0,0,0,0,10068002559,0,5757900725,22704804522,2379373114,2379373114,0,437509495396
2006,0,392876816914,74016486615,50916486615,23100000000,238300000000,238300000000,0,77793326512,64221873023,7717268451,0,0,11524704326,-5670519288,399666125,399666125,0,2367337662,0,0,50817660,0,97525888,2218994114,0,0,0,86060258468,62311105937,13089041937,28148991720,-15059949783,0,0,0,49222064000,49488064000,-266000000,0,0,0,0,15640000000,0,13640000000,2000000000,0,8109152531,3433737098,0,4675415433,0,478937075382,352931288306,42544329183,0,20581911946,1196604101,6188160163,14196678064,46811773,334163136,0,0,0,0,0,0,0,0,310386959123,109312833637,0,64282586695,136791538791,0,0,126005787076,120347303828,83046300000,0,0,0,0,13618217995,6657322461,0,17025463372,5658483248,5658483248,0,478937075382
2007,0,407447740664,133944827776,0,0,192371000000,0,0,77248409368,0,0,0,0,0,0,932189798,932189798,0,2951313722,0,0,0,0,0,0,0,0,0,97385812790,59709487049,9270383049,0,0,0,0,0,49222064000,0,0,1217040000,0,0,0,24420000000,0,0,0,0,13256325741,0,0,0,0,504833553454,353617460303,46842213147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306775247156,0,0,0,0,0,0,151216093151,146218815916,105000000000,0,0,0,0,0,22226825690,0,18991990226,4997277235,4997277235,0,504833553454
2008,0,610903772222,45807848045,45807848045,0,426496989048,428811709422,-2314720374,132015517909,82477287468,13852228769,0,0,48209911942,-12523910270,818463395,818463395,0,5764953825,508003549,0,1066397974,280621254,0,3909931048,0,0,0,268922835397,66261253086,10160310542,31892585810,-21732275268,0,0,0,52986204000,53252204000,-266000000,3114738544,0,0,0,186241148337,0,32068181397,154172966940,0,16420433974,5865104595,0,0,10555329379,879826607619,400101213996,78689968331,0,36119563476,1542604386,19209550537,14249755349,33843785,7534650798,0,0,0,0,792630187,0,0,397321051,320618615478,131167920161,0,74513005145,114937690172,0,0,477666698596,474791194310,300000000000,114375000000,0,0,0,14517639731,0,9808402445,36090152134,2875504286,2875504286,2058695027,879826607619
2009,0,665504949494,99497839316,39397839316,60100000000,386663251932,387401286119,-738034187,164246934676,112504504538,29661397268,0,0,36141969214,-14060936344,8584068115,8584068115,0,6512855455,405912343,0,1056738481,216546915,0,4833657716,0,0,0,348343347878,81189533887,24287216353,48309375582,-24022159229,0,0,0,53695567799,53962204000,-266636201,3206749735,0,0,0,249815794449,0,67264594580,182923311402,-372111533,17338019542,5974500960,0,0,11363518582,1013848297372,524596640430,106867359334,5117333332,57352437550,3521805405,15073994250,16309151259,1111496180,8381141358,0,0,0,0,1607716893,0,0,547474422,416121564203,182270341549,0,107685527549,126165695105,0,0,483890734250,483538416347,300000000000,114375000000,-201068212,0,-190538338,14937483028,0,12044101089,42573438780,352317903,352317903,5360922692,1013848297372
2010,0,985183082558,197304823335,42274823335,155030000000,500909260377,502149947769,-1240687392,277706001912,163630850721,23719055316,0,0,103716326990,-13360231115,2366317754,2366317754,0,6896679180,135494090,0,1082735331,1164929850,0,4513519909,0,0,0,486570638579,75548850321,29903944976,59427483126,-29523538150,0,0,0,45574633861,46147404000,-572770139,70271484,6994763526,6994763526,0,383795528808,0,117178199723,267396651111,-779322026,20231495924,8623453794,0,0,11608042130,1471753721137,801727867639,247191213008,100405824000,66045343542,1745550263,24801192394,25314422649,1919081914,25541850208,1417948038,0,0,0,10018857729,0,0,731333965,544517796902,278318419396,0,122705081721,143494295785,0,0,666737523517,666737523517,450000000000,114375000000,-201068212,0,-57044594,15377483028,15814608483,0,71428544812,0,0,3288329981,1471753721137
2011,0,1096982330931,295255761644,103985481174,191270280470,380667650912,384788153994,-4120503082,397750292516,260366216840,38059776652,0,0,121447891994,-22123592970,7273495875,7273495875,0,16035129984,144828911,0,0,579894968,1682870693,13627535412,0,0,0,516823463236,91927394782,46112444979,82402432349,-36289987370,0,0,0,45814949803,46844274011,-1029324208,0,6994763527,6994763527,0,328334166502,0,119287767563,211052427778,-2006028839,26263689123,10318673440,0,5945015683,10000000000,1613805794167,944190975857,215667195769,15979816516,119946567879,2710892830,23596475720,32795251964,0,20249767362,388423498,0,0,0,51713606943,27134321422,0,1117789128,676810173145,448354325030,0,137065497310,91390350805,0,0,663873741294,663873741294,450000000000,114253305488,0,0,0,16142724236,0,15814608483,67663103087,0,0,5741077016,1613805794167
2012,0,1090589267959,72097225837,54726741441,17370484396,656125301034,656882129534,-756828500,317455484654,199080436331,25229431736,0,11369563664,110971130774,-29195077851,24828873360,24828873360,0,20082383074,782976684,0,0,848947095,3028775859,15421683436,0,0,0,568201562819,92371616021,46059026760,91805958116,-45746931356,0,0,0,46312589261,48137677011,-1825087750,0,6994763527,6994763527,0,332401846621,0,114581270187,222156058788,-4335482354,26923970624,11603302658,0,15320667966,0,1658790830778,992700882163,185778090812,18100000000,88518597724,6466141274,25393809814,27098706031,0,20196646332,4189637,0,0,0,41820411077,441163136,0,0,765102380274,593979953708,0,147559532957,23562893609,0,0,661779115796,661779115796,503957090000,60296215488,0,0,0,16833594811,0,22449937984,58242277513,0,0,4310832819,1658790830778
2013,0,1024438909153,46283085159,44083085159,2200000000,627091744305,627203364808,-111620503,319905275944,195643607519,56479039329,0,0,117485569756,-49702940660,8645993844,8645993844,0,22512809901,1031060826,0,0,669896921,3197261263,17614590891,0,0,0,701900517781,81781062012,36047481458,82135211812,-46087730354,0,0,0,45733580554,48244677011,-2511096457,0,6994763527,6994763527,0,463364809107,0,113046216392,356817037308,-6498444593,25087498913,9407170673,0,15680328240,0,1726339426934,1066601321460,203783360079,3500000000,105857543552,4344377211,21348412599,30774926552,0,37958060528,39637,0,0,0,37988677683,1290163136,215900487,0,824829283698,634173247924,0,154148087038,36507948736,0,0,658782932851,658782932851,503957090000,60296215488,0,0,0,17491684675,0,22476110676,54561832012,0,0,955172623,1726339426934
2014,0,1634391305710,42130918112,42130918112,0,680651232938,681370437856,-719204918,382076045131,277260207452,51186197278,0,0,125497024800,-71867384399,8049547373,8049547373,0,128567159055,109331467340,0,664314689,600613140,0,17970763886,0,0,0,842017764213,217926601420,45634123234,99574881926,-53940758692,0,0,0,46229303732,49523077011,-3293773279,126063174454,6994763527,6994763527,0,586883133760,0,113932253713,478439347222,-5488467175,19433265506,10471687209,0,0,5985848983,2476409069923,1801490063534,1751845734224,737734572,167471359841,7984738038,17018971968,50640495808,2405397097,57067269186,418091519,0,0,0,49644329310,0,269875609,0,0,0,0,0,0,0,0,674024454021,674024454021,503957090000,60296215488,0,0,0,17511684675,0,28471899039,63787564819,0,0,894552368,2476409069923
