Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2005,0,265582249979,20623779179,-73097794351,-69493949246,0,-3603845105,0,-38544459795,0,28276724624,0,28276724624,0,202840499636,-60462623698,-7795974123,6897885401,5689451770,780710268,427723363,-61360712420,-25572988177,-3476795330,0,-23803148790,-18494123304,-13426661089,0,0,-3916567017,-1118760736,-32134462,-5309025486,0,0,-114213644717,88626854919,0,0,0,0,0,0,-3061681768,-73606574232,-73606574232,0,0,11958598919,0,0,20707822939,-155402412,20552420527,15278924,-724892,14554032,0,32525573478,0,-8857470574,23668102904,0,23668102904,33812
2006,0,281193135832,24321758562,-79155127104,-74590734151,0,-4564392953,0,-6212459748,0,23302760732,23281587625,0,21173107,243450068274,-101026042805,-6786264095,7233666381,6023835049,935352000,274479332,-100578640519,0,-7954256822,-11322958378,-24946306236,-19204203312,-13612849579,0,-52937332,-4182508607,-1312422849,-43484945,-5742102924,0,0,-144802161955,98647906319,0,0,0,0,0,0,-7034790221,-90601324311,-90601324311,0,0,1011791787,0,0,23628840766,-163940616,23464900150,48191776,-15293821,32897955,0,24509589892,0,-6521155170,17988434722,0,17988434722,25502
2007,0,0,0,-87986606589,0,0,0,0,0,0,0,0,0,0,255196805123,0,0,0,0,0,0,0,0,0,0,-145627113693,-145627113693,0,0,0,0,0,0,0,0,0,-145627113693,109569691430,0,0,0,138811677,0,138811677,-8016442797,-98837855603,-98837855603,0,0,2715393030,0,138811677,25946153278,-151541593,25794611685,0,0,0,0,28648816392,0,-7611546415,21037269977,0,21037269977,0
2008,0,443664486058,36903215542,-206759969177,-196918738978,0,-9841230199,0,-16724507979,34818923585,12651515275,216000,0,12651299275,304553663304,-148552152155,-18220849735,19782921017,12535053936,7247867081,0,-146990080873,0,11095372099,-8214232442,-42843262631,-27754267235,-19972156134,0,-4060909,-4838361596,-2670239362,-269449234,-8665844043,-6423151353,0,-186952203847,117601459457,0,0,0,0,0,0,-6362214469,-116584033918,-116584033918,0,0,-5344788930,0,0,69164054386,-6128972866,63035081520,671241223,-135979097,535262126,0,58225554716,0,-15499096029,42726458687,0,42726458687,1771
2009,0,455026081143,38049341544,-118808591593,-112859269928,0,-5949321665,0,-51102421388,27874904192,3525129787,0,0,3525129787,354564443685,-124063815066,-17015773908,22346062248,21691074303,350973559,304014386,-118733526726,0,-33172522404,-11228004933,-53912896003,-43673187191,-31989483389,-1250000,-700000,-7213248129,-2930368625,-1538137048,-9136577430,-1103131382,0,-217046950066,137517493619,0,0,0,64808076682,-60221362241,4586714441,-11320354428,-133985485703,-133985485703,0,0,-7788346512,0,4586714441,81848104600,-20589594974,61258509626,404501575,-21945586,382555989,4877516619,63316950163,0,-13653386491,49663563672,530799093,49132764579,1638
2010,0,684469187473,49340707044,-154756158024,-149617446987,0,-5138711037,0,-96048077846,34729600649,32884311382,0,29049047972,3835263410,550619570678,-220143539484,-16515084426,49062693661,46583117008,10000000,2469576653,-187595930249,0,-15019554172,-17328600681,-84841169558,-73799904699,-57101360561,0,-11829091,-8325054223,-4590592804,-3771068020,-11907739859,438750000,427725000,-304785254660,245834316018,0,0,0,151868582050,-145005363930,6863218120,-26175225914,-208332239923,-208332239923,0,0,11326850181,0,6863218120,135586416610,-53896131836,81690284774,47266968,-17563358,29703610,403572994,100313629679,0,-22812629415,77501000264,238370547,77262629717,1842
2011,0,1084284313216,67440766102,-221856578640,-206699824143,-7720796269,-7435958228,0,-170035905634,48559071129,4182491100,112674936,281330253,3788485911,812574157273,-509763382438,-32325529875,199313955959,195105377600,73150000,4135428359,-342774956354,80000000000,-14360415589,-27896055020,-138398636469,-121280868895,-97949411755,0,-21153170,-10525157808,-8014963118,-4770183044,-15823932950,-1293834624,0,-443430063432,369144093841,0,0,0,285036683436,-270248196519,14788486917,-46452730181,-332596905680,-332596905680,0,0,-9905542020,0,14788486917,124384266890,-43002212575,81382054315,523777437,-737103868,-213326431,5096804596,91148477377,0,-20482621752,70665855625,754064201,69911791424,1554
2012,0,1663194286589,89582865405,-535522875073,-509509159202,-9989532234,-16024183637,0,-145625628678,66128174319,3642646732,130150,2093187985,1549328597,1141399469294,-555597501169,-38343015853,59110206497,54084321714,24000000,5001884783,-534830310525,80000000000,-10494035647,-12172542804,-201416408083,-180015456766,-148738487407,-6765308518,0,-34999998,-13848893152,-10627767691,-19507866062,-1893085255,0,-678913297059,462486172235,0,0,0,334686568440,-318803357741,15883210699,-67664535550,-424356067207,-424356067207,0,0,-29534430522,0,15883210699,113009821266,-11859827138,101149994128,2271954263,-404945214,1867009049,-3780713591,85585069763,0,-20508202003,65076867760,580901996,64495965764,1276
2013,0,1478443828460,97901515041,-281839830865,-259799149388,-7448326622,-14592354855,0,-40193294216,67482408759,575366374,32118831,163548473,379699070,1322369993553,-564485677368,-53631324889,61855784823,54474960065,67380182,7313444576,-556261217434,0,-6588554081,-12945055127,-217639269180,-193986398782,-166082270356,-157304075,-3603737,-12945385233,-7057073914,-7740761467,-23652870398,0,0,-793434095822,528935897731,0,0,0,213205967073,-204303981049,8901986024,-93136054781,-437831999920,-437831999920,0,0,-2032156970,0,8901986024,101351741909,-34840948826,66510793083,765429979,-1034467398,-269037419,-1150911821,71960672897,0,-17142105839,54818567058,-34723905,54853290963,1088
2014,0,1718211337762,98008578242,-292901568559,-323468515979,30566947420,0,0,0,42662734117,745172086,0,0,745172086,1441451732979,-701977423712,0,7272117507,0,7272117507,0,-545005100300,0,-81330675176,-14927514000,-431200833975,-431200833975,-113311511465,0,0,0,0,-317889322510,0,0,0,-1072464123451,368987609528,0,0,0,104514107547,-95423423929,9090683618,-2523566599,-360088131259,-360088131259,0,0,6375911670,0,9090683618,104599549315,-36308193012,68291356303,3341922313,-2664915856,677006457,1117718086,85552676134,0,-18237684531,67314991603,-85474883,67400466486,1337
2015,0,2461662760300,127167710922,-470953558998,-612651445802,141697886804,0,0,0,153894756395,315945447,0,0,315945447,1892918244050,-855886014942,0,7974937308,0,7974937308,0,-639836612766,0,-132339029668,-19761790254,-703772535413,-703772535413,-234787952433,0,0,0,0,-468984582980,0,0,0,-1495709968101,397208275949,0,0,0,233830287303,-114656502883,119173784420,-2170092007,-397036065184,-397036065184,0,0,-1997881242,0,119173784420,150162436288,-64658651013,85503785275,999777159,-1913601887,-913824728,1042032881,202807896606,0,-42540912537,160266984069,62891533,160204092536,2541
2016,0,3096474612452,129700247181,-648905890917,-682607113937,33701223020,0,0,0,210158962292,76163804304,0,0,76163804304,2542387176731,-1220933094388,0,12528993926,0,12528993926,0,-972856116153,0,-194235546545,-25435677457,-856856205049,-856856205049,-277947672582,0,0,0,0,-578908532467,0,0,0,-2049383545204,493003631527,0,0,0,111790591289,-95719136904,16071454385,-2155978974,-494143052748,-494143052748,0,0,-3295400195,0,16071454385,156990827591,-36731249082,120259578509,968266626,-2481022071,-1512755445,2211318236,133734195490,0,-25323569800,108410625690,110857890,108299767800,1347
2017,0,3206371714043,143631384852,-874320789457,-1068492024874,194171235417,0,0,0,237115495348,131400038184,0,0,131400038184,2781985447762,-1709178004193,0,25767114895,0,25767114895,0,-1260288305906,0,59666454936,-22815110140,-1005263113556,-1005263113556,-332656891735,0,0,0,0,-672606221821,0,0,0,-2228700074666,553285373096,0,0,0,129637094303,-109611647347,20025446956,-1741479988,-539624787964,-539624787964,0,0,11919105144,0,20025446956,245417767411,-93440918531,151976848880,1348346457,-1139302533,209043924,2308806005,186439250909,0,-32696262536,153742988373,49227226,153693761147,1845
2018,0,4159480240770,126354440693,-1208055461740,-1414550062963,206494601223,0,0,0,288629661402,507369080807,0,0,507369080807,3377065124664,-1714283076028,0,11480315488,0,11480315488,0,-1280323374997,0,-47102907926,-28712846185,-1429626746208,-1429626746208,-400384268787,0,0,0,0,-1029242477421,0,0,0,-2785765875316,591299249348,0,0,0,166612786332,-149441216809,17171569523,-1768729868,-594053982001,-594053982001,0,0,-4523462521,0,17171569523,172116516152,-160538828441,11577687711,2991878874,-2411561556,580317318,-837888346,23968223685,0,-7001085930,16967137755,-4400362,16971538117,193
2019,0,5692726345390,108920975323,-1598946590984,-2240217554853,641270963869,0,0,0,381272476367,741933653264,0,0,741933653264,4310237987970,-2058402239394,0,19906234798,0,19906234798,0,-1448535312210,0,-2706867994,-35614297659,-2148293842797,-2148293842797,-514028551706,0,0,0,0,-1634265291091,0,0,0,-3635150320660,675087667310,0,0,0,238560442964,-202101021063,36459421901,-3006968579,-625514339977,-625514339977,0,0,46566358754,0,36459421901,187901770914,-135765412523,52136358391,2664187726,-2253012419,411175307,2408355394,137981669747,0,-24573224409,113408445338,162983403,113245461935,1354
