date,close,volume
2018-08-13T02:07,943.2,2
2018-08-13T02:11,943.2,6
2018-08-13T02:12,943.2,4
2018-08-13T02:15,943.2,1
2018-08-13T02:16,943.2,3
2018-08-13T02:17,943.1,6
2018-08-13T02:19,943,2
2018-08-13T02:21,943,1
2018-08-13T02:33,944.5,1
2018-08-13T02:50,945.5,1
2018-08-13T02:58,948.8,6
2018-08-13T02:59,950,4
2018-08-13T03:24,946,3
2018-08-13T03:25,946,1
2018-08-13T03:45,945,2
2018-08-13T03:54,944.6,1
2018-08-13T03:56,946,4
2018-08-13T04:15,948.5,1
2018-08-13T06:00,948.8,1
2018-08-13T06:07,949.7,1
2018-08-13T06:19,948.8,1
2018-08-13T06:40,949.9,1
2018-08-13T06:43,950,2
2018-08-13T06:59,950.7,1
2018-08-13T07:06,951,1
2018-08-13T07:08,951.3,1
2018-08-13T07:09,951.4,3
2018-08-13T07:13,953,1
2018-08-13T07:26,954.5,1
2018-08-13T07:28,955,1
2018-08-14T02:00,954,1
2018-08-14T02:06,954.3,1
2018-08-14T02:08,952.5,3
2018-08-14T02:10,957,3
2018-08-14T02:22,955,1
2018-08-14T02:23,955,3
2018-08-14T02:27,952.1,5
2018-08-14T02:37,956.4,1
2018-08-14T02:53,955.1,1
2018-08-14T03:35,955,1
2018-08-14T03:38,954,1
2018-08-14T03:43,953,1
2018-08-14T03:57,954,1
2018-08-14T04:01,955.3,1
2018-08-14T04:03,955.3,4
2018-08-14T04:16,954,1
2018-08-14T04:25,953,5
2018-08-14T06:12,954.9,2
2018-08-14T06:42,958.8,1
2018-08-14T06:59,959.5,1
2018-08-14T07:00,959.9,1
2018-08-14T07:02,960,1
2018-08-14T07:12,960.6,1
2018-08-14T07:15,960.6,1
2018-08-14T07:16,960.5,1
2018-08-14T07:18,960.5,1
2018-08-14T07:23,959.2,1
2018-08-14T07:45,958.5,2
2018-08-15T02:04,960.2,1
2018-08-15T02:12,960.5,1
2018-08-15T02:29,960.5,1
2018-08-15T02:34,960,1
2018-08-15T02:37,959.6,1
2018-08-15T02:39,960.6,1
2018-08-15T03:05,962,1
2018-08-15T03:53,958.2,5
2018-08-15T03:54,958.2,1
2018-08-15T04:00,957.9,1
2018-08-15T04:04,959.4,2
2018-08-15T04:22,957,4
2018-08-15T06:09,956,2
2018-08-15T06:13,955.5,3
2018-08-15T06:53,958,1
2018-08-15T06:59,958.5,1
2018-08-15T07:01,958.5,2
2018-08-15T07:02,958.8,10
2018-08-15T07:05,958,10
2018-08-15T07:06,959.9,1
2018-08-15T07:08,957,2
2018-08-15T07:12,955.3,1
2018-08-15T07:13,954.3,2
2018-08-15T07:16,954,2
2018-08-15T07:17,953,1
2018-08-15T07:19,951.6,2
2018-08-15T07:21,950.3,1
2018-08-15T07:23,950.3,2
2018-08-15T07:24,952,2
2018-08-15T07:26,952,5
2018-08-15T07:45,949.4,3
2018-08-16T02:12,941,1
2018-08-16T02:20,942.9,1
2018-08-16T02:23,943,1
2018-08-16T02:25,942,2
2018-08-16T02:39,941.7,2
2018-08-16T02:54,940.1,1
2018-08-16T02:56,940,1
2018-08-16T03:07,942.1,1
2018-08-16T03:08,942.9,1
2018-08-16T03:12,942.9,1
2018-08-16T03:13,942,5
2018-08-16T03:49,940.2,1
2018-08-16T03:50,939.3,3
2018-08-16T03:52,939.3,3
2018-08-16T03:54,937.7,1
2018-08-16T03:55,937.6,1
2018-08-16T04:01,936,2
2018-08-16T04:02,937,2
2018-08-16T04:20,935.8,1
2018-08-16T04:21,936,2
2018-08-16T04:23,937.9,1
2018-08-16T04:25,937.1,1
2018-08-16T06:12,937.1,1
2018-08-16T06:19,936.5,1
2018-08-16T06:23,937,1
2018-08-16T06:33,938,1
2018-08-16T06:35,939.7,2
2018-08-16T06:37,941,1
2018-08-16T06:38,941,2
2018-08-16T07:03,943.9,1
2018-08-16T07:05,945,6
2018-08-16T07:08,946.5,1
2018-08-16T07:13,949.9,1
2018-08-16T07:18,949.8,7
2018-08-16T07:19,949.8,1
2018-08-16T07:22,949,1
2018-08-16T07:23,948,2
2018-08-16T07:26,946.1,2
2018-08-16T07:45,947.5,4
2018-08-17T02:11,953,1
2018-08-17T02:18,953.1,1
2018-08-17T02:20,953,3
2018-08-17T02:22,953.1,2
2018-08-17T02:24,951.2,2
2018-08-17T02:36,953,1
2018-08-17T02:39,951,4
2018-08-17T03:41,949.2,2
2018-08-17T03:42,949.2,5
2018-08-17T03:43,952.9,1
2018-08-17T03:44,950,1
2018-08-17T03:47,950,1
2018-08-17T03:54,951.2,1
2018-08-17T03:55,951.2,1
2018-08-17T03:57,951.2,3
2018-08-17T04:02,951,1
2018-08-17T04:19,953.1,1
2018-08-17T06:02,954,1
2018-08-17T06:12,953,1
2018-08-17T06:14,952.3,1
2018-08-17T06:22,953.3,1
2018-08-17T06:24,952.3,2
2018-08-17T06:34,951.7,1
2018-08-17T06:35,951.5,2
2018-08-17T06:41,952.7,1
2018-08-17T06:57,950.9,1
2018-08-17T06:58,948.1,1
2018-08-17T07:25,950.9,1
2018-08-17T07:29,947,1
2018-08-17T07:45,947,1
2018-08-20T02:15,945.8,1
2018-08-20T02:19,946.5,1
2018-08-20T02:21,946,2
2018-08-20T02:23,945.4,1
2018-08-20T02:35,945.5,1
2018-08-20T02:38,944.5,1
2018-08-20T03:16,948,1
2018-08-20T03:31,948,1
2018-08-20T04:05,947.8,1
2018-08-20T04:10,948,2
2018-08-20T04:12,949.2,2
2018-08-20T04:28,950.4,1
2018-08-20T06:13,949.3,2
2018-08-20T06:26,950,3
2018-08-20T06:43,951.7,2
2018-08-20T06:51,950,1
2018-08-20T06:53,950,1
2018-08-20T07:00,947.1,1
2018-08-20T07:04,948.3,1
2018-08-20T07:05,947,1
2018-08-20T07:06,948.2,2
2018-08-20T07:11,945.5,1
2018-08-20T07:21,943.5,2
2018-08-20T07:26,946.9,2
2018-08-20T07:45,945.5,1
2018-08-21T02:29,946,1
2018-08-21T02:30,947.4,1
2018-08-21T02:31,945.5,5
2018-08-21T02:37,945,1
2018-08-21T02:38,944.8,1
2018-08-21T03:42,947,1
2018-08-21T03:50,946.8,1
2018-08-21T03:51,947,1
2018-08-21T03:57,948,3
2018-08-21T03:58,948,1
2018-08-21T04:11,948,1
2018-08-21T04:12,948,1
2018-08-21T06:05,948.2,1
2018-08-21T06:31,950,1
2018-08-21T06:36,950.2,1
2018-08-21T06:37,950.2,1
2018-08-21T06:40,950.2,1
2018-08-21T06:43,950.2,1
2018-08-21T06:44,950.2,1
2018-08-21T06:45,949.4,2
2018-08-21T06:50,949.4,1
2018-08-21T06:56,951,1
2018-08-21T06:57,950.2,1
2018-08-21T07:02,951.5,1
2018-08-21T07:11,952,1
2018-08-21T07:13,953,1
2018-08-21T07:18,952.9,2
2018-08-21T07:28,954.6,1
2018-08-21T07:29,954.7,1
2018-08-21T07:45,959.8,1
2018-08-22T02:00,962.9,1
2018-08-22T02:01,960.1,1
2018-08-22T02:04,960.2,1
2018-08-22T02:18,962,2
2018-08-22T02:19,962.1,1
2018-08-22T02:21,961.9,2
2018-08-22T02:22,961.9,1
2018-08-22T02:31,960.5,3
2018-08-22T02:35,960,1
2018-08-22T02:45,960,2
2018-08-22T02:49,960,4
2018-08-22T02:53,960,1
2018-08-22T03:12,961.7,1
2018-08-22T03:42,960.5,2
2018-08-22T03:59,961,1
2018-08-22T04:17,959,2
2018-08-22T04:21,958.2,1
2018-08-22T04:27,958.3,1
2018-08-22T06:14,958.2,1
2018-08-22T06:19,959.3,1
2018-08-22T06:33,957.7,1
2018-08-22T06:36,958.9,2
2018-08-22T06:50,960,4
2018-08-22T06:51,960.5,1
2018-08-22T07:09,959.7,1
2018-08-22T07:15,958,3
2018-08-22T07:17,957.9,2
2018-08-22T07:18,956.2,1
2018-08-22T07:23,956.2,2
2018-08-22T07:27,955,6
2018-08-22T07:28,956.1,1
2018-08-22T07:45,958.9,2
2018-08-23T02:32,958.1,1
2018-08-23T02:33,957.6,1
2018-08-23T02:42,959.8,1
2018-08-23T02:46,958.5,2
2018-08-23T02:47,958,3
2018-08-23T03:06,959.1,1
2018-08-23T03:56,958.7,1
2018-08-23T04:04,957.6,1
2018-08-23T04:11,959.5,1
2018-08-23T06:13,958.4,1
2018-08-23T06:17,957.6,2
2018-08-23T06:22,957.1,2
2018-08-23T06:23,957,1
2018-08-23T06:24,957,1
2018-08-23T06:30,958,1
2018-08-23T06:38,959.5,1
2018-08-23T06:39,959.5,1
2018-08-23T06:55,960,2
2018-08-23T06:58,962,1
2018-08-23T07:02,963,1
2018-08-23T07:08,963.4,3
2018-08-23T07:13,963.4,1
2018-08-23T07:15,962.5,5
2018-08-23T07:27,962.3,1
2018-08-24T02:00,960.2,1
2018-08-24T02:04,961,1
2018-08-24T02:07,960,1
2018-08-24T02:20,960.9,1
2018-08-24T02:35,960.9,1
2018-08-24T03:10,959.5,1
2018-08-24T03:27,960.9,1
2018-08-24T03:39,960.4,1
2018-08-24T03:44,960,4
2018-08-24T03:45,959.5,1
2018-08-24T03:48,959.5,1
2018-08-24T03:56,959.6,1
2018-08-24T03:58,959.4,11
2018-08-24T04:16,958.1,1
2018-08-24T04:22,958.4,1
2018-08-24T06:00,958.4,1
2018-08-24T06:10,961.9,1
2018-08-24T06:29,962.7,2
2018-08-24T06:35,961.8,1
2018-08-24T06:45,961.1,3
2018-08-24T06:49,961.7,1
2018-08-24T06:56,962,2
2018-08-24T07:12,963,3
2018-08-24T07:26,961.2,2
2018-08-24T07:45,959.8,1
2018-08-27T02:30,960.9,1
2018-08-27T02:38,964,1
2018-08-27T02:48,963.9,1
2018-08-27T02:55,962.5,10
2018-08-27T03:04,962.6,1
2018-08-27T03:10,963,1
2018-08-27T03:33,964.5,3
2018-08-27T03:54,963,1
2018-08-27T04:29,964.8,2
2018-08-27T06:00,965,1
2018-08-27T06:01,965.3,1
2018-08-27T06:23,964.4,2
2018-08-27T06:29,964.4,1
2018-08-27T06:32,964.4,1
2018-08-27T06:56,963.9,1
2018-08-27T07:10,963.4,1
2018-08-27T07:45,966,3
2018-08-28T02:00,966,1
2018-08-28T02:10,966,3
2018-08-28T02:49,965.3,1
2018-08-28T03:17,966,10
2018-08-28T04:03,966,3
2018-08-28T06:24,969,1
2018-08-28T06:31,967.4,1
2018-08-28T06:49,966.1,1
2018-08-28T06:55,966.2,2
2018-08-28T06:57,966,3
2018-08-28T06:59,966.1,1
2018-08-28T07:08,966,4
2018-08-28T07:09,966,1
2018-08-29T02:48,966,1
2018-08-29T02:55,967.6,1
2018-08-29T03:06,965.8,1
2018-08-29T03:32,965.4,2
2018-08-29T03:49,965.1,6
2018-08-29T04:27,966,1
2018-08-29T06:00,965.2,1
2018-08-29T06:08,965.5,1
2018-08-29T06:25,965.5,1
