Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2014,4,1323137050241,197239492641,-693584799836,-967367755967,408853490313,0,-135070534182,0,72462803765,40091660268,0,0,40091660268,939346207079,-408744402034,-124307154622,191267342232,189387275973,830295372,1049770887,-341784214424,30217665499,-26244480053,-20613939529,-416137061815,-351192448595,-16990412804,0,0,0,0,-334202035791,-47828471080,-17116142140,0,-774562030322,164784176757,0,0,0,0,0,0,-22849391609,-150991693963,-150991693963,0,0,-9056908815,0,0,168622309761,-44901408905,123720900856,14055197035,-10000278047,4054918988,-7521437217,111197473812,0,-35435111508,75762362304,-10131753812,85894116116,381
2015,1,1688238249586,249562318677,-1037648346541,-1159645740323,177632537450,0,-55635143668,0,199904372479,14509184535,0,0,14509184535,1114565778736,-833581098995,-156309663402,1319345932,0,33995193,1285350739,-276053423345,18930097687,-167925677849,-32901532634,-500882074869,-313812708431,-23416788010,0,0,0,0,-290395920421,-163729261754,-23340104684,0,-958832611010,155733167726,0,0,0,19218584563,-20811510689,-1592926126,-10166613578,-148889265662,-148889265662,0,0,-3322711514,0,-1592926126,152504455925,-43606494689,108897961236,580503059,-213775731,366727328,-300298738,104048752186,0,-34316270487,69732481699,-6250083903,75982565602,337
2015,2,1985930656538,260883493565,-1290885143088,-788313514528,-502571628560,0,0,0,82165693643,9691073211,0,0,9691073211,1047785773869,-1247751565556,-144834763653,11421895117,0,11300255734,121639383,-351280348476,33212173532,-58522867278,-31557364606,-447227551850,-329042840397,-25053865396,0,0,0,0,-303988975001,-80393331047,-37791380406,0,-855375958678,192409815191,0,0,0,23298872663,-21067278206,2231594457,-15018821087,-155677658128,-155677658128,0,0,21713335976,0,2231594457,164763832939,-64998284946,99765547993,696078508,-578999784,117078724,337439942,124164997092,-33905978456,0,90259018636,4580558652,85678459984,366
2015,3,2213406789937,256520987422,-1411523720238,-752601384488,-658922335750,0,0,0,82835467942,3628365546,0,0,3628365546,1144867890609,-463991721697,-217355374919,1302149704,0,114398158,1187751546,-467515721285,36822543126,-40862526500,-36090499719,-449451863922,-372421718426,-32648945830,0,0,0,0,-339772772596,-63406833894,-13623311602,0,-957098068300,187769822309,0,0,0,22587403359,-14971718019,7615685340,-18168304971,-163384681667,-163384681667,0,0,6216835671,0,7615685340,176225521075,-58641470488,117584050587,621798942,-323182066,298616876,16439546,131731628020,0,-26157424783,105574203237,12951083572,92623119665,398
2015,4,1360437190428,176577347080,-452388093085,-862394424217,531806381177,0,-121800050045,0,163357278450,-5173042589,0,0,-5173042589,1242810680284,-180849972315,-720249741226,590682745,0,30000000,560682745,-590143205631,33773300926,-23660106667,-27981693005,-560442955431,-436068870423,-37494972003,0,0,0,0,-398573898420,-103680541230,-20693543778,0,-1168454659808,74356020476,0,0,0,34253708702,-27811444050,6442264652,-26479442548,-197458151873,-197458151873,0,0,-149581573945,0,6442264652,687491727900,-194437982640,493053745260,1047092104,-2549651293,-1502559189,99193413,348511070191,0,-37822537592,310688532599,-35547392105,346235924704,1502
2016,1,1847652582487,269179509831,-1079064185907,-900696535084,-178367650823,0,0,0,136054008476,8648818041,0,0,8648818041,1182470732928,-351014108037,-96016852824,2230675610,0,80000000,2150675610,-390210342948,31167178316,-116962830598,-34714404836,-490517200544,-377313999587,-28998763610,0,0,0,0,-348315235977,-93923098761,-19280102196,0,-1001237600610,181233132318,0,0,0,27724730331,-23093013552,4631716779,0,-136455146285,-136455146285,0,0,44777986033,0,4631716779,121792098507,-50258498715,71533599792,543806806,-259760575,284046231,-677108591,120550240244,0,-26168041045,94382199199,8026402844,86355796355,357
2016,2,1691333409362,197639404016,-844598429982,-781685093369,-62913336613,0,0,0,131168955414,9224451650,0,0,9224451650,1184767790460,-540882504580,-158447366984,941715963,0,84066930,857649033,-508720739374,29745201181,9700526394,-31832639575,-492936486967,-396370860788,-31114646046,0,0,0,0,-365256214742,-88444779185,-8120846994,0,-994044138341,190723652119,0,0,0,29803015575,-17174339370,12628676205,0,-105680047240,-105680047240,0,0,85043604879,0,12628676205,130915860828,-154768805165,-23852944337,576045128,-932539174,-356494046,-316267029,73146575672,0,-27788837837,45357737835,10837588866,34520148969,143
2016,3,1616904283956,162745958613,-767668290954,-870017484562,102349193608,0,0,0,157127053863,5299260680,0,0,5299260680,1174408266158,-569447412637,-109773316543,10351332598,0,49555287,10301777311,-507354879369,21018774460,-1844090168,-27148627773,-509303858165,-426681552585,-29134918312,0,0,0,0,-397546634273,-68599767927,-14022537653,0,-1024632681015,149775585143,0,0,0,26169308382,-30276286396,-4106978014,0,-125326418520,-125326418520,0,0,24449166623,0,-4106978014,161171178813,-27668387221,133502791592,1656318541,-619702824,1036615717,-7876573648,147005022270,0,-25451104435,121553917835,9148454270,112405463565,452
2016,4,1371621860516,187416952352,-596676003188,-786719741905,190043738717,0,0,0,156709788033,6029248691,0,0,6029248691,1125101846404,-1104230339213,-122960248993,-2371173939,0,3239836771,-5611010710,-576120994279,23325738775,44152616030,-22917601197,-573223872096,-514957642809,-35829378026,0,0,0,0,-479128264783,-40740376737,-17525852550,0,-1104784112767,20317733637,0,0,0,35610245613,-34370076269,1240169344,0,-129563180833,-129563180833,0,0,-109245447196,0,1240169344,670334130071,-195721076551,474613053520,2300542527,-4162281929,-1861739402,8869949268,373615985534,-79998561025,18835190766,312452615275,5972709291,306479905984,1267
2017,1,1679948819387,145152510023,-898153096318,-894667770718,-3485325600,0,0,0,191655370607,7472512114,0,0,7472512114,1126076115813,-384915897990,-125060082353,7231517208,0,104166279,7127350929,-379510087443,24472674753,-87920478592,-31944925097,-485160011959,-413057327760,-32883960189,0,0,0,0,-380173367571,-62309809422,-9792874777,0,-960062828338,166013287475,0,0,0,32017829131,-26637866697,5379962434,0,-116549134648,-116549134648,0,0,49464152827,0,5379962434,131279999541,-53609281664,77670717877,3051673535,-821680771,2229992764,0,134744825902,0,-25436051948,109308773954,8014583557,101294190397,419
