Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2005,0,703240407706,38767613345,-560250228005,-547295901858,0,-12574915461,-379410686,-21279543093,25862747785,157368963,157368963,0,0,186498366701,-144351072618,-11330046312,102375131224,101033513266,1341617958,0,-53305987706,0,21211955487,-45534300933,-21281801534,-11732972188,-5701857682,0,0,-1074329883,0,-4956784623,-9548829346,0,0,-98910134686,87588232015,0,0,0,0,0,0,-47294700031,-24000139472,-24000139472,0,0,16293392512,0,0,23825190530,0,23825190530,8000216,0,8000216,0,40126583258,0,-11235443312,28891139946,0,28891139946,0
2006,0,1163877338093,49616835936,-872143643481,-870376614027,0,-1277035514,-489993940,-66005697783,31322757522,91649636,0,0,91649636,306759239923,-158045387139,-29136379055,110480020677,110008102882,471917795,0,-76701745517,33478569721,-6996681123,-85460131122,-42758991434,-29396646686,-10248770506,0,0,0,-1673495477,-17474380703,-13362344748,0,0,-178438979475,128320260448,0,0,0,0,0,0,-86350411578,-35569606709,-35569606709,0,0,6400242161,0,0,61116078542,-7327269619,53788808923,21779089,0,21779089,0,60210830173,0,-16172870990,44037959183,0,44037959183,0
2007,0,1598791062359,86387148923,-1154641341425,-1116379912137,0,-37220734843,-1040694445,-89589195719,58032454431,3981047887,0,0,3981047887,502961176456,-417659399366,-78212072866,344096442509,342240906647,1855535862,0,-151775029723,36672756894,-2458840397,-26578878215,-70702629609,-48928392018,-22110354220,0,0,0,-1836003302,-24982034496,-21774237591,0,0,-214842621050,288118555406,0,0,0,0,0,0,-160924619841,-79296598246,-79296598246,0,0,47897337319,0,0,284242900961,-86685984990,197556915971,4510628132,0,4510628132,89397112,250054278534,0,0,250054278534,0,250054278534,3944
2008,0,2020554258057,125958903074,-1159874891692,-1122418897883,0,-35956180887,-1499812922,-228633336075,80315127548,72567983,0,0,72567983,838392628895,-886010770678,-46049108303,577530011155,556950900016,11290041210,9289069929,-354529867826,107023741806,-73315044120,-29644142471,-103498308305,-75169023871,-40283386581,0,0,0,-9960975774,-24924661516,-27026621378,-1302663056,0,-453963620916,384429007979,0,0,0,0,0,0,-291082290276,-88686218994,-88686218994,0,0,4660498709,0,0,504743703916,-338267535589,166476168327,664250911,-99476843,564774068,0,171701441104,0,0,171701441104,0,171701441104,1808
2009,0,2770089535907,198687622766,-1698965461266,-1678545235737,0,-19381586870,-1038638659,-149343960665,141324133975,178475493,0,0,178475493,1261970346210,-862269499666,-57932523166,454819381613,437040028709,6420874800,11358478104,-465382641219,36689999999,-81416057820,-38125510082,-126037259925,-66165122283,-45102443121,0,0,0,-14529527100,-6533152062,-44086096579,-15786041063,0,-674271469047,587698877163,0,0,0,0,0,0,-434193221861,-134235547323,-134235547323,0,0,19270107979,0,0,475754825882,-275641880736,200112945146,816444595,-114186845,702257750,0,220085310875,0,-21759065870,198326245005,0,198326245005,1915
2010,0,3512186405060,316391210913,-2093687605432,-2011362687257,0,-80237240794,-2087677381,-233298490748,152319572289,4357216547,0,0,4357216547,1658268308629,-1150555967327,-110208484758,653730168309,651339332581,1524064500,866771228,-607034283776,49115488087,-61206333331,-52109330638,-159904414071,-59780723655,-38980196479,0,0,0,-13898094754,-6902432422,-57631684727,-42492005689,0,-831138873729,827129434900,0,0,0,0,0,0,-609552460752,-180128807059,-180128807059,0,0,37448167089,0,0,607270254892,-309375815217,297894439675,769694697,-86297949,683396748,0,336026003512,0,-39386184598,296639818914,0,296639818914,2189
2011,0,4241055565014,458471062388,-131551782978,0,0,-128767980951,-2783802027,-15855839647,187836205283,11187855661,0,0,11187855661,4751143065721,-934811139762,-118036642103,342315241185,335807220583,39160600,6468860002,-710532540680,57017903718,-174709933176,-62786107563,-2695931629692,-2541043398677,-63124414340,0,0,0,0,-2477918984337,-113646864835,-41241366180,0,-3586942307393,1164200758328,0,0,0,0,0,0,-787068015209,-237867695525,-237867695525,0,0,139265047594,0,0,849742957109,-580178717971,269564239138,54451327371,-50190644,54401136727,4767360791,467997784250,0,-120370549130,347627235120,0,347627235120,2066
2012,0,4658979488362,613212751480,-3083671146834,-2941555616095,0,-136311389095,-5804141644,-47864109288,253307040953,28151386322,0,0,28151386322,2422115410995,-1128447176752,-136594757220,591580139246,584551759201,1654979415,5373400630,-673461794726,30089845888,-283082170919,-65829757040,-217445800264,-53254914034,-53254914034,0,0,0,0,0,-120703767991,-43487118239,0,-1209729677061,1212385733934,0,0,0,43019789607,-43019789607,0,-792433417611,-433365090370,-433365090370,0,0,-13412774047,0,0,789344643472,-216134078410,573210565062,787032164,-55489958,731542206,-11067129377,549462203844,0,-160413142714,389049061130,0,389049061130,1813
2013,0,6125152936059,917215205295,-4574256404102,-3197579493177,0,-240638446849,-1136038464076,0,279233174939,15906761804,0,0,15906761804,2763251673995,-1160921236219,-551105970608,770692141129,760496020406,5729320565,4466800158,-941335065698,65044935749,114470986462,-77399280790,-347017799829,-82592331601,-82592331601,0,0,0,0,0,-205233803850,-59191664378,0,-1186236224106,1577015449889,0,0,0,376291872,0,376291872,-946600387648,-533250801430,-533250801430,0,0,97164260811,0,376291872,734442318225,-239709869782,494732448443,1824773703,-2544039220,-719265517,-53655810905,537897924704,0,-182459885350,355438039354,24952228785,330485810569,1461
2014,0,5986730658480,1046307655135,-4046128204562,-3269825868981,-533159492099,0,-243142843482,0,171548786730,38108645779,0,0,38108645779,3196567541562,-1735734296236,-496176110705,7382726629,0,3573100957,3809625672,-1216267963437,98645311559,-143841230808,-99502460531,-1312512733696,-1143051616094,-61583802301,0,0,0,0,-1081467813793,-133340802892,-36120314710,0,-2673479076913,523088464649,0,0,0,69823827071,-72734613486,-2910786415,-52527916692,-619413279812,-619413279812,0,0,-148852731855,0,-2910786415,699689502934,-183074367529,516615135405,18098439478,-13430349648,4668089830,-8374141764,361145565201,0,-115436239789,245709325412,-33041999694,278751325106,1237
