Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2007,0,43474306993,0,0,0,0,0,0,0,0,43474306993,0,0,0,0,0,0,0,0,0,-565052074,42909254919,-18099564335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24809690584,0,0,0,0,0,0,0,0,0,0,0,0,0,-10310910608,14498779976,5463043,0,5463043,0,14504243019,0,0,0,-4025341045,0,10478901974,10478901974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0
2008,0,73740050025,0,0,0,0,0,0,0,0,6161039377,0,72137364,0,0,0,33236390773,0,0,34270482511,-21835500337,51904549688,-147992884604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96088334916,0,0,0,0,0,0,0,0,0,0,0,0,0,-19770557939,-115858892855,153952309,0,153952309,0,-115704940546,0,0,0,0,0,-115704940546,-115704940546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4821,0
2009,0,120477288818,0,0,0,0,0,0,0,0,15668590635,0,0,691341240,0,0,10675276218,0,0,93442080725,-56172843,120421115975,-77605464150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42815651825,0,0,0,0,0,0,0,0,0,0,0,0,0,-17686125091,25129526734,171989320,-920,171988400,0,25301515134,0,0,0,0,0,25301515134,25301515134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,0
2010,0,81329171781,0,0,0,0,0,0,0,0,19772052370,0,549775404,970131272,0,0,7526702098,0,0,52510510637,-199221290,81129950491,-29093093338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29093093338,0,52036857153,0,0,0,0,0,0,0,0,0,0,0,0,0,-23612344009,28424513144,137545178,-242958199,-105413021,0,28319100123,28319100123,0,0,0,0,28319100123,28319100123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0
2011,0,129380352411,0,0,0,0,0,0,0,0,6000841322,0,603664209,771513416,0,0,7132983580,0,0,114871349884,-4568561,129375783850,-132071088589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2695304739,0,0,0,0,0,0,0,0,0,0,0,0,0,-30060297731,-32755602470,123389282,-21012109,102377173,0,-32653225297,0,0,0,0,0,-32653225297,-32653225297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1361,0
2012,0,20289670245,0,0,0,0,0,0,0,0,1940880061,0,0,656439727,0,203970523,4713897527,0,0,12774482407,-627097,20289043148,291580409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20580623557,0,0,0,0,0,0,0,0,0,0,0,0,0,-20362875352,217748205,150110931,-1400889,148710042,0,366458247,0,0,0,0,0,366458247,366458247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2013,0,9245914697,0,0,0,0,0,0,0,0,1833559097,0,0,522272725,0,462449497,2643163873,0,0,3784469505,-55584,9245859113,-47139478477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37893619364,0,0,0,0,0,0,0,0,0,0,0,0,0,-79334763094,-117228382458,723032394,-502451501,220580893,0,-117007801565,0,0,0,0,0,-117007801565,-117007801565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4875,0
2014,0,11936662507,0,0,0,0,0,0,0,0,2506940444,0,0,499742237,0,413135576,4274424573,0,0,4242419677,-216000,11936446507,-4043121207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7893325300,0,0,0,0,0,0,0,0,0,0,0,0,0,-7591569430,301755870,383542273,-39827220,343715053,0,645470923,0,0,0,0,0,645470923,645470923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.89,0
2015,0,59174667468,57205559381,1636192010,51569431536,3999935835,0,38053100,0,0,1523634845,0,0,0,0,355491289,0,0,34090909,17837944,0,59174667468,-44895837376,-62195687167,-53063517702,-9132169465,0,0,0,0,22435000000,0,-1345615785,-3146465903,0,0,0,-309575198,-333493323,0,0,14278830092,309535971,0,309535971,0,0,-8303333,0,-8303333,0,0,0,0,0,-10440996451,4139066279,118417319,-453282000,-334864681,0,3804201598,-38633060473,42437262071,0,0,0,3804201598,3804201598,0,0,0,0,0,0,0,0,0,0,3804201598,3804201598,0,0,159,0
2016,0,13267427698,10473427643,1254118900,5704191371,3515117372,0,20295622,0,0,2078216400,0,0,0,0,358200552,0,0,213325415,123962066,0,13267427698,-17318233176,-13457423320,-5044536349,-8412886971,0,0,2500000000,0,0,0,-1536902000,-3897709463,0,-452512692,0,-473685701,0,0,0,-4050805478,300820049,0,300820049,0,0,-44200000,0,-44200000,0,0,0,0,0,-9711464709,-13505650138,1687942,-260850,1427092,0,-13504223046,-10795527446,-2708695600,0,0,0,-13504223046,-13504223046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-563,0
