disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2017-11-28,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-12-26,2018-01-10,2018-01-10,Tạm ứng cổ tức đợt 2/2017 (1000đ/cp),1000,10,2,2017
2018-05-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-06-07,2018-06-25,2018-06-25,Tạm ứng cổ tức đợt 1/2018 (1000 đ/cp),1000,10,1,2018
2018-05-21,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2018, tỷ lệ 100:15",,15,,2018
2018-10-25,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-11-23,2018-12-11,2018-12-11,Trả cổ tức đợt 2/2018 (1000 đ/cp),1000,10,2,2018
2018-10-30,investorRight,MEETING,Họp cổ đông,2018-11-23,,,ĐHĐCĐ thường niên năm 2018,,,,
2018-10-30,investorRight,POLL,Lấy ý kiến cổ đông,2018-11-23,,,V/v tham gia đấu giá quyền sử dụng đất KCN Bá Thiện 1,,,,
2018-11-08,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2018-12-05,2018-12-06,,"Trả cổ tức năm 2018, Tỷ lệ 100:15",,15,,2018
2019-02-21,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến chi trả cổ tức đợt 4/2018 (1000 đ/cp),1000,10,4,2018
2019-03-12,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-04-05,2019-04-22,2019-04-22,Trả cổ tức đợt 3/2018 (1000 đ/cp),1000,10,3,2018
2019-03-14,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2019-03-20,,,Số lượng 3.178.802 cp,,,,
2019-05-07,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-05-30,2019-06-14,2019-06-14,Trả cổ tức đợt 4/2018 (1000 đ/cp),1000,10,4,2018
2019-10-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-11-21,2019-12-06,2019-12-06,Trả cổ tức đợt 1/2019 (1500 đ/cp),1500,15,1,2019
2019-10-22,investorRight,MEETING,Họp cổ đông,2019-11-21,,,ĐHĐCĐ thường niên năm 2020,,,,
2020-03-24,schedEvent,schedIssue,Dự kiến phát hành,,,,"Dự kiến phát hành 300,000cp ESOP",,1.77,,
2020-05-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-05-29,2020-06-10,2020-06-10,Trả cổ tức đợt 2/2019 (1500 đ/cp),1500,15,2,2019
2020-08-11,investorRight,POLL,Lấy ý kiến cổ đông,2020-09-09,,,V/v: Bán cổ phiếu quỹ của công ty,,,,
