Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2007,0,1475665000000,-821113000000,191715000000,21124000000,89552000000,-112145000000,-118146000000,-50056000000,676596000000,0,-4595406000000,0,0,-5673595000000,0,0,-179603000000,38547000000,3821704000000,7472218000000,0,201558000000,0,0,278947000000,2040966000000,0,-48249000000,0,1992717000000,-112676000000,0,0,-97808000000,0,0,-2402966000000,34332000000,34367000000,-2544751000000,1203625000000,2375525000000,0,-55136000000,0,581000000,3524595000000,2972561000000,4940925000000,0,7913486000000
2008,0,3167201000000,-2113348000000,191209000000,101403000000,3321000000,-244642000000,-219715000000,-176687000000,717106000000,0,4674374000000,0,0,-4183198000000,0,0,18243000000,-68547000000,3538932000000,9378044000000,0,544235000000,0,0,-237709000000,14381480000000,0,-94139000000,0,14287341000000,-168371000000,0,0,-400804000000,0,0,-7539369000000,88180000000,52264000000,-7968100000000,530200000000,522326000000,0,-318205000000,0,112000000,734433000000,7053674000000,7913486000000,0,14967160000000
2009,0,4144058000000,-2225298000000,380694000000,-72766000000,332994000000,-203483000000,-338811000000,-253963000000,1820389000000,0,1106273000000,0,-637494000000,-13925085000000,0,0,0,4708749000000,3165039000000,12815566000000,0,-359732000000,0,0,974446000000,9668151000000,0,-189631000000,0,9478520000000,-104070000000,0,0,0,160663000000,0,-1414458000000,0,36304000000,-1321561000000,1229960000000,1283211000000,0,-768639000000,0,299477000000,2044009000000,10200968000000,14967160000000,0,25168128000000
2010,0,7295589767480,-5065841588981,588838213672,1343459208,-4394385622,-478801081163,-545355975841,-439841489608,1392454919145,0,-5199525937181,0,0,-19438067029020,0,-229910255955,-2880380522031,4060054309362,5219747463609,25762391159412,0,-357620858000,0,0,2963869644937,11293012894278,0,-272034791432,0,11020978102846,-729527506220,0,0,0,224322658284,0,-7681678771197,0,79149079331,-8107734539802,1400000144000,229734929571,0,-507176400843,0,0,1122558672728,4035802235772,25168128439601,0,29203930675373
2011,0,13571818175233,-8212451931397,642651941280,-85325909386,-113212938591,-842018552980,-824090012976,-654263306067,3524943172651,0,1011307353715,0,0,-10423192922826,0,-767427623253,-1444368480247,-8768803309362,9755831792941,23807834804419,22637453462,84496402500,0,0,2793740161258,19596998805258,0,-477349146288,0,19119649658970,-398910406360,0,0,0,0,-16373890954,-4053760896195,863592655108,79404721958,-3526047816443,0,0,0,-1256372621740,0,20326126563,-1236046495177,14357555347350,29203930675373,0,43561486022723
2012,0,14220221622601,-8492064856828,732709326019,-63181658503,0,-959490051212,-1278408396400,-1070027250408,3131240793517,0,-25683494370390,0,0,-15433727387942,0,-1330809442271,2422578218769,488477289152,3839622879281,28198743388442,3535951767,-11912762000,0,0,-12704637640800,-17080383082475,0,0,0,-17080383082475,-189226767500,2135442333,0,0,0,-4595000000,0,190656657148,71185933189,70156265170,2784656052320,0,0,-1419000000000,0,-12009715118,1353646337202,-15656580480103,43561486022723,0,27904905542620
2013,0,13109871190221,-7267319983365,738760315019,-10416341706,0,-1108894915834,-1532427999854,-664104458128,3755885115808,0,10459572499893,-14891508786756,0,-13264350459454,0,-1772321579596,-1739594529443,-488477289152,-9089104618294,18341395782639,-8558222671,-11785644960,-1420010000000,0,-4738658168112,-14867515900098,0,-118370106601,0,-14985886006699,-639272939897,53615113634,0,-26858667313,0,0,-31939056011,0,72530986705,-571924562882,1256250000000,0,0,-1062500000000,0,479978546,194229978546,-15363580591035,27904905542620,0,12541324951585
2014,0,13478862000000,-6147483000000,454500000000,424311000000,0,-1174585000000,-1593234000000,-597880000000,5063536000000,0,9459118000000,-10863498000000,-5385000000,-12826091000000,0,-1368572000000,1075386000000,0,-16818828000000,31519695000000,-17615000000,46982000000,0,0,3535106000000,8799834000000,0,-116046000000,0,8683788000000,-361310000000,0,-187000000,-94073000000,0,0,0,94465000000,70298000000,-290807000000,0,0,0,-811576000000,0,10824000000,-800752000000,7592229000000,12541325000000,0,20133554000000
2015,0,14186748000000,-6347968000000,543839000000,384083000000,0,-1366483000000,-1914621000000,-834392000000,5109981000000,0,-1526544000000,8661450000000,-91051000000,-20779624000000,0,-2196440000000,-1374738000000,1411502000000,2905311000000,13956877000000,0,93170000000,450000000000,0,-4004187000000,2615707000000,0,-168288000000,0,2447419000000,-287133000000,0,-10459000000,-37905000000,0,0,-194722000000,0,91679000000,-438540000000,4438347000000,0,0,-578414000000,0,0,3859933000000,5868812000000,20133554000000,0,26002366000000
2016,0,15491948000000,-7041749000000,682640000000,301534000000,0,-1538408000000,-2210107000000,-736336000000,5458308000000,0,-3479239000000,-4194635000000,43018000000,-29288584000000,0,-1474413000000,-1341016000000,-1411502000000,17135490000000,13247013000000,0,-59788000000,-83105000000,0,2105472000000,-3342981000000,0,-165843000000,0,-3508824000000,-560725000000,289677000000,0,0,0,0,0,587075000000,61686000000,377713000000,0,0,0,-22185000000,0,0,-22185000000,-3153296000000,26002366000000,0,22849070000000
