Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2011,1,3199517781116,-1861703207605,175653567702,-149312553550,-34384674880,11512617600,-172426280467,-268689905308,906161448776,0,1593474521229,0,0,-4113085492407,0,8876978716,-2184254136352,-2957397420344,-296059119084,5962413381119,0,59827837000,0,0,5673739010403,4653697009056,0,-123492751413,0,4530204257643,-46345310909,0,0,0,0,-361657356489,-927124590415,1134690517182,0,-200436740631,-36776961727,0,0,-321949994129,175009052396,0,-183717903460,4146049613552,29203930675373,0,33349980288925
2011,2,3510674995567,-2144928988437,159103285313,-15140547095,-31493186528,-217993635713,-156236718114,-131783918288,981670025887,0,646498492849,-1390746258872,0,-1190165772823,0,-8876978716,2578700107329,-5311405889018,5120074744501,981424335396,0,726425000,-351637043323,0,-3991326989123,-1935064800913,0,-77104025436,0,-2012168826349,-281239142518,5407999998,0,0,0,346634770982,848990061061,-1134690517182,36101670681,-178795156978,0,36776961727,0,321949994129,-175009052396,0,183717903460,-2007246079867,33349980288925,0,31342734209058
2011,3,3541204046751,-2055229240662,152405942115,-579332726093,65877861408,857792407683,-1162827236378,-131029198528,697195188660,0,4143906212391,1390746258872,0,-1893333888823,0,290745649207,-821800198949,0,-7262896927611,3824750101398,0,531949240500,-1485496326722,0,3814833539590,3230598848513,0,-50565921149,0,3180032927364,-135893120518,-5407999998,0,0,0,-353077454101,-2768825103446,521361435007,7219802027,-2734622441029,0,0,0,-331498838486,0,0,-331498838486,113911647849,31342734209058,3651864,31456649508771
2011,4,3320421351799,-2150590494693,155489146150,545246978761,0,-1493329942550,667400221983,-122760283943,939916509328,0,-5372571872754,-3039802636479,0,-3226607768773,0,-1058173272460,-1017014252275,-500000000000,12194713095135,13039246986506,22637453462,-508007100000,958122560242,0,-1824494589809,10607965112123,0,-226186448290,0,10381778663833,64567167585,0,0,-16373890954,0,368100039608,2696594028192,-521361435007,36083249250,2627609158674,26503900000,0,0,-924873783254,-6177773437,0,-904547656691,12104840165816,31456649508771,-3651864,43561486022723
2012,1,3592848362600,-2454853887573,182387516293,7500197936,-38447413040,-219291955683,-217888173177,-414069518335,438185129021,0,-5369247862415,0,0,-2365820939132,0,-9370979867,-3701873194757,0,-3582512452416,5269055928030,0,185228991038,0,0,5489949011690,-3646406368808,0,24784690383,0,-3621621678425,-44411289332,0,0,0,6436919635,-5802941401801,0,146537040157,21113061408,-5673265669933,2784656052320,0,0,219000000000,0,0,3003656052320,-6291231296038,43561486022723,0,37270254726685
2012,2,4094136696939,-1865803088412,188585957381,12402023696,-36894731598,-138808869736,-314087040911,-62879410932,1879474429290,0,1870474154744,680303526486,-4932123927593,-4065567955432,0,-308360446091,3008232041310,0,2265097814491,5332186362668,7219957417,-178271091038,1498506763111,0,-8304046138718,-1246874509355,0,-226561861026,0,-1473436370381,-49650455303,423283395,0,0,-6436919635,5802941401801,-128824900000,11154656885,25492769784,5655099836927,0,0,0,-638000000000,-12009715118,0,-650009715118,3531653751428,37270254726685,10212750000,40812121228113
2012,3,3009255835023,-1873901358631,132678651059,13188820192,2061547690,-197114567375,-262000230819,-187772845314,658455164475,0,-17652580230870,2660585114135,0,1209443813509,0,-205356555048,3021489281125,0,-2760479177849,27719483956,4518382178007,-176563703038,-511563236889,0,-5230528825237,-14440996693724,0,-544834949748,0,-14985831643472,-193923421690,29465628993,0,-2500000000,0,0,299560057264,0,22035741437,154638006004,0,0,0,-431009715118,0,0,-431009715118,-15262203352586,43006834480901,0,27744631128315
2012,4,3504215485038,-2224132447860,207634998466,-98048606393,73280596947,-452880568546,-418341791558,-293031439840,315296078989,0,-10291027134003,-8774312537387,0,-9689648924736,0,-1010035996043,1431002551829,488477289152,7907210553667,17519895311226,-10316775946,-21174050000,-600000000000,0,3752781309445,1018147676193,0,222293048404,0,1240440724597,44538763774,-27412532164,0,2500000000,0,0,-106010437529,0,-558210770,-86942416689,0,0,0,-987990284882,0,-12009715118,-1000000000000,153498307908,27744631128315,0,27898129436223
2013,1,3698841210626,-2177661657243,172412646161,26912603492,-50658133339,-252572820797,-259203048785,-18141232470,1153577752290,0,11487016961007,-12080891486377,0,818093111271,0,80771245002,51964262592,-488477289152,-6177044813875,6705453658157,-18514989459,-17959300000,-1020000000000,0,-5697174142131,-5203185030675,0,-14376108852,0,-5217561139527,-121411105193,132442937,0,0,0,0,80345167337,0,1991434400,-38942060519,0,0,0,625000000000,0,0,625000000000,-4631503200046,27904905542620,0,23273402342574
2013,2,3879192290824,-1691091873185,209715933446,4994569290,50658133339,-134428743872,-528437711388,-201281713614,1686597280757,0,-8612863292698,-852376623205,0,-6030472157612,0,-579730091650,-1311212913343,0,-8235312742371,11345621229116,174280542,7837800000,-10000000,0,-45037285939,-12626784516403,0,-23615228048,0,-12650399744451,-350613976219,44926436227,0,-25800000000,0,0,-10599477467,0,60713654318,-281373363141,625000000000,0,0,-837796893373,0,0,-212796893373,-13144570000965,23273402342574,0,10128832341609
