Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,476461000000,-236544000000,239917000000,27955000000,-5848000000,22107000000,3154000000,0,4659000000,30155000000,0,30155000000,0,299992000000,-151377000000,148615000000,0,148615000000,-39570000000,0,-39570000000,109045000000,0,0
2006,0,895370000000,-499261000000,396109000000,82958000000,-7498000000,75460000000,6591000000,0,34110000000,54817000000,-55561000000,-744000000,5602000000,517128000000,-104241000000,412887000000,-143288000000,269599000000,-50609000000,0,-50609000000,218990000000,0,3684
2007,0,1581122000000,-947805000000,633317000000,202329000000,-13190000000,189139000000,21124000000,0,89552000000,93418000000,-112763000000,-19345000000,34367000000,948154000000,-208370000000,739784000000,-130799000000,608985000000,-116378000000,0,-116378000000,492607000000,0,4187
2008,0,3679299000000,-2258587000000,1420712000000,261986000000,-70778000000,191208000000,101403000000,-167710000000,0,289191000000,-250677000000,38514000000,53957000000,1638084000000,-555438000000,1082646000000,-221763000000,860883000000,-164678000000,0,-164678000000,703368000000,7163000000,3173
2009,0,4050421000000,-2212353000000,1838068000000,524981000000,-144287000000,380694000000,-72766000000,292115000000,0,177016000000,17000000,177033000000,38367000000,2653511000000,-784059000000,1869452000000,-364382000000,1505070000000,-331343000000,0,-331343000000,1094721000000,-79006000000,2909
2010,0,8765605136945,-5246502197162,3519102939783,735530510289,-146692296617,588838213672,1343459208,-235723803646,0,123575331146,0,123575331146,91062899495,4088199039658,-1253882937172,2834316102486,-546247160840,2288068941646,-551396051565,8493526750,-542902524815,1712073991022,-33092425809,2844
2011,0,13820889366942,-8598491058254,5222398308688,1190897020145,-548245078865,642651941280,-85325909386,-768640561844,0,56641237000,0,56641237000,79404721958,5147129737696,-1880659769345,3266469968351,-641146130411,2625323837940,-709988295247,0,-709988295247,2126709458555,211373915862,2913
2012,0,15438141721830,-8835583145824,6602558576006,904391254780,-171681928761,732709326019,3656224409,130232294273,0,276343900137,0,276343900137,67869769645,7813370090489,-2696658577148,5116711513341,-2027160887280,3089550626061,-767049881430,-2464844750,-769514726180,2305878944062,-14156955819,2457
2013,0,13456302646557,-7331931855219,6124370791338,973962874738,-235202559719,738760315019,99313874379,10616396805,0,644355795087,-29462844768,614892950319,72530986705,7660485314565,-2746473722212,4914011592353,-1892379077655,3021632514698,-735916489133,0,-735916489133,2275966338988,-9749686577,2145
2014,0,13644506000000,-6608529000000,7035977000000,912290000000,-457790000000,454500000000,89835000000,306297000000,0,360645000000,-18884000000,341761000000,78524000000,8306894000000,-3114202000000,5192692000000,-2018690000000,3174002000000,-668351000000,-2664000000,-671015000000,2475969000000,-27018000000,2073
2015,0,13537628000000,-6219098000000,7318530000000,1527970000000,-984132000000,543838000000,159048000000,134034000000,0,611262000000,-86523000000,524739000000,91679000000,8771868000000,-3449129000000,5322739000000,-2102068000000,3220671000000,-707398000000,-1139000000,-708537000000,2495993000000,-16141000000,1902
2016,0,15552477000000,-7573533000000,7978944000000,1297890000000,-615250000000,682640000000,113354000000,0,101443000000,1019373000000,-142554000000,876819000000,102157000000,9855357000000,-4174668000000,5680689000000,-2030104000000,3650585000000,-766870000000,-164000000,-767034000000,2911803000000,28252000000,1706
2017,0,19876026000000,-8657074000000,11218952000000,3222839000000,-2092163000000,1130676000000,201772000000,0,144445000000,1633022000000,-523948000000,1109074000000,62157000000,13867076000000,-5999239000000,7867837000000,-3252111000000,4615726000000,-1125106000000,-205000000,-1125311000000,3519627000000,29212000000,1953
2018,0,24824365000000,-10240868000000,14583497000000,5719062000000,-3157752000000,2561310000000,444568000000,151928000000,148561000000,2421246000000,-904167000000,1517079000000,129620000000,19536563000000,-8733802000000,10802761000000,-3035388000000,7767373000000,-1575157000000,-2315000000,-1577472000000,6112714000000,-77187000000,2829
2019,0,31196604000000,-13196607000000,17999997000000,6420580000000,-3234743000000,3185837000000,647478000000,27480000000,612031000000,2528554000000,-429156000000,2099398000000,78227000000,24650448000000,-9723706000000,14926742000000,-4890623000000,10036119000000,-1959995000000,-7520000000,-1967515000000,7822773000000,-245831000000,3596
