disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2017-04-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-02-28,2017-04-18,2017-04-18,Trả cổ tức năm 2016 (1000 đ/cp),1000,10,,2016
2017-04-13,investorRight,ADPAYDATE,Thay đổi thời gian trả cổ tức,2017-02-28,2017-04-18,2017-04-18,Thay đổi ngày chi trả cổ tức năm 2016 từ ngày 05/05/17 sang ngày 18/04/17,1000,10,,2016
2017-04-21,investorRight,MEETING,Họp cổ đông,2017-02-28,2017-04-20,2017-04-20,ĐHĐCĐ thường niên năm 2017,,,,
2017-05-04,schedEvent,schedIssue,Dự kiến phát hành,2017-05-29,2017-05-29,,"Dự kiến phát hành 10.648.257 cp thưởng cho CĐHH, tỷ lệ 100:15",,15,,
2017-05-16,investorRight,KINDDIV,Cổ phiếu thưởng,2017-05-29,2017-05-30,,Tỷ lệ 100:15,,15,,
2017-06-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2017-06-30,,,"Số lượng 10,646,546 cp",,,,
2017-07-14,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2017-07-14,,,Vi phạm pháp luật thuế,,,,
2018-03-14,investorRight,MEETING,Họp cổ đông,2018-02-28,2018-04-24,2018-04-24,ĐHĐCĐ thường niên năm 2018,,,,
2018-05-23,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-06-07,2018-06-29,2018-06-29,Trả cổ tức năm 2017 (1000 đ/cp),1000,10,,2017
2019-03-20,investorRight,MEETING,Họp cổ đông,2019-02-28,2019-05-03,2019-05-03,ĐHĐCĐ thường niên năm 2019,,,,
2019-05-06,schedEvent,schedIssue,Dự kiến phát hành,,,,"Phát hành cổ phiếu cho CĐHH, Tỷ lệ 100:15",,15,,
2019-06-13,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2019-06-26,2019-06-27,,"Trả cổ tức năm 2018, Tỷ lệ 100:15",,15,,2018
2019-06-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-06-26,2019-07-26,2019-07-26,Trả cổ tức năm 2018 (1000 đ/cp),1000,10,,2018
2019-08-12,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2019-08-22,,,"Số lượng 12,243,457 cp",,,,
2020-06-05,investorRight,MEETING,Họp cổ đông,2020-02-28,2020-06-26,2020-06-26,ĐHĐCĐ thường niên năm 2020,,,,
2020-07-07,schedEvent,schedIssue,Dự kiến phát hành,2020-08-20,2020-08-20,,"Dự kiến phát hành 18,775,676cp cho CĐHH",,20,,
2020-07-31,investorRight,KINDDIV,Cổ phiếu thưởng,2020-08-13,2020-08-14,,Tỷ lệ 100:20,,20,,
2020-09-03,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2020-09-03,,,LNST cty mẹ trên BCTC 6T năm 2020 âm,,,,
2020-09-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,,,,"Số lượng 18,774,383 cp",,,,
