Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2015,0,410358530980,116929668958,-3312624960,394613593,0,-85968187220,7001416771,0,445403418122,-195760138149,-146421127291,511272005877,376054060,-1270883,-91172644116,0,-24554755918,499141541702,-215193207726,1258454545,-123000000000,69000000000,-20000000000,40164561640,51287199327,-196482992214,0,0,182388249700,-245249775973,0,-85960000000,0,-148821526273,153837023215,278430176919,-161824032,432105376102
2016,0,481542966620,145149604454,-1872183680,-1172382586,0,-90766160131,584000000,0,533465844677,-458788413593,73136126778,366086091271,-28487141154,-21000000000,-85777042889,0,-33947844949,344687620141,-149860008067,7471510956,-167000000000,241200000000,-97273013466,20060743038,59235550255,-86165217284,0,0,164791815470,-159628187376,0,-127960000000,0,-122796371906,135726030951,432105376102,450663374,568282070427
2017,0,482974093904,144174703474,-4172972203,-77183148,0,-106441956318,1060539353,0,517517225062,-103490925187,-177997088098,358194880317,2798251473,-1060539353,-82845590470,0,-30265814670,482850399074,-295331613212,1113498439,-50000000000,74000000000,-47248434357,68904058844,66456752933,-182105737353,21000000000,0,100506906710,-132168311920,0,-146800000000,0,-157461405210,143283256511,568282070427,-685464986,710879861952
2018,0,581414608186,123935825705,-8010686162,1523268180,0,-97790042402,0,0,601072973507,-142294458626,43662310004,193377302327,-638617999,0,-81943896530,0,-19120387650,594115225033,-213602382986,1132069262,-25000000000,30000000000,-8000000000,1377972707,48945074336,-165147266681,0,0,65292795660,-89749646465,0,-154350000000,0,-178806850805,250161107547,710879861952,-3531145688,957509823811
2019,0,503918974983,123911755508,-2251262331,313289683,0,-101327034413,0,0,524565723430,-181474143676,-299876211447,122535006913,-3019414753,0,-95629710371,0,-42555214246,24546035850,-138197978860,1736451932,-68000000000,70000000000,0,120295567887,65269536654,51103577613,0,0,52751847820,-121153156208,0,-154350000000,0,-222751308388,-147101694925,957509823811,-126574857,810281554029
