disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2006-12-14,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2006-12-14,,,,,,,
2007-03-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-03-27,2007-04-20,2007-04-20,Cổ tức năm 2006 (1.600 đ/cp),1600,16,,2006
2007-03-23,investorRight,MEETING,Họp cổ đông,2007-02-14,2007-03-29,2007-03-29,ĐHĐCĐ thường niên năm 2007,,,,
2007-07-19,investorRight,ISSUE,Phát hành thêm,2007-07-30,2007-09-07,,"Phát hành 1500000 cp cho CĐHH, giá 10000 đ/cp",,75,,
2007-07-19,investorRight,POLL,Lấy ý kiến cổ đông,2007-07-30,2007-08-09,2007-08-09,Lấy ý kiến cổ đông về việc niêm yết bổ sung số cổ phiếu phát hành thêm cho cổ đông hiện hữu trên TTGDCK Hà Nội,,,,
2008-02-28,investorRight,MEETING,Họp cổ đông,2008-03-10,2008-04-25,2008-04-25,ĐHCĐ thường niên 2008,,,,
2008-05-15,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-05-28,2008-06-16,2008-06-16,Cổ tức năm 2007 (1.600 đồng/cp),1600,16,,2007
2008-12-08,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-12-16,2009-01-08,2009-01-08,Cổ tức đợt 1/2008 (1.000 đ/cp),1000,10,1,2008
2009-02-23,investorRight,MEETING,Họp cổ đông,2009-03-04,2009-04-24,2009-04-24,ĐHCĐ thường niên 2009,,,,
2009-05-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-06-03,2009-06-30,2009-06-30,Cổ tức đợt 2/2008 (600 đ/cp),600,6,2,2008
2009-05-27,investorRight,POLL,Lấy ý kiến cổ đông,2009-06-03,2009-06-30,2009-06-30,Xin ý kiến cổ đông bằng văn bản về việc thay đổi thành viên BKS,,,,
2010-03-03,investorRight,MEETING,Họp cổ đông,2010-03-09,2010-04-10,2010-04-10,ĐHCĐ thường niên 2010,,,,
2010-08-27,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2010-09-06,2010-09-08,,"Trả cổ tức năm 2009, Tỷ lệ 100:16",,16,,2009
2010-08-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-09-06,2010-10-04,2010-10-04,Cổ tức đợt 1/2010 (1.000 đ/cp),1000,10,1,2010
2010-09-08,investorRight,ISSUE,Phát hành thêm,2010-09-06,2010-10-22,,"Bán ưu đãi tỷ lệ 1:0,44 với giá 10.000 đ/cp",,44,,
2011-03-08,investorRight,MEETING,Họp cổ đông,2011-03-14,2011-04-22,2011-04-22,ĐHCĐ thường niên 2011,,,,
2011-10-21,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-11-01,2011-12-08,2011-12-08,Trả cổ tức năm 2010 (600 đ/cp),600,6,,2010
