Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2008,0,142463714,3742716,0,0,0,-3208516791,2815742221,0,-246568140,-186000000000,0,5815742221,-4612910,-2815742221,0,0,0,-183251181050,0,0,-103950000000,0,-373385400000,0,3208516791,-474126883209,388815000000,0,334560000000,0,0,0,0,723375000000,65996935741,515768440,0,66512704181
2009,0,47901502974,3767890635,7681551100,27421103010,0,-90216969667,39793685505,0,36348763557,-1141334717759,-3195933276,1747779421330,-169845261418,-39793685505,0,307211605620,-854548023851,-117377831302,-383164777909,0,-623348811900,0,-868510169506,0,45601484594,-1829422274721,1422500000000,0,896408106275,-326560000000,0,0,0,1992348106275,45548000252,66512704181,0,112060704433
2010,0,785388798117,7725779258,31287658787,46255461444,0,-459811031697,110837590038,0,521684255947,-778125261662,-6701468101,595260485179,-5687041472,-110837590038,0,343406991099,-1247283398232,-688283027280,-220534763783,0,-852009047786,754981829646,-500607245994,6641810188,350551017180,-460976400549,957600000000,0,903019748880,-454064888583,0,-40746410959,0,1365808449338,216549021509,112060704433,0,328609725942
2011,0,242779977290,45047780674,12900953584,0,46908282313,-369216979772,193865623540,0,172285637629,-456311872862,-44348890576,140370936423,-13090486667,-88124535618,-143625328541,307030780624,-340463189142,-466276948730,-253163014605,0,-656577240401,550000000000,-593997698282,101010310789,264763695550,-587963946949,0,0,1989747742166,-446206813537,0,-264500000000,0,1279040928629,224800032950,328609725942,0,553409758892
2012,0,175027604313,62976499420,-20225856454,0,40713562917,-537002204952,479984078609,0,201473683853,-1282681263983,-194181565577,1069660985011,-110359544640,-358366207657,-73973595267,552333290409,-194219334049,-390313551900,-446527853969,0,-1287775043454,472500000000,-107139373467,63982446591,432247788884,-872712035415,0,0,1579013088937,-359627633259,0,-171250000000,0,1048135455678,-214890131637,553409758892,0,338519627255
2013,0,221116532288,68504624272,76292298876,0,0,-693021705925,519962336383,0,192854085894,500305895409,-151832228114,-916289055679,-52085657190,-513562727046,-75234043356,558942488427,-274826328379,-731727570034,-154372143602,0,-717789511879,1260215814508,-458673013139,273205370251,710184461130,912770977269,0,0,943995034136,-842298689917,0,-173609400046,0,-71913055827,109130351408,338519627255,0,447649978663
2014,0,-2519957901977,82712971371,1405906507265,0,0,-1151177382177,261707975835,0,-1920807829683,1108591248483,138087635659,-1022534989963,-99845936592,-353858900043,-91350686844,855420660144,-240481761374,-1626780560213,-224091988049,0,-2175622886839,1019012573151,-871845516944,4065697394492,1164577748159,2977727323970,0,0,1054288451674,-2683975361619,0,-11227562628,0,-1640914472573,-289967708816,447649978663,0,157682269847
2015,0,726157876156,68394820239,963657517935,0,0,-1766652561374,163189828290,0,189565668478,531721815567,50668289020,-2535229252090,6237349829,-178376674234,-67520708045,0,-166699479616,-2169632991091,-30735071231,14459305017,35771300000,0,-23428000000,2223837713771,3101229591,2223006477148,0,0,0,-52703256306,0,0,0,-52703256306,670229751,238779912156,0,239450141907
2016,0,-730811986602,73452952849,697052619364,0,0,-53600630923,165238552206,0,151331506894,50228937313,-38875493477,-17779070884,-51424448177,-28926241575,-46765316017,0,-4214251829,66197422248,-29401631388,1531043909,-74837536927,68188092483,0,48705923000,17601768215,31787659292,0,0,0,-133731647432,0,0,0,-133731647432,-35746565892,239450141907,0,203703576015
2017,0,-431086424860,108837344965,843813342015,4682307,0,-137582964162,770870691,0,384756850956,117865350533,-1052849322,-62990080870,7629114964,-59842795395,-40801552008,0,-2256206660,343307832198,-25912349566,397111364,-59900000000,3000000000,0,324980000,21918430031,-60171828171,0,0,0,-63987402090,0,-6557976000,0,-70545378090,212590625937,203703576015,0,416294201952
2018,0,88971894232,111174543877,137341295141,-70297287,0,-69093087038,86529489951,0,354853838876,208554627144,8245418891,-334738682607,-16545083475,-30021156618,-39988704961,0,-6388705386,143971551864,-21885619063,768725252,-126506945205,40928789896,0,292500000000,22805563055,208610513935,0,0,0,-390305909050,0,-12810260800,0,-403116169850,-50534104051,416294201953,23733273,365783831175
2019,0,124782878697,113282684113,1506669440,22301712,0,-67135792612,77594719707,0,250053461057,71604921726,-10212346453,-188326575784,15247757540,-10513971682,-42713867221,0,-5609403367,79529975816,-27146790517,1065521191,-263264333248,278927987677,-118333911600,122867590494,26954229195,21070293192,17800000,0,0,-219702193389,0,-23050265674,0,-242734659063,-142134390055,365783831175,-22301711,223627139409
