Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2012,3,1715808305548,-1323045355775,-60248781453,-14838203015,-31582415733,320998956114,-547668053411,0,59424452275,-59676889015,0,559360000000,-402500000000,-3247992000,136429954,42608103017,136679651956,0,-313800000,267855375391,-459114621348,0,-9133244000,0,-200706289957,-4602185726,702580014239,-2870660,697974957853
2012,4,2406353933078,-2433798408442,-129575497985,-26497092623,-52189051430,304972532988,110023796203,0,179290211789,-157212595623,774021901,-327772514000,-2243257076,-1953561600,4389723946,50733793363,-433284389089,0,313800000,674282388849,-342286137772,0,-75726312525,0,256583738552,2589561252,697974957853,138360114,700702879219
2013,1,1547166459498,-1369615231701,-121732224639,-15091034917,-26847883407,318338758686,-655895130283,0,-323676286763,-29007715022,89090909,-54672193924,18962000000,-12096000000,24532600,608697640,-76091587797,0,0,523848704428,-433593773073,0,-149033606500,0,-58778675145,-458546549705,700702879218,0,242156329513
2013,2,2089330052081,-2125115491226,-86741279494,-30174194768,-24292410069,36382845604,270945356543,0,130334878671,-64386672144,1079837273,-99964923283,72353829807,12096000000,6940767160,47087450457,-24793710730,0,0,633513533763,-518877413767,0,-136991963500,0,-22355843504,83185324437,246312195340,88918649,329586438426
2013,3,1668114313114,-1479165554628,-67934544139,-30252872165,-18774762570,227153493519,-376499587572,0,-77359514441,-22194346870,70000000,-41379002793,31006370193,-43294784404,58255197870,11379797757,-6156768247,0,-5025000000,356149128168,-379455688143,0,-5750000,0,-28337309975,-111853592663,329586438426,-87678635,217645167128
2013,4,2695104547869,-1918442961254,-106067080880,-16690564766,-40015474030,-350838815878,219589441302,0,482639092363,-86766754349,3527734118,-78255403924,256947600301,-28885395000,-37955376030,-8284820495,20327584621,0,0,719646145630,-945958385161,0,0,0,-226312239531,276654437453,217645167128,52742108,494352346689
2014,1,1745483680574,-1771609549818,-128549625498,-16943272001,-51920394769,132617874465,-198919578020,0,-289840865067,-24650352434,0,-56945000000,85255092246,0,102000000,194823773615,198585513427,0,0,360945812742,-306596302866,0,0,0,54349509876,-36905841764,494352346689,0,457446504925
2014,2,3245205308800,-3001960596655,-68364616237,-19828401492,-12132996431,88501466147,2561127609,0,233981291741,-27144571088,46500000,-126072574111,109458657369,0,-102000000,-105627127914,-149441115744,0,0,646859628204,-571243717115,0,-166608010000,0,-90992098911,-6451922914,457446504925,100837094,451095419105
2014,3,2212004514515,-1874929023500,-97745035571,-4829643402,-29194514732,225870807546,-237725604267,0,193451500589,-39969624301,4212033547,-117192361615,0,0,0,1673476883,-151276475486,0,0,597033738490,-651393734302,0,-12720000,0,-54372715812,-12197690709,451095419105,-76242266,438821486130
2014,4,2593561500861,-1837672012785,-140441892585,-27187445239,-33453258453,-221699477874,85194997451,0,418302411376,-93521245285,3758048738,69111176595,18965813754,0,73517183000,-33924323016,37906653786,0,0,616497168849,-741088202501,0,0,0,-124591033652,331618031510,438821486130,488147194,770927664834
2015,1,2069977749050,-1859759123261,-172916311076,-8798608624,-38443882275,117177459742,-251122431017,0,-143885147461,-24923091042,-56689940000,42200000000,-18400000000,0,0,5728367331,-52084663711,10378480000,0,597182946325,-654783551727,0,-1560000,0,-47223685402,-243193496574,770927664834,0,527734168260
2015,2,0,0,0,0,0,0,0,0,-84139259341,-62154398480,57420290000,-149134979564,162271000000,0,0,34499563609,42901475565,-10378480000,0,522577457129,-405960218114,0,-162998320000,0,-56759560985,-97997344761,527734168260,557935641,430294759140
