Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2016,1,150669688668,-14484091,150655204577,-135814563687,14840640890,574163893,-2378504833,-1715626629,-3299903891,-8491763971,1244632088,80010186,-2100000,77910186,0,1322542274,0,0,0,1322542274,0,1322542274,0,0
2016,2,131890177381,0,131890177381,-119291015428,12599161953,1651954267,-1843037990,-1050831480,-4607316426,-8961789544,-1161027740,173227631,-111996484,61231147,0,-1099796593,0,0,0,-1099796593,0,-1099796593,0,0
2016,3,113830694036,0,113830694036,-100340449138,13490244898,645569415,-996214294,-900914679,-2648463781,-8895888898,1595247340,42751345,-48469623,-5718278,0,1589529062,0,0,0,1589529062,0,1589529062,0,0
2016,4,113258046589,0,113258046589,-97679709161,15578337428,1130989416,-3174057292,-616383778,-3177230179,-9413117045,944922328,474567625,-460582551,13985074,0,958907402,0,0,0,958907402,0,958907402,0,0
2017,1,127716914284,-118957145,127597957139,-113390391175,14207565964,1268983715,-1495104113,-603877621,-3047156745,-8600828641,2333460180,494292265,-95616628,398675637,0,2732135817,0,0,0,2732135817,0,2732135817,0,0
2017,2,127041823564,0,127041823564,-106912353823,20129469741,857884122,-803553934,-736448296,-3668686535,-9554471795,6960641599,28766736,-2066389,26700347,0,6987341946,0,0,0,6987341946,0,6987341946,0,0
2017,3,133627228336,-456000,133626772336,-118803773848,14822998488,762809311,-1612940514,-737649874,-3068026353,-9758103187,1146737745,2652157010,-7346737,2644810273,0,3791548018,0,0,0,3791548018,0,3791548018,0,0
2017,4,168421910468,0,168421910468,-150124543743,18297366725,1045720180,-272454925,-826286362,-4718895431,-11823683019,2528053530,281771999,-47088466,234683533,0,2762737063,0,0,0,2762737063,0,2762737063,0,0
2018,1,157774447456,0,157774447456,-139838499556,17935947900,693820747,-1414971832,-560544137,-4000827236,-9681872640,3532096939,21353570,-72291,21281279,0,3553378218,0,0,0,3553378218,0,3553378218,0,0
2018,2,165231890488,0,165231890488,-143782141277,21449749211,1207977200,-1198128799,-748499335,-5201550435,-10148231275,6109815902,870014710,-279850336,590164374,0,6699980276,-74276400,0,-74276400,6625703876,0,6625703876,0,0
2018,3,194437649896,0,194437649896,-172734152456,21703497440,1453781015,-2271997244,-786421390,-4639968758,-9747456551,6497855902,44307740,-70261404,-25953664,0,6471902238,-866373729,0,-866373729,5605528509,0,5605528509,0,0
2018,4,189306561429,-464850378,188841711051,-172105050408,16736660643,893523430,-1387205700,-949728362,-5269234247,-7023668123,3950076003,123311672,-42387690,80923982,0,4030999985,-1581237778,0,-1581237778,2449762207,0,2449762207,190,0
2019,1,200586415103,0,200586415103,-178800743719,21785671384,977895904,-1776717438,-753961993,-4207319929,-10987408681,5792121240,271953768,-285114207,-13160439,0,5778960801,-1155792153,0,-1155792153,4623168648,0,4623168648,359,0
2019,2,191175679405,-1052728,191174626677,-164860278433,26314348244,1089573190,-540377636,-780234621,-6085439075,-10700457119,10077647604,145849736,191852749,337702485,0,10415350089,-2157744379,0,-2157744379,8257605710,0,8257605710,359,0
2019,3,221291551449,-10466240,221281085209,-196176523090,25104562119,1224965069,-1655987518,-574036360,-5461505367,-10340171313,8871862990,471711114,-430045959,41665155,0,8913528145,-1811001949,0,-1811001949,7102526196,0,7102526196,0,0
2019,4,258100401748,-626191916,257474209832,-210597741145,46876468687,1158138318,106345128,-483999689,-6915454025,-30773202825,10452295283,16319030,-737276138,-720957108,0,9731338175,-5574941256,0,-5574941256,4156396919,0,4156396919,0,0
2020,1,219030207736,-2754497,219027453239,-197647673656,21379779583,2020521725,-1127229397,-407802435,-5469374570,-9980620792,6823076549,221296996,-630107,220666889,0,7043743438,-1408748686,0,-1408748686,5634994752,0,5634994752,0,0
2020,2,243124404036,-406686034,242717718002,-204270363691,38447354311,1731150426,-850925577,-351046056,-7235473845,-11043658345,21048446970,1266331892,-14490719153,-13224387261,0,7824059709,-1669387350,0,-1669387350,6154672359,0,6154672359,0,0
