Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2011,0,10601781657,1530460287,100021688,0,0,-713528441,9082837012,0,20601572203,-63064623204,-52128240128,65622260195,326442611,-9082837012,-2333485137,0,-2135554976,-42194465448,-132957272,5740000,0,0,-1326000000,0,707788441,-745428831,0,0,240779721080,-211857028925,0,-2520000000,0,26402692155,-16537202124,43987122639,9713332,27459633847
2012,0,13337644181,1485841525,1001924723,684420980,0,-224154878,16503623911,0,32789300442,-39079856890,46044945308,-33231368132,-181721152,-16503623911,-5268151969,0,-3850444538,-19280920842,-1234962975,3350000,0,0,0,0,221264128,-1010348847,0,0,366678188883,-346837386192,0,-7280000000,0,12560802691,-7730466998,27459633847,40276326,19769443175
2013,0,14270328236,1460038389,-243713234,1717852814,0,-637452604,14370661462,0,30937715063,-42071617992,-11094215287,27940698469,-151034054,-14370661462,-2676246176,4383056611,-4810791415,-11913096243,-2359903633,0,0,0,0,0,637452604,-1722451029,0,0,367686835712,-320248876606,0,-2800000000,0,44637959106,31002411834,19769443175,1092222,50772947231
2014,0,15112987832,1560271092,148378112,-106318762,0,-424517257,14848978451,0,31139779468,-9013858388,-48217270701,59643314747,454186732,-14848978451,-3545121981,0,-2904336558,12707714868,-1836954667,0,0,1591200000,0,0,159317257,-86437410,0,0,492874458528,-495877552760,0,-5600000000,0,-8603094232,4018183226,50772947231,-29471227,54761659230
2015,0,15144786568,1725139772,-1763332093,1359820252,0,-393677469,16439927774,0,32512664804,114120821657,9266057307,-217992614758,149473087,-16439927774,-2874329917,0,-2059641658,-83317497252,-11750032063,0,0,0,0,0,393677469,-11356354594,0,0,758135251224,-639119275086,-50168000,-3080000000,0,115885808138,21211956292,54761659230,72579371,76046194893
2016,0,15530829355,2084101112,377488670,81435664,0,-143027630,22494488291,0,40425315462,-49907273371,1835185411,74184511837,341852608,-22494488291,-3350801802,0,-4858446465,36175855389,-25035565778,0,-25165270776,0,0,0,143027630,-50057808924,0,0,958566452081,-966501256967,-301008000,-5974630000,0,-14210442886,-28092396421,76046194893,-29051299,47924747173
2017,0,16432649070,3240120197,579040523,968129726,0,-1903674386,22927300300,0,42243565430,-46118137213,18710151647,33685173203,-1016514831,-22927300300,-3653637497,35767000,-2180389498,18778677941,-17149427950,0,-30858701313,30023972089,0,0,1903674386,-16080482788,0,0,1015933305375,-956342512185,-301008000,-7896431818,0,51393353372,54091548525,47924747173,-238909629,101777386069
2018,0,17647986754,4042140703,194897495,397635557,0,-4062833027,22693801697,0,40913629179,-58267028967,10352335841,4527011457,-1181616355,-22693801697,-2889407898,45940455,-3652488327,-32845426312,-328399999,0,-32973991693,20240000000,0,0,3140390864,-9922000828,0,0,1112254887836,-1112545753886,-301008000,-2509178018,0,-3101052068,-45868479208,101777386069,0,55908906861
2019,0,18916197777,3812281434,-979335001,45791409,0,-4219090901,22849615245,0,40425459963,82120197849,4810860566,53143906833,1305904002,-22849615245,-3696284448,0,-5320734692,149939694828,-10692941249,0,38733991693,-19404810590,0,0,4219090901,12855330755,0,0,1028442555959,-1100874489808,-288640497,-7084000000,0,-79804574346,82990451237,55908906861,-14871234,138884486864
