Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2014,4,3027437888570,312291216044,56911549377,255379666667,1242646314374,1255969301207,-13322986833,327634681719,336185535497,4779373263,0,0,39256726807,-52586953848,11023500087,11023500087,0,137359079570,106295246634,0,108829612,0,0,30955003324,0,0,0,619817477040,450117427957,258972253249,356385597415,-97413344166,0,0,0,130472688708,132879007590,-2406318882,60672486000,0,0,0,153767825000,0,1350000000,169851525000,-17433700000,6593133419,6593133419,0,0,0,3647255365610,2791445971934,2786145968365,0,201112971941,1656505544,18579893511,56426752079,0,50045735090,17908096228,0,0,0,5300003569,0,0,0,0,0,0,0,0,0,0,855809393676,855809393676,709742180000,3496950000,0,-12558869134,0,37676935951,0,33437144267,84015052592,0,0,0,3647255365610
2015,1,3125329706467,157035551256,55053351256,101982200000,1414592720241,1431969767874,-17377047633,372448858855,371499300682,14264009115,0,0,45986754654,-59301205596,11459852885,11459852885,0,149581890749,106441170540,0,0,0,0,43140720209,0,0,0,622600018447,456514277429,296143007992,399133619163,-102990611171,0,0,0,130178434302,132879007590,-2700573288,30192835135,0,0,0,148681825000,0,1350000000,164851525000,-17519700000,7242769995,7242769995,0,0,0,3747929724914,2902618055846,425337330598,0,244877135771,3255370537,19544449600,48971756755,0,32093763884,17789817678,0,0,0,5115224774,0,0,0,2472165500474,1085241963715,0,1221613706254,165309830505,0,0,845311669068,845311669068,709742180000,3496950000,-12558869134,0,0,37676935951,0,33437144267,73517327984,0,0,0,3747929724914
2015,2,3076944821136,138181717422,92443717422,45738000000,1486575985485,1500109874421,-13533888936,371623533302,325337921525,5085071199,0,0,104476775455,-63276234877,12585809972,12585809972,0,104866899160,104764684333,0,32829381,0,0,69385446,0,0,0,659610596492,407264793953,235901034387,341150807355,-105249772968,0,0,0,129884179896,132879007590,-2994827694,41479579670,56812372849,60086566355,-3274193506,177858745037,0,1350000000,194851525000,-18342779963,7471218791,7471218791,0,0,0,3736555417628,2905938362605,2898556166025,0,173586585642,2965948822,22235581025,60470506874,0,52479478370,29352359023,0,0,0,7382196580,0,0,0,0,0,0,0,0,0,0,830617055023,830617055023,709742180000,3496950000,-12558869134,0,0,42086896654,0,33437144267,54412753236,0,0,0,3736555417628
2015,3,3122029050263,152762965231,62242965231,90520000000,1561291315095,1575569774421,-14278459326,362499606707,340637928391,3700369668,0,0,82917300198,-64755991550,13175483753,13175483753,0,100542088798,100305111856,0,208632405,0,0,28344537,0,0,0,568230936297,413230358198,235625084185,344902616515,-109277532330,0,0,0,156173777994,165274889317,-9101111323,21431496019,56222067931,60086566355,-3864498424,80858745037,0,1350000000,99851525000,-20342779963,7973199520,7973199520,0,0,0,3690259986560,2841029796048,2833078358937,0,195771749870,2653105476,16304408290,68769624465,0,32964804721,26766040964,0,0,0,7951437111,0,0,0,0,0,0,0,0,0,0,849230190512,849230190512,709742180000,3496950000,-12558869134,0,0,42086896654,0,33437144267,73025888725,0,0,0,3690259986560
2015,4,3102591932263,176116728592,71166728592,104950000000,1569214225295,1584530974421,-15316749126,369950646991,369480941647,7867835896,0,0,64102583229,-71500713781,11723736562,11723736562,0,107146052575,106548308038,0,0,0,0,597744537,0,0,0,610762289678,411779891764,232955419065,347521465585,-114566046520,0,0,0,154287126583,165627494317,-11340367734,24537346116,55373517118,60086566355,-4713049237,127349525000,0,1350000000,146533525000,-20534000000,6019408229,6019408229,0,0,0,3713354221941,2913406293116,2904105241123,0,164171702309,2690415868,25474547800,81408079519,0,106208534002,23294358581,0,0,0,9301051993,0,0,0,0,0,0,0,0,0,0,799947928825,799947928825,709742180000,3496950000,-12558869134,0,0,42439396654,0,38444865555,18383405750,0,0,0,3713354221941
2016,1,2821050350467,164651260368,164651260368,0,1260547402078,95988096643,-16224722343,432099237872,425605039940,6082955162,0,0,75712813061,-75301570291,13896979014,13896979014,0,103738947766,103078244944,0,19939194,0,0,640763628,0,0,0,920122331762,411742086749,231760039021,350989048395,-119229009374,0,0,0,152405511405,166033494317,-13627982912,27576536323,54524966305,60086566355,-5561600050,437177525000,0,1350000000,457033525000,-21206000000,6392600141,6392600141,0,0,0,3741172682229,2916077889623,2906687904008,0,228291565226,3500746570,22035086113,64552663699,0,50605918173,21343196707,0,0,0,9389985615,0,0,0,0,0,0,0,0,0,0,825094792606,825094792606,709742180000,3496950000,-12558869134,0,0,42439396654,0,38444865555,43530269531,0,0,0,3741172682229
2016,2,3394909951365,199195995871,195995995871,3200000000,1761523399807,1774652061643,-13128661836,453078321053,441491369215,1554034031,0,0,81262494387,-71229576580,12834467450,12834467450,0,103256306516,102242854888,0,0,0,0,1013451628,0,0,0,546166993874,413229484300,231270787185,355864059853,-124593272668,0,0,0,150116951325,166033494317,-15916542992,31841745790,53676415492,60086566355,-6410150863,62899525000,0,1350000000,82083525000,-20534000000,5777417215,5777417215,0,0,0,3941076945239,3067683642936,3050897363645,0,253146260067,2434221504,25562807567,78605975204,0,48070623301,35090517885,0,0,0,16786279291,0,0,0,0,0,0,0,0,0,0,873393302303,873393302303,709742180000,13252855866,0,0,0,47094617942,0,38444865555,64858782940,0,0,0,3941076945239
2016,3,3399733498391,158980871277,154480871277,4500000000,1687502221390,1702098061643,-14595840253,399637183270,384066971485,3598691961,0,0,79493552829,-67522033005,11894667037,11894667037,0,101475341897,98753247351,0,1638822918,0,0,1083271628,0,0,0,774770652703,407708098952,235030498257,367831355946,-132800857689,0,0,0,150294291247,169309394317,-19015103070,22383309448,50808162194,60086566355,-9278404161,297781525000,0,1350000000,314965525000,-18534000000,6921780450,6921780450,0,0,0,4174504151094,3279114612405,3266275120350,0,262731974600,3024434854,17794962349,99048915209,0,36262942744,34816263505,0,0,0,12839492055,0,0,0,0,0,0,0,0,0,0,895389538689,895389538689,709742180000,13252855866,0,0,0,47094617942,0,38444865555,86855019326,0,0,0,4174504151094
2016,4,3523449661837,142517888593,112332888593,30185000000,1793504410300,1810942314407,-17437904107,384948370665,394152126574,2279180037,0,0,54219757122,-65702693068,9807911023,9807911023,0,99733557720,97266697123,0,1589208969,0,0,877651628,0,0,0,769622388456,365569028346,235731258872,374190658494,-138459399622,0,0,0,111762062060,133338087411,-21576025351,18075707414,86253527991,96057873261,-9804345270,300559525000,0,1350000000,317743525000,-18534000000,5706913012,5706913012,0,0,0,4293072050293,3377742142614,3361678960320,0,265362038206,2090849664,19428985409,118733744280,0,34592706192,31774947144,0,0,0,16063182294,0,0,0,0,0,0,0,0,0,0,915329907679,915329907679,709742180000,13252855866,0,0,0,47094617942,0,43786173457,101454080414,0,0,0,4293072050293
2017,1,3573443217954,109349177763,104014177763,5335000000,1886306836400,1903700634407,-17393798007,485150387382,490616497686,2172325143,0,0,62277453137,-69915888584,10820513385,10820513385,0,94171049255,91803113769,0,1493933858,0,0,874001628,0,0,0,643471943337,363895961528,233006475572,376917415304,-143910939732,0,0,0,109726571073,133730587411,-24004016338,21162914883,85727586882,96057873261,-10330286379,175984633709,0,1350000000,193168633709,-18534000000,6359700111,6359700111,0,0,0,4216915161291,3341235427431,3327954419274,0,259921053008,1383938805,20843674549,102632119628,0,81687337911,29874947093,0,0,0,13281008157,0,0,0,0,0,0,0,0,0,0,875679733860,875679733860,709742180000,13252855866,0,0,0,47094617942,0,43732766970,61857313082,0,0,0,4216915161291
