Year,Quarter,1. Premium received and interest income received,2. Payments to suppliers,3. Payments to employees,4. Interest payment,5. Payments for enterprise income tax,6. Other cash receipts,7. Other cash disbursements,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal and liquidation of fixed assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Withrawals of investments in other entities,"7. Interest received, dividends received and profit shares",8. Cash transfer under trusted investment arrangement,9. Cash receipt from trusted investment arrangement,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Cash receipts from issuing shares,"2. Payments to shareholders, repurchasing shares",3. Cash receipts from short and long term loans,4. Payments for original loans,5. Payments for financial loans,6. Dividends paid out,7. Refund to investors and shares premium paid to MOF,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,IMPACT OF EXCHANGE RATE FLUCTUATION,Cash and cash equivalents at the end of period
2014,4,662781037739,-519552506810,-59925039179,0,-6029577592,119597437734,-150794911441,46076440451,-11201805368,216377274,-258800000000,146888271280,0,2638111693,20465828761,0,0,-99793216360,0,0,0,0,0,-163404380,0,-163404380,-53880180289,366245560823,-74164490,312291216044
2015,1,564692814327,-351354937067,-96103706236,0,-6266368241,89406495439,-157499972584,42874325638,-14074041157,3000000,-247914000000,77116533333,0,0,20897835172,0,0,-163970672652,0,0,0,0,0,-34216677680,0,-34216677680,-155313024694,312291216044,57359906,157035551256
2015,2,627202578054,-424227929289,-62722825934,0,-3184879385,114408510965,-180414917869,71060536542,-5478474198,12450455,-391250000000,291909029167,0,0,38878784105,0,0,-65928210471,0,0,0,0,0,-24358309855,0,-24358309855,-19225983784,157035551256,372149950,138181717422
2015,3,538397246890,-479195653868,-59702984366,0,-7754178783,88373702069,-118601457462,-38483325520,-13759027715,526161090,-210020000000,230182000000,0,0,49127774984,0,0,56056908359,0,0,0,0,0,-3229131520,0,-3229131520,14344451319,138181717422,236796490,152762965231
2015,4,691160542038,-539195524211,-69060364404,0,-4838836766,93208122878,-128010887003,43263052532,-7590749665,2200000,-244230000000,209950000000,0,558900000,22807883514,0,0,-18501766151,0,0,0,0,0,-706638510,0,-706638510,24054647871,152762965231,-700884510,176116728592
2016,1,594240575191,-409242387207,-88316569639,0,-4501625000,113686394171,-165895803326,39970584190,-5846021845,71454544,-259450000000,256708850000,0,0,19422965812,0,0,10907248511,0,0,0,0,0,-62343300925,0,-62343300925,-11465468224,176116728592,0,164651260368
2016,2,621717925258,-403157863646,-61635306995,0,-6625993175,78976111894,-122865422725,106409450611,-7716471670,3374848,-453500000000,321139277778,0,9450000000,42954029586,0,0,-87669789458,22314775000,0,0,0,0,-6509700650,0,15805074350,34544735503,164651260368,0,199195995871
2016,3,643363901201,-448305474478,-61256564642,0,-11073694647,127778904989,-173327646710,77179425713,-6180509638,573688637,-446863800000,198254000000,0,90000000000,47030101674,0,0,-117186519327,100000,0,0,0,0,-208130980,0,-208030980,-40215124594,199195995871,0,158980871277
2016,4,719564365794,-546056552338,-73490743548,0,-2266157921,76495212214,-101110807232,73135316969,-3292290927,87310909,-363194627500,193950374736,0,57622000000,24363517727,0,0,-90463715055,0,0,0,0,0,-172283260,0,-172283260,-17500681346,158980871277,1037698662,142517888593
2017,1,606149326389,-433053825503,-99610288290,0,-5674046318,157102082889,-300479129316,-75565880149,-9563739152,0,-133385320000,105627000000,0,65000000000,47075123000,0,0,74753063848,0,0,0,0,0,-32257659680,0,-32257659680,-33070475981,142517888593,-98234849,109349177763
