Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2010,1,337865429344,17305270342,-60652878914,-58860193941,0,-1792684973,0,-11788973180,11383788914,334431807,0,150899514,183532293,294447068313,-125499871559,-3982392768,3795366663,3633044824,35000000,127321839,-125686897664,0,-29792000000,-8841729885,-40313155349,-34987354959,-29089317509,-29548792,-470553,-2186776838,-3379001612,-302239655,-5325800390,0,0,-204633782898,89813285415,0,0,0,0,0,0,-39668202727,-49876519654,-49876519654,0,0,268563034,0,0,15963005835,-77463823,15885542012,10499507862,-9973289489,526218373,0,16680323419,0,-4170080854,12510242565,0,12510242565,0
2010,2,392018933525,36117361875,-169925150338,-166773743165,0,-3151407173,0,-33081026820,35113352759,7206597632,0,6937781810,268815822,267450068633,-133512816137,-18131819962,50549776257,49738118939,190239137,621418181,-101094859842,0,9014538653,-7984270115,-47060247250,-39233077986,-30454121092,-287064388,-4158456,-4128091206,-4097295925,-262346919,-7827169264,0,0,-147124838554,120325230079,0,0,0,0,0,0,-50424567071,-66741226042,-66741226042,0,0,3159436966,0,0,21340602998,-103979952,21236623046,23339060048,-22456536986,882523062,0,25278583074,0,-6319645769,18958937305,0,18958937305,0
2010,3,381282693869,11814036501,-28831914405,-26562933248,0,-2268981157,0,-29282985408,5524301959,1359034863,0,1042199948,316834915,341865167379,-194934396626,-2541108211,2627158599,1298674699,769803390,558680510,-194848346238,29902913741,-9521555700,-10981369528,-43806214778,-41322366212,-33954586328,-451292741,-15363636,-1656142829,-4928616761,-316363917,-2483848566,0,0,-229254572503,112610594876,0,0,0,0,0,0,-50737982669,-61581178198,-61581178198,0,0,291434009,0,0,20381751604,-4759732000,15622019604,13105854355,-13893203498,-787349143,0,15126104470,0,-3781526117,11344578353,0,11344578353,0
2010,4,480895100268,16808381181,-225763284249,-220982754651,0,-4780529598,0,1964648194,79062481977,1849859501,22691558,1831568161,-4400218,354817186872,-213704162152,-6949358731,81258162621,80107503194,234595460,916063967,-139395358262,55803221710,-47835927866,-8273880495,-59030448107,-56328453694,-40631681835,-386646064,0,-10235433734,-4569329124,-505362937,0,-2702114413,120000,-198732393020,156084793852,0,0,0,0,0,0,-72148475253,-81375259049,-81375259049,0,0,2561059550,0,0,34018774883,-11323395611,22695379272,23432577884,-23432510127,67757,0,25256506579,0,-4892475544,20364031035,0,20364031035,0
2011,1,407643124540,20698150501,-99338474168,-95623534876,0,-3714939292,0,-15399962117,26750968538,1682705680,0,1347536734,335168946,342036512974,-178790429861,-2078082258,39681623452,39112228362,242089253,327305837,-141186888667,0,-35846702619,-9921879384,-43318623947,-38780762780,-33279598630,-4946890,0,-1712844435,-3645694902,-137677923,-4537861167,0,0,-230274094617,111762418357,0,0,0,0,0,0,-55861384936,-55435884030,-55435884030,0,0,465149391,0,0,40680707713,-10385297245,30295410468,16445941014,-15822152646,623788368,0,31384348227,0,-7846087057,23538261170,0,23538261170,0
2011,2,473044259656,29535427426,-143539172282,0,0,0,-143539172282,-28225422541,35943206213,7157092182,0,6291540139,865552043,373915390654,-180838789793,-8825689183,33984930660,32574453237,154256660,1256220763,-155679548316,0,13311093508,-11033828821,-50338280321,-43249914255,-34460619478,-917195966,0,-2043074618,-5602542912,-226481281,-7088366066,0,0,-203740563950,170174826704,0,0,0,0,0,0,-60131316491,-102802219422,-102802219422,0,0,7241290791,0,0,40491080833,-13070808170,27420272663,21593077898,-21457092250,135985648,0,34797549102,0,-8699387275,26098161827,0,26098161827,0
2011,3,472858556649,20031601290,-174911144342,-173635074144,0,-1276070198,0,-12352744887,43526446624,1254358677,0,940845774,313512903,350407074011,-239429132274,-20211844750,69114614662,68138732649,878513904,97368109,-190526362362,0,13035608997,-9576284640,-52787178395,-48797678335,-41774364145,514799131,0,-2083497748,-5196880471,-257735102,0,-3989500060,0,-239854216400,110552857611,0,0,0,0,0,0,-65257270689,-45197091172,-45197091172,0,0,98495750,0,0,45344812580,-10469022379,34875790201,15455000207,-15551995891,-96995684,0,34877290267,0,-7177367469,27699922798,0,27699922798,0
2011,4,534234907935,24739860223,-100662875289,-97797828104,0,-2865047185,0,-72205939116,35159091311,1642113408,33697420,1097249716,511166272,422907158472,-206455369130,-4808112881,72196711224,68247526099,531304841,3417880284,-139066770787,0,-6514496136,-13799070695,-66533962096,-61164940374,-50569226043,-789516276,0,-3005102993,-6655265850,-145829212,0,-5369021722,0,-225914299714,196992858758,0,0,0,0,0,0,-87210353892,-104693193567,-104693193567,0,0,5089311299,0,0,50108426539,-21262388938,28846037601,13222373351,-13191887848,30485503,0,33965834403,0,-7760903601,26204930802,0,26204930802,0
2012,1,450245982060,10305957853,-90283121943,-89007863589,0,-1275258354,0,170872107,19711138199,777593641,0,518854623,258739018,390928421917,-200944968818,-16740412177,24572276935,23111177208,453483596,1007616131,-193113104060,0,-10273647029,-11123632290,-49556439778,-47758889608,-40456511969,-130000000,0,-2322082601,-4635778635,-214516403,0,-1797550170,0,-264066823157,126861598760,0,0,0,0,0,0,-67381488709,-73167362398,-73167362398,0,0,-13687252347,0,0,38880606360,7354685168,46235291528,10619392155,-10273483153,345909002,0,32893948183,0,-8190387042,24703561141,0,24703561141,0
2012,2,500138112935,54003942910,-134603522621,-131626551057,-349471147,310229741,-2937730158,-24904354646,39983726273,4922410306,1218673181,2872131767,831605358,439540315157,-231288523232,-25125938299,60598572206,59374881409,871045078,352645719,-195815889325,0,-4692646844,-12701268696,-64040642984,-47648745905,-40414858144,-32324000,0,-1926102728,-5112587014,-162874019,0,-16391897079,0,-277250447849,162289867308,0,0,0,0,0,0,-74279932824,-72883757334,-72883757334,0,0,15126177150,0,0,39283330738,-16311887081,22971443657,6189176186,-7298626196,-1109450010,0,36988170797,0,-8331139662,28657031135,0,28657031135,0
