Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2005,0,90431653000,7146300000,7146300000,0,69990572000,69990572000,0,12635304000,13318215000,0,0,0,106505000,-789416000,0,0,0,659477000,614423000,0,0,0,0,45054000,0,0,0,24097089000,823339000,823339000,2534592000,-1711253000,0,0,0,0,0,0,0,0,0,0,19305000000,0,0,19305000000,0,3968750000,0,0,3968750000,0,114528742000,43176078000,9083797000,0,6825632000,0,624763000,0,0,1633402000,0,0,0,0,0,0,0,0,34092281000,27938759000,0,3091501000,3062021000,0,0,71352664000,71352664000,71586000000,0,0,0,0,0,0,0,-233336000,0,0,0,114528742000
2006,0,261160501000,16059620000,16059620000,0,214809753000,215047837000,-238084000,28639291000,31299369000,0,0,0,2499652000,-5159730000,0,0,0,1651837000,279565000,0,0,0,0,1372272000,0,0,0,55819966000,2389966000,2389966000,7077409000,-4687443000,0,0,0,0,0,0,0,0,0,0,43430000000,0,0,43430000000,0,10000000000,0,0,10000000000,0,316980467000,106630275000,67005486000,40000000000,21905783000,0,3648284000,0,0,1451419000,0,0,0,0,0,0,0,0,39624789000,25714504000,0,9352105000,4558180000,0,0,210350192000,210350192000,200000000000,0,0,0,0,773847000,0,0,9576345000,0,0,0,316980467000
2007,0,502687880193,26317104433,26317104433,0,386220202616,391369856714,-5149654098,85633527448,81938354318,0,0,0,11345038766,-7649865636,0,0,0,4517045696,273329627,0,0,0,0,4243716069,0,0,0,217332201107,5458670807,5409708499,15324161588,-9914453089,0,0,0,48962308,56057850,-7095542,0,0,0,0,205873530300,0,0,205873530300,0,6000000000,0,0,6000000000,0,720020081300,199665519971,106210092302,0,74689544490,0,3090718226,0,28429829586,0,0,0,0,0,161424000,0,0,161424000,93294003669,0,60942840158,26962935511,5388228000,0,0,520354561329,520150331329,500000000000,0,0,0,0,16602481630,0,0,0,204230000,204230000,0,720020081300
2008,0,1449850583653,24866425912,24866425912,0,967173080867,1027303814311,-60130733444,447369514866,151161093723,0,0,0,305996677389,-9788256246,0,0,0,10441562008,549329626,0,0,9892232382,0,0,0,0,0,296256141824,6275566361,6245103142,19605566491,-13360463349,0,0,0,30463219,56057850,-25594631,0,0,0,0,283133660763,0,26600580000,275369392040,-18836311277,6846914700,406693380,0,6440221320,0,1746106725477,1302666587299,1143659232093,0,126686717218,0,5267939163,0,1011704575712,0,0,0,0,0,195086574,0,0,195086574,158812268632,85370373315,0,63488924169,9952971148,0,0,443440138178,442359255415,500000000000,0,0,0,0,15315454230,0,0,-76277631914,1080882763,1080882763,0,1746106725477
2009,0,1571544541178,27886801466,27886801466,0,1297268294500,1316537857391,-19269562891,241209515484,217302759184,0,0,0,28954201772,-5047445472,0,0,0,5179929728,1547557114,0,0,0,0,3632372614,0,0,0,241470438674,8168106135,8156282148,26611918463,-18455636315,0,0,0,11823987,56057850,-44233863,0,0,0,0,226838120138,0,25756020000,217123008331,-16040908193,6464212401,374095581,0,6090116820,0,1813014979852,1294333533432,1117026344273,0,268004447537,0,6939066062,0,842082830674,0,0,0,0,0,169067159,0,0,169067159,177138122000,99978009065,0,58167600409,18992512526,0,0,518681446420,518545779610,500000000000,0,0,0,-869826504,15834600085,0,0,0,135666810,135666810,0,1813014979852
2010,0,2280558095044,21421465480,21421465480,0,1842075027576,1853900824886,-11825797310,413415882274,252599611682,2140789225,0,0,163819644289,-5144162922,0,0,0,3645719714,475422834,0,0,0,0,3170296880,0,0,0,220483810738,10110995554,10110995554,27566631967,-17455636413,0,0,0,0,56057850,-56057850,0,0,0,0,198831412583,0,19041412583,179790000000,0,11541402601,5464956104,0,6076446497,0,2501041905782,1820768327732,1568348035768,0,215250684791,11022065858,7385696355,728792095,9682537999,1323094719497,1183539173,0,0,0,0,0,0,0,252420291964,159300556281,0,64586322712,28533412971,0,0,680273578050,680273578050,660000000000,2271699140,0,0,0,0,0,0,18001878910,0,0,0,2501041905782
2011,0,1733798447811,17800852232,17800852232,0,1400608746540,1422962212493,-22353465953,303246561474,276526039044,678042882,0,0,32375581984,-6333102436,0,0,0,12142287565,266149756,0,7994634946,0,0,3881502863,0,0,0,136213005415,8576494889,6511853206,28361387359,-21849534153,2064641683,2152579273,-87937590,0,56057850,-56057850,0,0,0,0,121606510526,0,21606510526,100000000000,0,6030000000,0,0,6030000000,0,1870011453226,1120112997492,821469334345,0,240347597966,8315273924,16527238981,16305812063,19379257044,519253362416,1340791951,0,0,0,542138757,0,0,0,298101524390,190128680491,0,67332841109,40640002790,0,0,749898455734,749898455734,660000000000,2271699140,-6215238666,0,0,0,1800187891,4853369576,87188437793,0,0,0,1870011453226
2012,0,1129206701858,15192045761,15192045761,0,900089914036,912887200387,-12797286351,202124592038,204563928648,1309652500,0,0,6646422296,-10395411406,0,0,0,11800150023,422588502,0,5858667634,0,0,5518893887,0,0,0,273410503367,14222134222,7722134222,32374997225,-24652863003,0,0,0,6500000000,6556057850,-56057850,0,0,0,0,253133077854,0,23837143685,246235833333,-16939899164,6055291291,24336745,0,6030954546,0,1402617205225,644189880626,275157115644,0,186440201763,9798119269,14813951634,27758733599,22072958365,10089711694,4183439320,0,0,0,0,0,0,0,369032764982,238964521669,0,74944817505,55123425808,0,0,758427324599,758427324599,660000000000,2271699140,-6577533810,0,0,0,1800187891,9062277776,91870693602,0,0,0,1402617205225
2013,0,1464148058508,29960714186,29960714186,0,1059287738000,1060077535905,-789797905,362390176302,340409022787,2000007331,0,0,37245109948,-17263963764,0,0,0,12509430020,915941672,0,4919220101,0,0,6674268247,0,0,0,291620877026,19471976028,12913596400,41474776123,-28561179723,0,0,0,6558379628,6606599125,-48219497,0,0,0,0,259549762981,0,0,276832767037,-17283004056,12599138017,1231828056,418770415,4948539546,6000000000,1755768935534,937638316842,455378682728,0,347913094195,9121518359,31530708785,34170219803,14536202928,12521889073,5585049585,0,0,0,0,0,0,0,482259634114,293811238913,0,117844424682,70603970519,0,0,791935586193,791935586193,660000000000,4875765330,0,0,7052332500,0,1800187891,13311197165,104896103307,0,0,26195032499,1755768935534
2014,0,2645785861399,154229365232,58729365232,95500000000,1063843940648,1066976832716,-3132892068,398318625058,363952882261,1854102733,0,0,59069139691,-26557499627,257051523,257051523,0,61944714792,52278352548,0,864879581,0,0,8801482663,0,0,0,420974271787,24693259879,18156546923,50631521299,-32474974376,0,0,0,6536712956,6606599125,-69886169,0,0,0,0,381860515867,0,0,398418363704,-16557847837,8420496041,2219406495,0,0,6201089546,3066760133186,2127989271776,2120594012200,0,393913624037,6711317151,52037024104,33844232187,14304710299,15487106419,3931236644,0,0,0,7395259576,0,71521103,0,0,0,0,0,0,0,0,905401997829,905401997829,762299820000,4875765330,0,0,7052332500,0,1800187891,17652521022,111721371086,0,0,33368863581,3066760133186
