Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2010,4,169425039079,12077411809,-78234977662,-76056362103,-2178615559,0,0,-16117862717,18862577747,7600586920,0,0,7600586920,113612775176,-63407455295,-17369697193,47661679868,47661679868,0,0,-33115472620,0,-4975965851,-3052284849,-20652603722,-24069370596,-15091206969,0,0,0,0,-8978163627,0,0,3416766874,-61796327042,51816448134,0,0,0,0,0,0,0,-37100044216,-37100044216,0,0,14716403918,0,0,64993847408,-46960611275,18033236133,118182420,-39450561,78731859,-6714607417,26113764493,0,-8111885584,18001878909,0,18001878909,273
2011,1,142619222473,12014822803,-53366926850,-47822106941,0,-5544819909,0,-19133827729,15444480772,10708111367,0,0,10708111367,108285882836,-66978789305,-774987061,31044964088,31044964088,0,0,-36708812278,0,3728684418,-5119744961,-29511993502,-25086182902,-13726160982,0,0,0,0,-11360021920,0,0,-4425810600,-67611866323,40674016513,0,0,0,84251398,-13944590,70306808,0,-38343073916,-38343073916,0,0,2330942597,0,70306808,74634342434,-50670865789,23963476645,0,0,0,0,26364726050,0,-6419134438,19945591612,0,19945591612,0
2011,2,156477049948,27604467452,-75813862697,-75530885490,-282977207,0,0,-14204848067,17613995095,739042698,0,0,739042698,112415844429,-145612574646,-4018190453,107723922824,107723922824,0,0,-41906842275,0,-9758411603,-1107413330,-31118557676,-30960889115,-18888298911,0,0,0,0,-12072590204,0,0,-157668561,-83891224884,28524619545,0,0,0,-84251398,13944590,-70306808,0,-42598664968,-42598664968,0,0,-14074045423,0,-70306808,40160048391,-7640809470,32519238921,121889116,-611249250,-489360134,1281072727,19166599283,0,-4309221152,14857378131,0,14857378131,225
2011,3,125856975078,10979500406,-52287023520,-50919418136,0,-1367605384,0,7812978900,15581874271,561760869,0,0,561760869,108506066004,-77950667165,-2495481954,36540859153,36540859153,0,0,-43905289966,0,-5158508358,-2595322111,-34621206355,-26001250623,-13966603112,0,0,0,0,-12034647511,0,0,-8619955732,-86280326790,22225739214,0,0,0,0,0,0,0,-4680231365,-4680231365,0,0,17545507849,0,0,205409815643,-198361539751,7048275892,1017574027,-52384742,965189285,0,25558973026,0,-5161408896,20397564130,0,20397564130,309
2011,4,196377974252,16084071779,-107788568371,-99499833161,-3493444008,0,-4795291202,0,21023690830,6874202170,0,0,6874202170,132571370660,-62863711514,-12286428724,24520971767,24520971767,0,0,-50629168471,0,13613628421,-3284109417,-46770756670,-29060806648,-16386257674,0,0,0,0,-12674548974,0,0,-17709950022,-87070406137,45500964523,0,0,0,0,0,0,0,-94597812173,-94597812173,0,0,-49096847650,0,0,-33510441086,110318060024,76807618938,-299629417,-278734577,-578363994,1825848811,28958256105,0,-5164900702,23793355403,0,23793355403,361
2012,1,162322508393,19068959529,-63338536301,-62856047993,-482488308,0,0,-20091892758,17654505837,11512455969,0,0,11512455969,127128000669,-76300872909,-903703094,40327136908,40327136908,0,0,-36877439095,0,-3083278287,-5902646581,-48635378619,-48635378619,0,0,0,0,0,-48635378619,0,0,0,-94498742582,32629258087,0,0,0,0,0,0,0,-36072057474,-36072057474,0,0,-3442799387,0,0,43925976772,-10110596636,33815380136,32205053,-15793421,16411632,0,30388992381,0,-7471931843,22917060538,0,22917060538,347
2012,2,158681616695,35379890580,-77555777583,-75859560318,-1696217265,0,0,-11628162974,21843719983,856229376,0,0,856229376,127577516077,-55799128770,-4806217472,21764372822,21764372822,0,0,-38840973420,0,-12039659608,-5825286485,-31610691378,10297649927,-38337728692,0,0,0,0,48635378619,-12023545237,0,-29884796068,-88316610891,39260905186,0,0,0,0,0,0,0,-53775657310,-53775657310,0,0,-14514752124,0,0,45256187840,-9368754018,35887433822,289079455,-119863398,169216057,1773943261,23315841016,0,-5130591337,18185249679,0,18185249679,277
2012,3,137277277101,10985438122,-50196910041,-49168124329,-1028785712,0,0,5549793482,15100628374,558320205,0,0,558320205,119274547243,-56743173470,-5652705238,24287236968,24287236968,0,0,-38108641740,0,16527108707,-4903290259,-29064475334,-26973815109,-12630621423,0,0,0,0,-14343193686,-2599550551,0,508890326,-55549298626,63725248617,0,0,0,0,0,0,0,-50675792898,-50675792898,0,0,13049455719,0,0,38292566580,-14780530412,23512036168,-23920014,-48298390,-72218404,0,36489273483,0,-9088914067,27400359416,0,27400359416,414
2012,4,213371550201,18367986429,-80898147800,-77844926135,-3053221665,0,0,-23415890709,22977841043,5524042917,0,0,5524042917,155927382081,-65550107237,-5411680566,27171998196,27171998196,0,0,-43789789607,0,-12958102674,2127247665,-50415197963,-37565106527,-17517264288,0,0,-2252211084,-104520966,-17691110189,-5118294530,0,-7731796906,-105035842579,50891539502,0,0,0,0,0,0,0,-57816107373,-57816107373,0,0,-6924567871,0,0,32027183354,-8703486649,23323696705,524060621,-119715079,404345542,3326056739,20129531115,0,-4095334271,16034196844,0,16034196844,263
2013,1,186233006058,12746999995,-84018287129,-83182082246,0,-836204883,0,-9487367546,22488827301,1775957557,0,0,1775957557,129739136236,-53871272090,-2259663559,21536849145,21536849145,0,0,-34594086504,0,-3917129448,-3448851568,-46721564680,-46721564680,0,0,0,0,-46721564680,0,0,0,0,-88681632200,41057504036,0,0,0,0,0,0,0,-44464236188,-44464236188,0,0,-3406732152,0,0,30842689332,2902306066,33744995398,178378887,-8183742,170195145,0,30508458391,0,-7270325781,23238132610,0,23238132610,358
