Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2010,4,2277952177675,21421465480,21421465480,0,1842075027576,1853900824886,-11825797310,410809964905,254740400907,0,0,0,161213726920,-5144162922,0,0,0,3645719714,475422834,0,0,0,0,3170296880,0,0,0,220483810738,10110995554,10110995554,27566631967,-17455636413,0,0,0,0,56057850,-56057850,0,0,0,0,198831412583,0,19041412583,179790000000,0,11541402601,5464956104,0,6076446497,0,2498435988413,1818162410363,1565742118399,0,223154251729,0,4779778986,0,1337808087684,0,0,0,0,0,0,0,0,0,252420291964,159300556281,0,64586322712,28533412971,0,0,680273578050,680273578050,660000000000,2271699140,0,0,0,0,0,0,18001878910,0,0,0,2498435988413
2011,1,1057518354312,21263873557,21263873557,0,683972174300,699459184018,-15487009718,345470794995,325357546160,0,0,0,25257411757,-5144162922,0,0,0,6811511460,515344500,0,0,0,0,6296166960,0,0,0,228050427842,8330537119,8330537119,27836649687,-19506112568,0,0,0,0,56057850,-56057850,0,0,0,0,208831412583,0,19041412583,189790000000,0,10888478140,4782031643,0,6106446497,0,1285568782154,585349612491,312400996789,0,254406405403,0,12034074671,0,0,45753965350,206551365,0,0,0,0,0,0,0,272948615702,178434384010,0,60861073760,33653157932,0,0,700219169663,700219169663,660000000000,2271699140,0,0,0,0,0,0,37947470523,0,0,0,1285568782154
2011,2,2114570691977,14486550504,14486550504,0,1264967362976,1283855975162,-18888612186,828682527547,431641550190,0,0,0,403816740310,-6775762953,0,0,0,6434250950,92407909,0,0,0,0,6341843041,0,0,0,229778081299,7934938528,7934938528,28126004058,-20191065530,0,0,0,0,56057850,-56057850,0,0,0,0,210112485310,0,20322485310,189790000000,0,11730657461,5700657461,0,6030000000,0,2344348773276,1632386621742,1334621473161,0,303988258173,0,8322824121,0,0,1020668838697,1641552170,0,0,0,0,0,0,0,297765148581,192639232077,0,70365345242,34760571262,0,0,711962151534,711962151534,660000000000,2271699140,0,0,0,0,0,0,46990170557,0,0,0,2344348773276
2011,3,2739737717079,27154935256,27154935256,0,2334382472464,2356576808680,-22194336216,371506891848,369396716053,0,0,0,8903778748,-6793602953,0,0,0,6693417511,50157909,0,0,0,0,6643259602,0,0,0,208558796111,7390371744,7390371744,28346387359,-20956015615,0,0,0,0,56057850,-56057850,0,0,0,0,190112485310,0,20322485310,169790000000,0,11055939057,5025939057,0,0,6030000000,2948296513190,2216017297526,1918279498368,0,238165973432,0,11030003267,0,0,1668567469499,516052170,0,0,0,0,0,0,0,297737799158,184832053862,0,75549851923,37355893373,0,0,732279215664,732279215664,660000000000,2271699140,0,0,0,0,0,0,67307234687,0,0,0,2948296513190
2011,4,1661645620364,17852842302,17852842302,0,1326187410176,1353172212493,-26984802317,313457715267,282863261290,0,0,0,36370216930,-5775762953,0,0,0,4147652619,266149756,0,0,0,0,3881502863,0,0,0,209913818699,8576494889,6483946948,28361387359,-21877440411,2092547941,2152579273,-60031332,0,56057850,-56057850,0,0,0,0,191938334121,0,22148334121,169790000000,0,9398989689,3368989689,0,6030000000,0,1871559439063,1121782606662,828854312404,90861243,253797747480,0,15922359442,0,0,557652552288,1390791951,0,0,0,542138757,0,0,0,292386155501,189622172949,0,62123979762,40640002790,0,0,749776832401,749776832401,660000000000,2271699140,-6215238666,0,0,0,0,0,91020090090,0,0,0,1871559439063
2012,1,1655316850967,37313280485,37313280485,0,1222645399193,1239413297303,-16767898110,386171658010,355571938705,0,0,0,41686072248,-11086352943,0,0,0,9186513279,90638456,0,0,0,0,9095874823,0,0,0,144119410827,16482900301,8008099068,30746490995,-22738391927,1974801233,2152579273,-177778040,6500000000,6556057850,-56057850,0,0,0,0,121606510526,0,21606510526,100000000000,0,6030000000,0,0,6030000000,0,1799436261794,1037065540666,709392928785,0,253648627013,0,20918983388,4028704600,0,420074921833,10721691951,0,0,0,484593302,0,0,0,327188018579,210223161835,0,70422207373,46542649371,0,0,762370721128,762370721128,660000000000,2271699140,0,-6577533810,0,0,1800187891,4853369576,100022998331,0,0,0,1799436261794
2012,2,2218971220530,58850812236,58850812236,0,1597056158716,1612973740448,-15917581732,555181650071,521720197895,786524342,0,0,41378070482,-8703142648,0,0,0,7882599507,222874057,0,0,0,0,7659725450,0,0,0,164887484932,15477031145,7091938756,29695918540,-22603979784,1885092389,2152579273,-267486884,6500000000,6556057850,-56057850,0,0,0,0,143380453787,0,23380453787,120000000000,0,6030000000,0,0,6030000000,0,2383858705462,1668370234655,1083710419891,0,257749795997,5351046292,13400296251,13949224908,26996515886,756472184970,9791355587,0,0,0,484593302,0,0,0,584175221462,221848736223,0,309958549383,52367935856,0,0,715488470807,715488470807,660000000000,2271699140,0,-6577533810,0,0,1800187891,6908485087,51085632499,0,0,0,2383858705462
2012,3,1693644288237,56722517929,56722517929,0,1230609651951,1245559200387,-14949548436,398466748199,372428850135,1592026890,0,0,41576013822,-17130142648,0,0,0,7845370158,121824092,0,0,0,0,7723546066,0,0,0,214261170767,14704883647,6409500111,29829635722,-23420135611,1795383536,2152579273,-357195737,6500000000,6556057850,-56057850,0,0,0,0,193526287120,0,23380453787,170145833333,0,6030000000,0,0,6030000000,0,1907905459004,1165118128781,710065650657,0,230915003169,6490611667,15934550502,22150635849,27696792788,399979601095,6898455587,0,0,0,484593302,0,0,0,454567884822,216298942741,0,180997715966,57271226115,0,0,742787330223,742787330223,660000000000,2271699140,0,-6577533810,0,0,1800187891,6908485087,78384491915,0,0,0,1907905459004
2012,4,1297992519152,15192029865,15192029865,0,909240014872,938977200387,-29737185515,367618992026,364057775133,1309652500,0,0,12505089930,-10253525537,0,0,0,5941482389,422588502,0,0,0,0,5518893887,0,0,0,267139214827,14255916422,7755916422,32408779425,-24652863003,0,0,0,6500000000,6556057850,-56057850,0,0,0,0,246852343859,0,26706510526,220145833333,0,6030954546,0,0,6030954546,0,1565131733979,806345706912,273501862623,0,187251015729,8410943948,14066558587,27400236674,22099956671,10089711694,4183439320,0,0,0,0,0,0,0,532843844289,239718382113,0,237981483726,55143978450,0,0,758786027067,758786027067,660000000000,2271699140,0,-6577533810,0,0,1800187891,6908485087,94383188759,0,0,0,1565131733979
2013,1,1275693598678,71060221385,71060221385,0,916097610662,925307939365,-9210328703,278832425129,271949700780,3743565979,0,0,13534569776,-10395411406,0,0,0,9703341502,0,0,0,0,0,9703341502,0,0,0,272961086483,13767717338,7267717338,32601984498,-25334267160,0,0,0,6500000000,6556057850,-56057850,0,0,0,0,253133077854,0,23837143685,246235833333,-16939899164,6060291291,24336745,0,6035954546,0,1548654685161,778547727952,392647606016,45000000000,273006645718,10098999069,17921210580,6045610763,20504322754,8595867547,11474949585,0,0,0,0,0,0,0,385900121936,248451889215,0,78875955345,58572277376,0,0,770106957209,770106957209,660000000000,2271699140,0,-6577533810,0,0,1800187891,9062277776,103550326212,0,0,0,1548654685161
