Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2005,0,26225916000,20312744000,-10552829000,-10552829000,0,0,0,-17336627000,2049179000,0,0,0,0,20698383000,-4881856000,-583066000,1062273000,1062273000,0,0,-4402649000,0,721640000,-2247719000,-8424048000,-3473795000,-1627412000,0,0,0,-1846383000,0,-4950253000,0,0,-14352776000,6345607000,0,0,0,0,0,0,0,-11579971000,-11579971000,0,0,-5234364000,0,0,2218831000,0,2218831000,354153000,-800484000,-446331000,0,-3461864000,0,0,-3461864000,0,-3461864000,0
2006,0,40215762000,8999103000,-25466313000,-25466313000,0,0,0,2274248000,7294529000,87515000,0,87515000,0,33404844000,-5517172000,-489203000,2045937000,2045937000,0,0,-3960438000,0,-6235716000,-1496159000,-6872449000,-2449039000,-1981488000,0,0,0,-467551000,0,0,-2287870000,-2135540000,-18564762000,14840082000,0,0,0,0,0,0,0,-16408019000,-16408019000,0,0,-1567937000,0,0,20042537000,-5690757000,14351780000,259045000,-731000,258314000,0,13042157000,0,-3232476000,9809681000,0,9809681000,0
2007,0,147922924601,15445181983,-80363353742,-80363353742,0,0,0,-35235412765,22283166256,100300515,0,0,100300515,70152806848,-15376652534,-608626073,7739733615,7739733615,0,0,-8245544992,0,-17607719435,-830048000,-19093861892,-16000386892,-4115483272,0,0,0,0,-11884903620,0,0,-3093475000,-45777174319,24375632529,0,0,0,0,0,0,0,-39277012000,-39277012000,0,0,-14901379471,0,0,40482706919,-7010918252,33471788667,144695993,-13721360,130974633,0,18701383829,0,-4625397243,14075986586,0,14075986586,0
2008,0,269262056154,27107200945,-144211152188,-140782770549,-3428381639,0,0,-24307762803,40857053847,733106346,0,0,733106346,169440502301,-73279978345,-752139279,28778893555,28778893555,0,0,-45253224069,0,-36320916081,-4564743148,-49206297805,-45355518990,-25433035803,0,0,0,0,-19922483187,0,0,-3850778815,-135345181103,34095321198,0,0,0,0,0,0,0,-71877055064,-71877055064,0,0,-37781733866,0,0,71022518033,-110322997827,-39300479794,400618654,-197695961,202922693,0,-76879290967,0,0,-76879290967,0,-76879290967,0
2009,0,370082988587,36620218571,-225912379574,-221371392604,-4540986970,0,0,-14607635750,69030005183,5113370055,0,0,5113370055,240326567072,-138323829625,-3808051740,63886200114,63886200114,0,0,-78245681251,0,5315283480,-9039541378,-97597293303,-69861855435,-36956138000,0,0,0,0,-32905717435,0,0,-27735437868,-179567232452,60759334620,0,0,0,0,0,0,0,-66566561259,-66566561259,0,0,-5807226639,0,0,141305487450,-51627319946,89678167504,1120311418,-4311452550,-3191141132,0,80679799733,0,-2671681630,78008118103,0,78008118103,0
2010,0,505448687185,47618394650,-233512422064,-221750648661,-11761773403,0,0,-59322547216,59892040714,8275454429,0,0,8275454429,328399607698,-200600858163,-20457270645,129524333247,129524333247,0,0,-91533795561,0,-6373834519,-9540900445,-101915742431,-92163235794,-52284316509,0,0,0,0,-39878919285,0,0,-9752506637,-209364272956,119035334742,0,0,0,0,0,0,0,-126090749794,-126090749794,0,0,-7055415052,0,0,251930445947,-208000986358,43929459589,1943716376,-555021506,1388694870,-6714607417,31548131990,0,-8516219009,23031912981,0,23031912981,0
2011,0,623821018508,65754497203,-284806075314,-273632415806,-11173659508,0,0,-30827495640,69310834174,18883405268,0,0,18883405268,462136184199,-353405742630,-19575088192,199830717832,199830717832,0,0,-173150112990,0,-2783468469,-12106589819,-141969890458,-93819057526,-62907172611,0,0,0,0,-30911884915,0,0,-48150832932,-330010061736,132126122463,0,0,0,0,0,0,0,-184146111594,-184146111594,0,0,-52019989131,0,0,289942921726,-139864418193,150078503533,839833726,-942368569,-102534843,2565097943,100521077502,0,-21455564893,79065512609,0,79065512609,1199
2012,0,670376718737,83881976126,-271477927604,-265217214654,-6260712950,0,0,-48835841178,77395256583,18451048467,0,0,18451048467,529791231131,-254393282386,-16774306370,113550744894,113550744894,0,0,-157616843862,0,-7611976396,-14483423018,-159499304720,-76111968663,-76111968663,0,0,0,0,0,0,-19111504064,-64275831993,-339211547996,190579683135,0,0,0,0,0,0,0,-198953844088,-198953844088,0,0,-8374160953,0,0,159797041103,-43333646557,116463394546,821425115,-303670288,517754827,2230633159,110837621579,0,-26659457570,84178164009,0,84178164009,1295
2013,0,855868056390,83656928441,-354022977601,-351246497291,0,-2776480310,0,-29534359172,89933749470,34339170083,0,0,34339170083,680240567611,-771017274341,-20020626410,603045909671,603045909671,0,0,-187991991080,0,-30737301055,-11709869394,-204862598797,-95791860453,-95791860453,0,0,0,0,0,0,-17425404188,-91645334156,-435301760326,244938807285,0,0,0,0,0,0,0,-249750899429,-249750899429,0,0,-4812092144,0,0,139929751583,-16459588462,123470163121,2444010441,-1089496836,1354513605,5580487418,125593072000,0,-29191254911,96401817089,1747356326,94654460763,1444
2014,0,1219542615314,88213006696,-439377085814,-512782701025,73405615211,0,0,0,66859033579,28068821265,0,0,28068821265,798371665857,-406804962581,0,822961543,0,822961543,0,-252250160453,0,-2699454268,-7949729210,-286418129971,-286418129971,-73733488367,0,0,0,0,-212684641604,0,0,0,-549317473902,249054191955,0,0,0,0,0,0,0,-232405597525,-232405597525,0,0,16648594430,0,0,148880793220,-25801906269,123078886951,2446863715,-4154994773,-1708131058,0,138019350323,0,-30696212953,107323137370,7173831082,100149306288,1411
