Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2011,0,32413826355,3263778652,7098605571,0,0,-29489938111,0,0,13286272467,215519325670,-3973777,-120045173137,6147925907,0,-4647639695,0,-575000000,109681737435,-7967406978,181818182,-664854251750,715973472223,0,0,24562598498,67896230175,0,0,0,0,0,-10276822500,0,-10276822500,167301145110,27737753835,118659026,195157557971
2012,0,26779487693,3845960133,-5717955469,0,0,-23435071403,0,0,1472420954,-36720575760,-45922593,18985296126,6309412854,0,-5174377382,518219131,-160019330,-14815546000,-6843942730,0,-271015258769,267925800000,-9809489800,0,24945448041,5202556742,0,0,0,0,0,-15301659000,0,-15301659000,-24914648258,195157557971,260670294,170503580007
2013,0,34672132364,4808439033,-5760413163,190686763,0,-18942069581,0,0,14968775416,26139225405,-6791506476,18515872332,-742460208,0,-8626373765,3758727407,-9431938440,37790321671,-5942149345,374545452,-65000000000,2510370573,0,0,19482767749,-48574465571,0,0,0,0,0,-20404210500,0,-20404210500,-31188354400,170503580007,133273661,139448499268
2014,0,54139025739,5045644664,-1848689525,-169305810,0,-15153274519,0,0,42013400549,54788844610,3799558421,-94288158212,919262278,0,-8059608120,65750000,-14208862266,-14969812740,-2851568182,0,-70911468712,25000000000,-1391175000,17309250000,13020794954,-19824166940,0,0,0,0,0,-25500000000,0,-25500000000,-60293979680,139448499268,188408318,79342927906
2015,0,59041019328,3802102386,378161123,-347547896,0,-44754078637,0,0,18119656304,40974405559,2310513504,-67694624865,117615730,0,-6415588488,197740000,-2465182680,-14855464936,0,190909092,-43795918250,46000000000,0,0,21239179621,23634170463,0,0,0,0,0,-26474889500,0,-26474889500,-17696183973,79342927906,347547896,61994291829
2016,0,45142465632,3623736352,224588959,56275309,0,-33516774420,0,0,15530291832,34275283642,375352844,-17399825894,-6141164,0,-5018414827,228500000,-2357467245,25627579188,0,0,-94460269116,63826206908,0,0,20143178550,-10490883658,0,0,0,0,0,-20543160000,0,-20543160000,-5406464470,61994291829,-46671502,56541155857
2017,0,47661325876,3301104076,-149790207,43771272,0,-42061204044,0,0,8795206973,-4269094294,1441141747,10436370360,-581965906,0,-4697849078,225000000,-1309904018,10038905784,0,460636361,-87000000000,72960269116,0,0,20110366261,6531271738,0,0,0,0,0,-25719300000,0,-25719300000,-9149122478,56541155857,-51426029,47340607350
2018,0,59681474680,3152284985,-172915400,-530654410,0,-56745718811,0,0,5384471044,-10324060926,191045938,25314422155,322868943,0,-3275629094,241000000,-5467433017,12386685043,-108000000,773454546,-79100000000,68000000000,-6080000000,6000000000,26610312165,16095766711,0,0,0,0,0,-23064960000,0,-23064960000,5417491754,47340607350,547095584,53305194688
2019,0,43447242450,2971898495,-49493510,50878176,0,-41329774941,0,0,5090750670,721893787,202759973,13680468844,307053857,0,-4433827242,0,-6227065171,9342034718,-974442182,736050910,-74700000000,40400000000,0,2145853908,26894918471,-5497618893,0,0,0,0,0,-22941630000,0,-22941630000,-19097214175,53305194688,-52862037,34155118476
