Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,ST liabilities/ Equity,ST liabilities/ Total Assets,ROE %,ROA %,Net Profit per Employees,Dividend Yield,Cash Dividend Ratio,Dividend Payout Ratio,Gross profit margin %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,Total assets growth rate,Equity growth rate,Capital growth rate,Net Interest Margin (NIM),Average Yield on Earning Assets (YOEA),Average Cost of Financing (COF),Non-interest income/ Net Interest Income,Cost-to-Income Ratio,Preprovision ROA % %,Average Loans Growth %,Aver Deposit Growth %,CAR - Tier 1,CAR - Tier 2,Equity/Liabilities,Equity/Loans,Equity/Assets,Loans/Deposit Ratio,NPLs/Loans Ratio,Loan-loss reserves/NPLs,Loan-loss reserves/Loans,Provision Charges/Loans
2011,0,2022972200,2022972200,14083.681426764,11060.0536181367,13594.5753480943,8477.71561072367,3086.44626950385,3086.44626950385,2706.76865950012,3162,0,15.159387511014,0.937691820580991,0.267622225966942,0.0150758747280006,259024891.101431,0,0,0,0.594268545516817,0.375076120104687,0.279062505125886,0.46179764585122,19.5042657858074,50.8014928941757,7.75973333365365,7.75973333365365,8.84818874931967,1.70054968401134,2.16545062319823,1.76173211643256,2.82505348135352,0.252620762307008,0.567987166794631,0.333333377273083,0.0507401837237678,0.141163133728489,-0.107445532029487,0.103191162593636,-0.405731454483183,0.0321043421543183,0.252896186260633,0.249394551116665,0,0,0.06596572581006,0.0970946301603611,0.0618555215307816,1.14055304866209,0.0075116334725027,-1.37761634646314,0.0103481490603594,-0.0185894138808559
2012,0,2621754500,2621754500,12825.2019782935,8376.65273388488,12028.1124720106,-3379.12760329009,2346.34669264418,2346.34669264418,2007.18478789681,2053,0,13.9686672804447,0.932793764833108,0.198068186829014,0.012760765258791001,255197884.256378,0.0668058455114822,1.46646668290261,0.681911162155198,0.570354420255021,0.371918582892711,0.280105522717068,0.349755855277031,-20.4510521104144,62.1035501642935,10.2073577085106,10.2073577085106,11.9321350701823,1.86741698419526,2.85913726650246,1.99116861068032,-7.08762817263281,0.0931957624981159,0.18018510193572,0.29599136359857,0.0402556616695163,0.110715517796931,-0.0818875634766165,0.183254321492741,-0.429645579744979,0.0259836321704366,0.136050142629537,0.123726591603367,0,0,0.0715887908218658,0.100866706224766,0.0667775777105781,1.15306113007465,0.0146689864602804,-0.751177301576525,0.011019009666096,-0.0139056181211096
2013,0,3723404600,3723404600,14522.9089527364,5850.47861841284,13608.9926944818,615.018577352566,1555.68615884505,1555.68615884505,1254.52106386719,1504,0,9.65481379025069,0.905810964839545,0.13209810803626898,0.0107277638802548,240300725.990458,0.0417536534446764,1.55568615884505,0.642803173579949,0.545088554519597,0.355799168910661,0.265907502669772,0.244278856718699,26.034487178462,34.7076029331278,15.3951360072398,15.3951360072398,19.0909508734525,1.64911864957243,4.09368216894661,1.75986574007871,38.9419131095131,0.144654974945607,0.60819093655165,0.420195750593734,0.0358642570056413,0.0868893505339458,-0.0591629815670328,0.182395277627849,-0.454911445480403,0.021991035408947,0.128789834745243,0.26077589091092,0,0,0.1035752756837,0.143705159062755,0.0938196204005738,1.03235134162325,0.0100196745603235,-0.875323482816853,0.00877045643283382,-0.011621085617083
2014,0,3723404600,3723404600,14780.5137803182,5648.22662570702,13704.202062811,4970.72303128164,1534.31700653751,1534.31700653751,1252.73680974665,1266,0,11.0110924492575,0.916431311359151,0.104719303305602,0.00923212052246408,236999917.029662,0.0417536534446764,1.53431700653751,0.651755794753717,0.533799291728404,0.347277278815146,0.271645794018658,0.235834097106765,2.63961862924,14.8014095932205,15.6095512843515,15.6095512843515,19.1181418264891,1.62037669028069,4.24026895291264,1.74763914675433,4.8182125315127,0.14725531213008,0.0177378256945684,0,0.0307672049163187,0.0712367802428025,-0.0470062232816468,0.168072640441927,-0.466200708271596,0.0181416370308465,0.168966045797016,0.163743934343098,0,0,0.0908175101252037,0.125114135394671,0.0832280098984134,1.03698385020736,0.0111513898431407,-0.890187070693644,0.00992682305862831,-0.00961254076791835
2015,0,3723404600,3723404600,15069.5806735588,6108.35685168354,13917.1971802366,-323.178952940006,1530.29864119521,1530.29864119521,1086.69535940306,1208,0,12.8920238596421,0.928016248020915,0.10253224783323599,0.00790979562880059,236379215.930305,0.0292275574112735,2.18614091599316,0.457427054534452,0.528688371783817,0.322963351378331,0.250525415975565,0.255046215101609,-14.0650598794799,26.6490564577793,15.6505399372859,15.6505399372859,22.0392953671544,1.58929438839813,3.92085802803074,1.72089248214509,-74.1075487191335,0.178817753284345,0.0195572966905648,0,0.027814844744999,0.0627074443668999,-0.0405993469090312,0.205103353498079,-0.471311628216183,0.0166921865226689,0.223272828891405,0.16214507907416,0,0,0.077567340154439,0.104278478723647,0.0719837519790846,1.09152823584508,0.00918495682914737,-0.920576702062223,0.00845545726636038,-0.00956897893237067
2016,0,3723404600,3723404600,16196.6722606509,7107.00846209407,15068.3535708153,9246.91557828553,1836.45526999671,1836.45526999671,1574.84731849985,1457,0,14.729040029407,0.936423329196798,0.117472040788576,0.007913963224066711,283670026.96536,0.0292275574112735,2.62350752856673,0.381169098663238,0.513621357020494,0.323837775356217,0.258400602699663,0.296743568354659,21.4409038679181,27.1486274631992,13.0414284471208,13.0414284471208,15.2078234624129,1.47869881013679,3.36991297080054,1.58942381378593,2.59005284489042,0.216918024332695,0.0747924983121591,0,0.0273197930781428,0.0646148369268044,-0.0438477469706531,0.174371898905387,-0.486378642979506,0.0157305381182872,0.230278039283275,0.328830053056793,0,0,0.0678930872618629,0.0910995101016945,0.0635766708032024,1.01057559221264,0.0101856862476273,-1.02310182713413,0.0104209942105625,-0.00836970165879635
2017,0,3723404600,3723404600,17125.5315632365,8760.76427471782,15769.3021059275,6432.06945600271,1996.12016378773,1996.12016378773,1594.29598384231,1546,0,16.1733079581878,0.941770100295487,0.11980721169209,0.0072736933903960995,308332835.511305,0,0,0,0.538018483825963,0.282226569265911,0.227847719810042,0.36579391543707,3.22554349603089,31.3426357460126,11.9982756722189,11.9982756722189,15.0223046678444,1.3984967363824,2.73377975356738,1.51877361719118,3.72352944317924,0.154436385631827,0.0573487743431234,0,0.0277453369764158,0.0668983397780065,-0.0456258860761482,0.177440228520037,-0.461981516174037,0.0171754252927281,0.19441485565632,0.149414050448387,0,0,0.0618302701330647,0.0806453092015141,0.0582298997045134,1.05014072138025,0.0113965689723411,-0.921396326387886,0.0105007567845412,-0.0114876267345356
2018,0,3723404600,3723404600,18079.2423149501,7639.65511564336,16751.1003236124,6558.33507859984,1416.6612460005,1416.6612460005,1036.15968836693,1417,0,16.2957971983442,0.942182485806683,0.0804812012656206,0.00466930916030606,218826094.171334,0,0,0,0.504876812442251,0.230568166306077,0.185435235564453,0.318983512135422,9.39587915553568,7.88309321427819,16.9059470410554,16.9059470410554,23.114197810327,1.32472365726274,3.13495827199827,1.42975682416754,3.65184146783686,0.0632191530778889,0.0556894101763807,0,0.0204899762782037,0.0681434922618757,-0.0529327872128603,0.263798906816871,-0.495123187557749,0.0127129340763468,0.0938902366805567,0.0967955378393994,0,0,0.0613655157724724,0.0778290143285191,0.0578175141933172,1.0473590041417,0.015850314158918,-0.952632028890068,0.0150995169357551,-0.00942593378288566
2019,0,3723404600,3723404600,20775.2920539444,10882.3483754626,19546.6871905352,-415.393212975028,2541.02575905933,2541.02575905933,2239.39959412415,2044,0,15.039226864964,0.937652855189398,0.130796870961531,0.00786799378875636,392502260.941713,0,0,0,0.61167076914739,0.290749543934353,0.233499762311305,0.454377802733303,-5.17254453111443,13.0113760561531,9.42532751374631,9.42532751374631,10.6948309104106,1.15281171199963,2.20081173416596,1.22527156476914,-57.6562140446907,0.0656381453515287,0.149124044693224,0,0.0286833000560178,0.0714880894906491,-0.0455371525926825,0.201570575676638,-0.38832923085261,0.0206108210337245,0.0813306586103253,0.0810944560892011,0.181428721861804,0,0.0664927797804315,0.0827084583494679,0.0623471448106015,1.04758783598512,0.0115617950689145,-1.19718875015478,0.0138416509880995,-0.0144467875159253
