Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2009,4,5434887249252,-2963160429422,2471726819830,308615709087,-65097887973,243517821114,-26360803106,4706734485,15258197386,49838862682,-34746500205,15092362477,-64062172597,2659878959589,-2145792894956,514086064633,82184628154,596270692787,158406149316,0,158406149316,752277857215,-2398984888,0
2010,1,5905752421630,-3656357341894,2249395079736,365251445154,-49181404894,316070040260,125592056621,12403318060,-7069440280,92202358716,-43152599671,49049759045,753708100,2746194521542,-1293616441716,1452578079826,-281465075792,1171113004034,-183380383200,0,-183380383200,984225763276,-3506857558,0
2010,2,7601096578370,-4523688658106,3077407920264,440695554846,-68934595106,371760959740,-101484056621,-10480318060,9079440280,141149641284,2963599671,144113240955,59860291900,3550257478458,-2119226558284,1431030920174,-424752924208,1006277995966,-322947616800,-18704000000,-341651616800,662484236724,-2142142442,0
2010,3,8505279284147,-5495598607123,3009680677024,239523743771,-58097344274,181426399497,67449678135,-54570522540,-6775703680,338309111283,-60615186772,277693924511,58597960373,3533502413320,-1678264077988,1855238335332,-370463088610,1484775246722,-283733986998,18704000000,-265029986998,1226446802927,6701543203,0
2010,4,9901507473289,-6156293488103,3745213985186,568107895627,-89838621890,478269273737,68715202807,394843404,-254282330992,995774234382,-32049898634,963724335748,-32477158053,4969558151837,-2149683777346,2819874374491,-1941567039218,878307335273,-308272225774,0,-308272225774,560109602263,-9925507236,0
2011,1,12047928622509,-7847003676853,4200924945656,460335645539,-72502711889,387832933650,154100274628,-5266293808,7546304145,328140118840,-57830771738,270309347102,67417079827,5082864591200,-1938012794695,3144851796505,-1983019846405,1161831950100,-164690348189,0,-164690348189,995906170557,-1235431354,0
2011,2,13750062377491,-8593255323147,5156807054344,490928354461,-168873288111,322055066350,119119725372,-10701706192,-194568304145,290156881160,-14699228262,275457652898,75583920173,5743753408800,-3266707205305,2477046203495,255149846405,2732196049900,-810334651811,0,-810334651811,1918368829443,-3492568646,0
2011,3,14866761565379,-9509774401489,5356987163890,381656816475,-386580284560,-4923468085,108167136071,16818733139,-77031999179,465516224290,-190775538693,274740685597,35857904181,5710616155614,-3177063971438,2533552184176,-471004975228,2062547208948,-480346742935,0,-480346742935,1579330984978,-2869481035,0
2011,4,15126753046050,-9781500963900,5345252082150,506508025549,-155168466812,351339558737,-13753912440,9405045810,-63680469801,455735939561,-139664425575,316071513986,66347027148,6010980845590,-894718931509,5116261914081,-2707211220227,2409050693854,-630537772828,0,-630537772828,1770522478106,-7990442920,0
2012,1,14350898555059,-9991873485068,4359025069991,404245131686,-105218179421,299026952265,115863135751,11856836503,4833048121,226247976587,-33745140836,192502835751,56829335979,5039937214361,-2178359026590,2861578187771,-844957815456,2016620372315,-476314680194,0,-476314680194,1534721635354,-5584056767,0
2012,2,13061626444941,-8376667514932,4684958930009,457869868314,-138767820579,319102047735,78590864249,17023163497,40362951879,330982023413,-23168859164,307813164249,31128664021,5478979785639,-3213920973410,2265058812229,-1490292184544,774766627685,-199233319806,0,-199233319806,570616364646,-4916943233,0
2012,3,11409797214465,-6729649562548,4680147651917,397204796992,-147419734702,249785062290,86199277224,3176052069,-3084169287,389174154045,-122776038416,266398115629,339804277708,5622426267550,-1666335044073,3956091223477,-466253112187,3489838111290,-777955383614,0,-777955383614,2708116452950,-3766274726,0
2012,4,11844914159804,-7142546990649,4702367169155,510476533955,-180084934985,330391598970,82743149952,2099921138,475452944859,565332189804,-74401091295,490931098509,-261808067574,5822177815009,-2374871261577,3447306553432,-1550888057374,1896418496058,-545708940501,0,-545708940501,1346842544087,-3867011470,0
2013,1,11670995494339,-7025176655036,4645818839303,434485349358,-130451286422,304034062936,98278065375,5182796882,-3710735282,267061180144,-83087148131,183974032013,50070108659,5283647169886,-2567419461957,2716227707929,-1346409120611,1369818587318,-327362452075,0,-327362452075,1039551682708,-2904452535,0
2013,2,11285481505661,-6618170344964,4667311160697,503685650642,-137201713578,366483937064,-22721065375,4036203118,90709735282,365544819856,-163979851869,201564967987,58735891341,5366120830114,-2084690538043,3281430292071,-514688879389,2766741412682,-691897547925,0,-691897547925,2069842317292,-5001547465,0
2013,3,10791494846290,-6161684977302,4629809868988,569524009611,-148087244642,421436764969,103339746331,7810358388,2421092378,793844456471,-102100226826,691744229645,49191401797,5905753462496,-2198744068498,3707009393998,-796825875834,2910183518164,-720111165138,0,-720111165138,2186729304089,-3343048937,0
2013,4,10529815406900,-6196493739012,4333321667888,589006197946,-153886798254,435119399692,112553750843,1703737792,-66026059292,505226786923,-111304743556,393922043367,15975537528,5226570077818,-3055692473079,2170877604739,-1465121999959,705755604780,-203362355441,0,-203362355441,498113130779,-4280118560,0
2014,1,10276953122961,-6052723284513,4224229838448,550347669013,-157530491810,392817177203,122511660979,23324338313,-5314926178,559288263097,-369647001555,189641261542,40703720122,4987913070429,-2505395589462,2482517480967,-1024812934033,1457704546934,-317745507021,0,-317745507021,1135626779842,-4332260071,0
2014,2,10318160877039,-5823083715487,4495077161552,595489330987,-167242508190,428246822797,71938339021,37039661687,-130281073822,447722736903,-542825998445,-95103261542,54328279878,4861245929571,-1753639410538,3107606519033,-692642065967,2414964453066,-530571492979,0,-530571492979,1882187220158,-2205739929,810
2014,3,10285783175200,-5776430395742,4509352779458,546846586069,-299670315293,247176270776,114809187473,55636768816,2196688686,328958749953,-151020437951,177938312002,48663793160,5155773800371,-2773068791685,2382705008686,-775245756517,1607459252169,-356044271821,0,-356044271821,1247708628236,-3706352112,0
2014,4,10194690620246,-5843164204419,4351526415827,711783246352,-312239354489,399543891863,77280008323,76422880757,-20275202643,2406927889304,-1287919500392,1119008388912,22688957492,6026195340531,-2794581954959,3231613385572,-1409264405204,1822348980368,-370907247449,0,-370907247449,1446590246126,-4851486793,0
2015,1,10291744000000,-5599318000000,4692426000000,435877000000,-164946000000,270931000000,37322000000,99377000000,-43233000000,605236000000,-420610000000,184626000000,14546000000,5255995000000,-2181783000000,3074212000000,-1510240000000,1563972000000,-315938000000,0,-315938000000,1245088000000,-2946000000,0
2015,2,10449777000000,-5521654000000,4928123000000,782866000000,-376316000000,406550000000,27681000000,15062000000,-64430000000,776447000000,-384695000000,391752000000,38822000000,5743560000000,-2403077000000,3340483000000,-1025872000000,2314611000000,-527471000000,0,-527471000000,1781473000000,-5667000000,0
2015,3,10975775000000,-6066734000000,4909041000000,672601000000,-286603000000,385998000000,30394000000,19186000000,-74160000000,1069615000000,-427917000000,641698000000,-146000000,5912011000000,-2780890000000,3131121000000,-1284224000000,1846897000000,-420100000000,0,-420100000000,1423112000000,-3685000000,0
2015,4,10754435000000,-6445040000000,4309395000000,759519000000,-363096000000,396423000000,-75630000000,-4448000000,234630000000,1656826000000,-672616000000,984210000000,-12262000000,5832318000000,-3353707000000,2478611000000,-858650000000,1619961000000,-365054000000,0,-365054000000,1248248000000,-6659000000,0
2016,1,12274287000000,-6896688000000,5377599000000,706910000000,-330117000000,376793000000,221478000000,82565000000,31562000000,794243000000,-393869000000,400374000000,1721000000,6492092000000,-2645942000000,3846150000000,-1441187000000,2404963000000,-481332000000,0,-481332000000,1919475000000,-4156000000,0
2016,2,13130104000000,-7243933000000,5886171000000,866718000000,-438303000000,428415000000,122273000000,-23094000000,-5830000000,341604000000,-315240000000,26364000000,13520000000,6447819000000,-3011846000000,3435973000000,-1567992000000,1867981000000,-376930000000,0,-376930000000,1488343000000,-2708000000,0
2016,3,13940446000000,-8000955000000,5939491000000,836739000000,-442904000000,393835000000,130955000000,40873000000,-1393000000,911034000000,-228456000000,682578000000,40934000000,7227273000000,-3046766000000,4180507000000,-1968255000000,2212252000000,-432939000000,0,-432939000000,1774946000000,-4367000000,0
2016,4,13544748000000,-8444130000000,5100618000000,924130000000,-425148000000,498982000000,210433000000,83575000000,16616000000,499447000000,-310000000000,189447000000,94300000000,6193971000000,-4144289000000,2049682000000,-81175000000,1968507000000,-397580000000,289000000,-397291000000,1562463000000,-8753000000,0
2017,1,14872601000000,-8707077000000,6165524000000,947528000000,-435456000000,512072000000,267805000000,113039000000,-17759000000,802052000000,-146761000000,655291000000,27131000000,7723103000000,-3114304000000,4608799000000,-2064726000000,2544073000000,-504946000000,0,-504946000000,2031656000000,-7471000000,0
2017,2,16681904000000,-9362507000000,7319397000000,918980000000,-522096000000,396884000000,85590000000,64825000000,71433000000,437617000000,-299299000000,138318000000,531763000000,8608210000000,-3559871000000,5048339000000,-2778783000000,2269556000000,-387694000000,0,-387694000000,1872815000000,-9047000000,0
2017,3,16218202000000,-9785960000000,6432242000000,1044872000000,-670834000000,374038000000,164109000000,137879000000,-151533000000,677729000000,-125903000000,551826000000,98211000000,7606772000000,-3368615000000,4238157000000,-1819602000000,2418555000000,-466847000000,0,-466847000000,1950311000000,-1397000000,0
2017,4,17504492000000,-10348668000000,7155824000000,1390951000000,-818756000000,572195000000,192462000000,53774000000,-27859000000,1316514000000,-668084000000,648430000000,85941000000,8680767000000,-5025981000000,3654786000000,-1680984000000,1973802000000,-387360000000,-240000000,-387600000000,1577575000000,-8627000000,0
2018,1,17610625000000,-10377052000000,7233573000000,1244519000000,-652028000000,592491000000,233900000000,239351000000,79624000000,663578000000,-306995000000,356583000000,98995000000,8834517000000,-3455427000000,5379090000000,-2351397000000,3027693000000,-580758000000,-6398000000,-587156000000,2428579000000,-11958000000,0
2018,2,18513427000000,-11306566000000,7206861000000,1419963000000,-813157000000,606806000000,123759000000,-25992000000,50774000000,712121000000,-283707000000,428414000000,111345000000,8501967000000,-3663247000000,4838720000000,-2600786000000,2237934000000,-431336000000,5741000000,-425595000000,1808113000000,-4226000000,0
2018,3,19206080000000,-11699011000000,7507069000000,1552612000000,-766020000000,786592000000,181997000000,177889000000,-28387000000,825970000000,-282597000000,543373000000,120404000000,9288937000000,-3580668000000,5708269000000,-3378148000000,2330121000000,-449506000000,-7700000000,-457206000000,1871488000000,-1427000000,0
2018,4,18539734000000,-18275405000000,264329000000,1746696000000,-961808000000,784888000000,170213000000,-119773000000,116310000000,712644000000,-151999000000,560645000000,43494000000,1820106000000,-3384698000000,-1564592000000,527477000000,-1037115000000,189022000000,-452000000,188570000000,-833377000000,15168000000,0
2019,1,19658596000000,-11708960000000,7949636000000,1705592000000,-736267000000,969325000000,414492000000,131167000000,-82928000000,406494000000,-257074000000,149420000000,101155000000,9632267000000,-3237794000000,6394473000000,-3241532000000,3152941000000,-602724000000,-11133000000,-613857000000,2528201000000,-10883000000,0
2019,2,20296571000000,-12069366000000,8227205000000,1936032000000,-949985000000,986047000000,372703000000,4822000000,-159891000000,441966000000,-246361000000,195605000000,313652000000,9940143000000,-3619264000000,6320879000000,-4138916000000,2181963000000,-419272000000,5585000000,-413687000000,1766664000000,-1612000000,0
2019,3,20873022000000,-12543172000000,8329850000000,1861468000000,-769876000000,1091592000000,401667000000,176068000000,23423000000,517873000000,-260856000000,257017000000,96263000000,10375880000000,-3752698000000,6623182000000,-3501760000000,3121422000000,-604741000000,465000000,-604276000000,2511143000000,-6003000000,0
2019,4,21914502000000,-13222355000000,8692147000000,2384470000000,-1375712000000,1008758000000,375920000000,53507000000,-571774000000,994259000000,-96130000000,898129000000,116759000000,10573446000000,-5129759000000,5443687000000,-2119681000000,3324006000000,-658144000000,-12096000000,-670240000000,2655195000000,1429000000,0
2020,1,21511509000000,-13093071000000,8418438000000,1924473000000,-865447000000,1059026000000,393086000000,263099000000,164620000000,428781000000,-153401000000,275380000000,111118000000,10684767000000,-3317572000000,7367195000000,-4392768000000,2974427000000,-595321000000,25611000000,-569710000000,2414466000000,9749000000,0
2020,2,20352594000000,-12554695000000,7797899000000,1947948000000,-845467000000,1102481000000,643551000000,125970000000,-29150000000,475473000000,-280380000000,195093000000,138833000000,9974677000000,-3281706000000,6692971000000,-2207393000000,4485578000000,-855021000000,-20314000000,-875335000000,3571650000000,-38593000000,0
