Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2009,4,245411854961953,2204060874486,5300267832910,23842277994297,23842277994297,0,0,299034047483,302428045099,-3393997616,0,161658925459904,163121059874705,-1462134414801,0,0,0,38707902211994,35875052669997,2832849541997,0,1437349438600,0,1005058400000,432291038600,0,2872582705786,1775241996795,0,1097340708991,0,9089454396493,0,0,0,9089454396493,0,0,245411854961953,228215635209282,13718689754479,14807835887963,14807835887963,0,148507410941186,144863504052,16846880577436,8585256980212,25604697563954,16988991353654,12217857644494,11252972800000,4635000000,862686359590,0,0,97563484904,1925910961506,-7524979,0,2845230272633,0,207228399017,26387445160878,14556380118924,0,0,14556380118924,11831065041954,-720335553080,0,0,0,0,12551400595034,13003510325505,0,0,0,0,0,0,0,0
2010,1,263811693758527,2442567033380,1938307021938,25281894356962,25281894356962,0,0,478207125832,481601123448,-3393997616,19164935619,175032632727047,176702602217640,-1669969490593,0,0,0,45272598810032,41482040643264,3790558166768,0,1174306458600,0,1005058400000,169248058600,0,2800347498984,1699417537142,0,1100929961842,0,9371667790133,0,0,0,9371667790133,0,0,263811693758527,246105657855606,18394173162743,12693760980106,12693760980106,0,156690701351476,0,25466009929086,9213691920764,23647320511431,17509826985363,12217857644494,11252972800000,4635000000,862686359590,0,0,97563484904,1742732034156,-126528843850,0,3675766150563,0,196208917558,33415179192876,20547089568651,0,0,20547089568651,12868089624225,-612703103552,0,0,0,0,13480792727777,0,0,0,0,0,0,0,0,0
2010,2,295009569000000,2775147000000,5208491000000,33891953000000,33891953000000,0,0,301548000000,325820000000,-24272000000,12129000000,184911080000000,187091565000000,-2180485000000,0,0,0,54790044000000,48302317000000,6487727000000,0,1477333000000,0,1308085000000,169248000000,0,2703769000000,1920527000000,0,783242000000,0,8938075000000,0,0,0,8938075000000,0,0,295009569000000,281499957000000,26911333000000,20049744000000,20049744000000,0,155965141000000,5854000000,47353308000000,17875131000000,13339446000000,13298728000000,11341317000000,11252973000000,0,88344000000,0,0,0,153938000000,102175000000,0,1701298000000,0,210884000000,34341864000000,21474411000000,19706319000000,1768092000000,0,12867453000000,33959000000,0,0,0,0,12833494000000,0,0,0,0,0,0,0,0,0
2010,3,321339286721871,2654333155228,6429493893347,34676095134269,34676095134269,0,0,419209194667,468164892039,-48955697372,10549841969,204562934034449,207083325148467,-2520391114018,0,0,0,58211525556849,53507549588621,4703975968228,0,1514272053243,0,1023692536972,490579516271,0,2897352492642,1978056105669,0,919296386973,0,9963521365208,0,0,0,9963521365208,0,0,321339286721871,303973587730206,36516200435478,21902927338769,21902927338769,0,172936112864414,0,25253785868412,10337104778576,37027456444557,17174049474868,11448438238493,11252972800000,4635000000,90264020630,0,0,100566417863,2837760079482,0,0,2887851156893,0,191649516797,33581478862316,19531707383754,0,0,19531707383754,14049771478562,-624757544934,0,0,0,0,14674529023496,0,0,0,0,0,0,0,0,0
2010,4,367931806999764,2094299805949,4961484966947,51004235758147,51004235758147,0,0,223266574989,229730614898,-6464039909,19241692830,231317575448644,234087401717992,-2769826269348,0,0,0,61587580876974,61128835765335,727966871039,-269221759400,1970517039763,0,1659969409763,310547630000,0,3296368676675,2205068594112,0,1091300082563,0,11457236158846,0,0,0,11457236158846,0,0,367931806999764,350269510525022,43220677532780,31706254764754,31706254764754,0,203248911774168,0,28864496288333,10728283198395,32500886966592,17460721450708,15265872054761,15172291210000,0,90246366898,0,0,3334477863,1924980862160,118002476664,0,151866057123,0,201575024034,36764382461175,22239271961448,0,0,22239271961448,14525110499727,-839845054299,0,0,0,0,15364955554026,10702164000000,0,0,0,0,0,0,0,0
2011,1,395843604243584,2751628217796,1575221334089,56962605799652,54291980799652,2680000000000,-9375000000,214854696578,226069385156,-11214688578,32309843502,247146493820622,251442855869949,-4296362049327,0,0,0,67140306364250,66729331923650,680215200000,-269240759400,1929831300294,0,1619283670294,310547630000,0,3266594751940,2165199391941,0,1101395359999,0,14823758114861,6356434702528,5893441551892,0,2578599842097,14972639831,-4717981656,395843604243584,373024556838717,45954688739902,53492789648896,43227968865160,10264820783736,192415067196536,0,31266254701947,18470141833722,31425614717714,22615898913513,18806355899986,16858101340000,0,1944169509898,0,0,4085050088,596006058967,0,0,3213536954560,0,203148491354,14977002000000,0,0,0,0,14977002000000,-706002000000,0,0,0,0,15683004000000,29726695000000,0,0,0,0,0,0,29726695000000,0
2011,2,395852473000000,2904141000000,7267865000000,41713436000000,38894736000000,2840000000000,-21300000000,457508000000,472649000000,-15141000000,3172000000,258577602000000,263267485000000,-4689883000000,0,0,0,67464489000000,65347759000000,2578700000000,-461970000000,2386355000000,0,2071027000000,315328000000,0,3155505000000,2042465000000,0,1113040000000,0,11922400000000,1764891000000,5374996000000,0,4787231000000,14519000000,-4718000000,395852473000000,372909845000000,27690743000000,47841779000000,34078669000000,13763110000000,192208424000000,0,42411142000000,26261879000000,36495878000000,22735987000000,18802270000000,16858101000000,0,1944169000000,0,0,0,582090000000,279482000000,0,3072145000000,0,206641000000,47166932000000,31189946000000,23094130000000,8095816000000,0,15976986000000,0,0,0,0,0,15976986000000,0,0,0,0,0,0,0,0,0
2011,3,414985844043796,2937127357925,3303485269109,48106606842839,45033206592839,3090000000000,-16599750000,1044720224596,1061890103078,-17169878482,28010487735,269608615474366,273304581110222,-3695965635856,0,0,0,68111781181879,67729994162679,428700150000,-46913130800,2759982246250,0,2461542256250,298439990000,0,3330332897272,2212399305607,0,1117933591665,0,15755182061825,5346645956187,6583847162240,0,3994558462554,14065207115,-169869519156,414985844043796,390463026889976,25653313594437,41426206989754,26956440253991,14469766735763,223403322161332,0,50172016828897,13858972154974,35949195160582,24313305681076,18795591889898,16858101340000,0,1944169509898,-6678960000,0,0,581471086539,279481314621,0,4656761390018,0,209511472744,15871204000000,0,0,0,0,15871204000000,-514765000000,0,0,0,0,16385969000000,27513565100000,0,0,0,0,0,1547100000,27512018000000,0
2011,4,460838202820392,3729856858016,12131060010247,65425353548298,61951603548298,3500000000000,-26250000000,692850673747,707359795570,-14509121823,20236817549,290388554485755,293434365890012,-3045811404257,0,0,0,68038825788652,65440967167252,2700000000000,-102141378600,2865998945582,0,2567558955582,298439990000,0,3745478485367,2547534537557,0,1197943947810,0,13799987207179,5187871800752,6576434472946,0,2214189977248,13611490757,-178509043767,460838202820392,432120342533514,27293733230085,71515563664332,55319620369816,16195943294516,256011819143293,0,40050843475685,11089116636390,26159266383729,28509347671214,22173891119898,20229721610000,0,1944169509898,0,0,0,1484174219778,297973764342,0,4553308567196,0,208512615664,17703377448345,0,0,0,0,17703377448345,-469960000000,0,0,0,0,18173337448345,32198455000000,0,0,0,0,0,4596987000000,27601468000000,0
2012,1,406852354730364,2855360638198,6443593142962,21781937899474,17532052899474,4282000000000,-32115000000,506155188774,512296017366,-6140828592,20652855075,282099059453442,285880302798154,-3781243344712,0,0,0,70220717304192,67622858682792,2700000000000,-102141378600,2978446274335,0,2680006284335,298439990000,0,3797696811372,2446443169472,0,1351253641900,0,16148735162540,6871614991450,6891992846949,0,2562506804914,13157774399,-177379480773,406852354730364,376632192336551,10529462841923,51481016796188,37272512251646,14208504544542,241464180457495,0,37595264949489,8466739728047,27095527563409,30005956577047,22173891119898,20229721610000,0,1944169509898,0,0,0,1476203201628,300162436306,6055699819215,0,0,214205816766,49190996122855,32563994594235,0,0,32563994594235,16627001528620,-397293287451,0,0,0,0,17024294816071,0,0,0,0,0,0,0,0,0
2012,2,404867884000000,3082829000000,10453560000000,20950247000000,18462050000000,2507000000000,-18803000000,314702000000,324911000000,-10209000000,30947000000,279328757000000,284662581000000,-5333824000000,0,0,0,68039788000000,65893077000000,2400000000000,-253289000000,2998320000000,0,2700704000000,298440000000,-824000000,3920353000000,2361574000000,0,1558779000000,0,15748381000000,7797193000000,6405927000000,0,2095194000000,12705000000,-549933000000,404867884000000,374072771000000,427894000000,43844323000000,28419390000000,15424933000000,253374214000000,0,38200863000000,14223065000000,24002412000000,30587139000000,26219755000000,26217545000000,0,2210000000,0,0,0,1495225000000,302144000000,0,2570015000000,0,207974000000,51421835000000,35697342000000,28522972000000,7174370000000,0,15724493000000,152749000000,0,0,0,0,15571744000000,0,0,0,0,0,0,0,0,0
2012,3,443006977413049,2950885947922,6925073666297,40702112693986,21990938953986,18852568000000,-141394260000,899030964820,910757324806,-11726359986,72005087280,295218952199222,300970499257593,-5751547058371,0,0,0,69561467939182,67211756315282,2600000000000,-250288376100,2781207349741,0,2441062458631,340968600000,-823708890,3815159261233,2315631814114,0,1499527447119,0,20081082303366,10553630199107,7362480528931,0,2172406868601,12250341683,-7435293273,443006977413049,409804550091281,372348072229,61675999490217,23314159407077,38361840083140,270634244064422,0,38449773649855,13745298837457,24926885977101,32990451925608,26219755424864,26217545370000,0,2210054864,0,0,0,1495068915152,302100457481,0,4973527128111,0,211975396160,46762324723188,30982978748075,0,0,30982978748075,15779345975113,-388431664490,0,0,0,0,16167777639603,0,0,0,0,0,0,0,0,0
2012,4,503605815276743,2532148820268,12234144663932,57823734447118,21573150102870,36432502754248,-181918410000,694553614961,704267204984,-9713590023,74452903592,329683302443442,333356091577966,-3672789134524,0,0,0,72818374886917,70331582305517,2600000000000,-113207418600,2816189630405,0,2489904739295,327108600000,-823708890,5272878140678,2967263087267,0,2305615053411,0,19656035725430,9636430843870,7904096943685,0,2125157949407,11796625325,-9650011532,503605815276743,469756689670060,2785373796681,97141539236609,23239905820687,73901633415922,288271375199440,0,32920419429349,28669228660433,19968753347548,33633283199053,26219755424864,26217545370000,0,2210054864,0,0,0,2434602998218,302100731122,0,4676824044849,0,215842407630,43119071122561,25975766032152,0,0,25975766032152,17143305090409,-286078611675,0,0,0,0,17429383702084,0,0,0,0,0,0,0,0,0
2013,1,499847288619622,3305732865261,11643160830326,51874781693404,11803967717658,40373616096470,-302802120724,408824916528,415422161120,-6597244592,0,319746200264948,324625829432397,-4879629167449,0,0,0,83586829456864,81254777011789,2450000000000,-117947554925,2941654299881,0,2620369408771,322108600000,-823708890,5198668285438,2816300553399,0,2382367732039,0,21141436006972,10157173021490,8320726670237,267168999,2672891341335,11342908967,-9622195089,499847288619622,464981297074845,259918692185,87413212107329,19739930866993,67673281240336,302797098300021,90992388804,35219757985377,18464735159910,20735582441219,34647244684612,26219755424864,26217545370000,0,2210054864,0,0,0,2436314833272,302100463996,0,5689073962480,0,218746860165,49428090076629,32419331384519,0,0,32419331384519,17008758692110,-277289904338,0,0,0,0,17286048596448,0,0,0,0,0,0,0,0,0
2013,2,522220602000000,3279780000000,21351292000000,61746128000000,18519123000000,43553657000000,-326652000000,448747000000,453376000000,-4629000000,0,329247025000000,334607264000000,-5360239000000,0,0,0,77222490000000,75117486000000,2250000000000,-144996000000,2760773000000,0,2440641000000,322248000000,-2116000000,5371078000000,2938052000000,0,2433026000000,0,20793289000000,9700532000000,8375491000000,0,2728041000000,10890000000,-10775000000,522220602000000,474073589000000,256228000000,80785438000000,15784364000000,65001074000000,307267055000000,30353000000,28449477000000,28820524000000,28464514000000,47930929000000,41633051000000,32661443000000,0,8971608000000,0,0,0,2468779000000,320495000000,0,3508604000000,0,216084000000,51359194000000,34249031000000,18352675000000,15896356000000,0,17110163000000,0,0,0,0,0,17110163000000,0,0,0,0,0,0,0,0,0
2013,3,528608920350869,3455021136694,11483021576889,62862206158702,18463693763173,44734017526981,-335505131452,561274025086,564070544145,-2796519059,82565435925,339399258003775,345555669765645,-6156411761870,0,0,0,79167401920734,76722928805127,2586747900000,-142274784393,3098694831325,0,2778562390246,322248350000,-2115908921,5861772910827,2973368149542,0,2888404761285,0,22637704350912,10076678634217,9942764442512,0,2627883469272,10435476251,-9622195089,528608920350869,478290605131445,232914223732,76514892522742,12846732386661,63668160136081,329479805191960,0,31376428542946,15516654019890,25169910630175,50109676620026,41633051891177,32661443480000,0,8971608411177,0,0,0,2466585092175,315031824239,0,5695007812435,0,208638599398,51702314000000,32131317000000,0,0,32131317000000,19570997000000,292766000000,0,0,0,0,19278231000000,0,0,0,0,0,0,0,0,0
2013,4,576383611897467,2834504632991,10159563699174,73079475509539,59520680836020,13661254079112,-102459405593,820066521994,822692949055,-2626427061,164333978291,372989118506598,376288967727617,-3299849221019,0,0,0,82840024998125,80461692898991,2586747900000,-208415800866,3114375785509,0,2795383344430,321108350000,-2115908921,7080387967311,3464588888678,0,3615799078633,0,23301760297935,10500705052207,10033504244099,0,2781039488591,9981759893,-13488486962,576383611897467,522094238617564,147371183167,80464091233244,31865165300914,48598925932330,364497658846180,0,32424518798872,16564766121697,27995832434404,54076454561945,46205524371177,37234045560000,0,8971478811177,0,0,0,3347815102419,317641109182,0,4205473979167,0,212918717958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,558784227245910,3729929613594,6715208913334,69042430074499,63426810962672,5658054520732,-42435408905,3577004792268,3577984652741,-979860473,83023378426,349837758304576,354222562638432,-4384804333856,0,0,0,90709418434984,88335543724767,2586747900000,-212873189783,3151578951516,0,2833878676118,321108350000,-3408074602,6716352192857,3321146271654,0,3395205921203,0,25221522589856,11437458538934,10278124694579,0,3511462546820,9528043535,-5523190477,558784227245910,503374533616307,347732651211,72339453882616,37701121692740,34638332189876,354302318472554,0,32730831304208,7588613015969,36065584289749,55192442651574,46205524371177,37234045560000,0,8971478811177,0,0,0,3374963602965,316687057901,0,5295267619531,0,217250978029,48648647675493,30067824315453,0,0,30067824315453,18580823360040,1479133552565,0,0,0,0,17101689807475,0,0,0,0,0,0,0,0,0
2014,2,597636191000000,4343509000000,18014881000000,54066164000000,53420364000000,645800000000,0,3494314000000,3497800000000,-3486000000,0,372499172000000,377992284000000,-5493112000000,0,0,0,109097493000000,106766907000000,2586748000000,-256162000000,3727302000000,0,2775896000000,1029326000000,-77920000000,7288937000000,3626887000000,0,3662050000000,0,25104419000000,11350370000000,10272003000000,0,3485925000000,9074000000,-3879000000,597636191000000,544054345000000,569235000000,88388535000000,47635075000000,40753460000000,377690458000000,22389000000,31391083000000,5368838000000,40623807000000,53364042000000,46205524000000,37234046000000,0,8971478000000,0,0,0,3379895000000,338704000000,0,3439919000000,0,217804000000,54669633000000,35524598000000,0,0,35524598000000,19145035000000,1895309000000,0,0,0,0,17249726000000,12754600000,0,0,0,0,0,0,0,12754600000
2014,3,620999086766294,3673630421037,5096644742688,60469949227134,58889775727134,1580173500000,0,4732277330880,4735657160928,-3379830048,0,393466651016689,398879183072898,-5412532056209,0,0,0,115598553750585,108069630505784,7781181621151,-252258376350,3778571364699,0,2821904381307,1040326170000,-83659186608,7148030894527,3487258384338,0,3660772510189,0,27034778018055,11984045011394,11712165707533,0,3341241218044,8620610819,-2673918916,620999086766294,566184971360860,725729594701,93873419442827,48609012932605,45264406510222,397867365058654,418305553495,25808762452217,5357766122472,42133623136494,54602463538874,46205812623429,37234045560000,0,8971767063429,0,0,0,3379900411285,336011150927,0,4680739353233,0,211651866560,49127477901044,28484439978957,28484439978957,0,0,20643037922087,2279585086148,0,0,0,0,18363452835939,0,0,0,0,0,0,0,0,0
2014,4,661131588577250,4630739535450,9876450843820,75433624168791,67162061818791,8271562350000,0,3647897426715,3654333271530,-6435844815,0,435523078452520,439869026573815,-4345948121295,0,0,0,93404409859437,87338961822648,6708858089281,-643410052492,3784907741923,0,2843745306962,1030326170000,-89163735039,8872165234411,4661629583853,0,4210535650558,0,25958315314183,9877587853433,12706282187017,0,3376800469654,8166894461,-2355195921,661131588577250,605893410829510,4731403416270,103769864501216,42040235618617,61729628882599,424181173700182,415778486562,32021693238882,5294072720997,35479424765401,55012807832165,46208815611208,37234045560000,0,8974770051208,0,0,0,4250372214745,338462855927,0,4215157150285,0,225369915575,80515683544500,26392728000000,0,0,26392728000000,54122955544500,2496147031398,0,0,21884105769680,0,29742702743422,0,0,0,0,0,0,0,0,0
2015,1,645834914000000,4220288000000,9764518000000,56311199000000,54094559000000,2216640000000,0,4585769000000,4590830000000,-5061000000,0,444261060000000,450056795000000,-5795735000000,0,0,0,87116653000000,79575295000000,8200704000000,-659346000000,3852772000000,0,2880220000000,1030326000000,-57774000000,8642406000000,4464914000000,0,4177492000000,0,27080249000000,11191362000000,12481970000000,0,3408163000000,7713000000,-1246000000,645834914000000,589299508000000,1588186000000,77750049000000,32629935000000,45120114000000,428455767000000,926746000000,38351137000000,5363982000000,36863641000000,56307090000000,46208816000000,37234046000000,0,8974770000000,0,0,0,4251143000000,360735000000,0,5486396000000,0,228316000000,52727322000000,29329504000000,0,0,29329504000000,23397818000000,2506899000000,0,0,0,0,20890919000000,90331243000000,74018276000000,0,0,74018276000000,0,0,0,16312967000000
