Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2014,4,9203758696179,-5254768756680,327879854767,75229000952,0,188521879579,-2583340814639,-548615017597,1408664842561,0,-7082387053539,-3313261902221,0,-42183624994693,0,-1041870697122,655525230432,4005673821569,9896445058389,26313808641528,-2527066933,6212930786665,-63693401475,0,-7971880334378,-13166197069217,0,0,0,-13166197069217,-831403878103,1247468317568,-1658308965,0,0,0,0,10000000000,3133527051,427539657551,0,0,0,0,0,11869550000,11869550000,-12726787861666,99787760115534,3675458180,87064647712048
2015,1,10551686000000,-5964987000000,235521000000,249406000000,0,-80934000000,-2668001000000,-184941000000,2368456000000,0,6061129000000,1836440000000,0,-11742017000000,0,0,-844056000000,-3143218000000,-26019816000000,4274594000000,510968000000,6329444000000,69909000000,0,2111136000000,-18187031000000,0,-348000000,0,-18187379000000,-411397000000,112000000,-74000000,0,0,0,0,0,343000000,-411016000000,0,0,0,0,0,0,0,-18598395000000,87064648000000,23986000000,68490239000000
2015,2,10604615000000,-5754252000000,414125000000,538845000000,0,-86011000000,-1932051000000,-363694000000,3887802000000,0,180032000000,-342033000000,0,-31949819000000,0,-1557284000000,532580000000,336887000000,26057828000000,20748742000000,-560471000000,2344566000000,4540546000000,0,-15719789000000,8499587000000,0,0,0,8499587000000,-299447000000,8366000000,-185000000,0,0,0,-10000000000,11000000000,22181000000,-268085000000,0,0,0,0,0,0,0,8231502000000,68490239000000,-10386000000,76711355000000
2015,3,9691352000000,-5544198000000,386198000000,242427000000,0,-50088000000,-2253209000000,-510900000000,2354896000000,0,3906574000000,-8556550000000,-17058000000,-20386539000000,0,-1070726000000,-8647000000,568053000000,-12292010000000,19630311000000,-366275000000,11651628000000,3880975000000,0,2926097000000,2220729000000,0,0,0,2220729000000,-573137000000,8276000000,-10000000,0,0,0,-3860000000,28705000000,344549000000,-195477000000,0,0,0,-3096013000000,601000000,0,-3095412000000,-1070160000000,76083362000000,44733000000,75057935000000
2015,4,11449446000000,-6210714000000,468124000000,438214000000,0,-105895000000,-3098371000000,-649503000000,3442533000000,0,-3786707000000,-20011507000000,17058000000,-40822926000000,0,-395814000000,561751000000,10733990000000,7653349000000,24125243000000,117619000000,1889916000000,7074994000000,0,15563304000000,6162803000000,0,0,0,6162803000000,-731587000000,25544000000,-18039000000,0,0,0,0,0,6419000000,-717663000000,0,0,0,0,0,0,0,5445140000000,75057935000000,-15688000000,80487387000000
2016,1,12025558000000,-6609414000000,372440000000,387343000000,-97062000000,0,-3002049000000,-156711000000,3433218000000,0,1516170000000,8030005000000,-76370000000,-15312902000000,0,-3462000000,-504931000000,-9181175000000,5293248000000,10481104000000,-117619000000,909024000000,-4645856000000,0,7541236000000,7361690000000,0,0,0,7361690000000,-523923000000,582000000,-22000000,0,0,0,0,10210000000,4951000000,-508202000000,0,0,0,0,0,0,0,6853488000000,80882722000000,-19416000000,87716794000000
2016,2,12287412000000,-6859311000000,438552000000,137866000000,97062000000,-183027000000,-2238480000000,-481523000000,3298799000000,0,-4319972000000,494589000000,-88577000000,-39473751000000,0,-152612000000,-29014000000,649199000000,-16360364000000,72923364000000,0,-28655248000000,4248278000000,0,23589921000000,16124612000000,0,-35000000,0,16124577000000,-291158000000,10275000000,-7365000000,0,0,-24000000000,0,-736000000,7698000000,-305286000000,0,0,0,0,0,0,0,15819291000000,87716794000000,2134000000,103538219000000
2016,3,12792564000000,-6387701000000,380291000000,1298972000000,0,-200402000000,-2507035000000,-366075000000,5773135000000,0,555242000000,-5043275000000,-366797000000,-34150151000000,0,0,-336856000000,241081000000,-20741243000000,49121510000000,0,-18631794000000,-477036000000,0,37245440000000,13189256000000,0,0,0,13189256000000,-308115000000,893000000,-38000000,0,24000000000,0,-47514000000,0,23845000000,-306929000000,0,0,0,0,0,0,0,12882327000000,103538219000000,-441000000,116420105000000
2016,4,14517047000000,-6775592000000,581949000000,2237142000000,0,-255487000000,-3527340000000,-656426000000,6554287000000,0,24307000000,-11980195000000,-150946000000,-37209978000000,0,-1303133000000,-1487858000000,-127803000000,17791010000000,28936663000000,0,-1146318000000,3863570000000,0,-5629198000000,-1865592000000,0,-2708000000,0,-1868300000000,-1100714000000,1598000000,-1148000000,0,0,0,55267000000,45234000000,204833000000,-794930000000,0,0,0,0,0,0,0,-2663230000000,116420105000000,58073000000,113814948000000
2017,1,14756512000000,-7899488000000,499377000000,795855000000,0,-80820000000,-3726758000000,-510957000000,4143561000000,0,1678632000000,-7358502000000,371364000000,-36875323000000,0,560347000000,-456964000000,26170946000000,25260343000000,11267540000000,0,342306000000,21222000000,0,-23858954000000,1266518000000,0,-623000000,0,1265895000000,-327352000000,0,0,0,0,0,0,0,4296000000,-323056000000,0,0,0,-2606383000000,0,0,-2606383000000,-1663544000000,113814949000000,9370000000,112160775000000
2017,2,16112031000000,-9463590000000,497727000000,-52158000000,0,-379662000000,-2407655000000,-498405000000,4149193000000,0,-1665023000000,-2859887000000,-100246000000,-29689949000000,0,-2057594000000,-180488000000,-5208538000000,8810960000000,26603053000000,0,87913000000,-5568003000000,0,21251753000000,13573144000000,0,-1000000,0,13573143000000,-445718000000,39967000000,-4647000000,0,0,0,0,600000000000,9720000000,199322000000,0,0,0,0,0,0,0,13772465000000,112160775000000,106243000000,126039483000000
2017,3,15792787000000,-8958401000000,1263155000000,663988000000,0,143705000000,-2853542000000,-354033000000,6165871000000,0,1027588000000,-1149883000000,65489000000,-32818039000000,0,-294502000000,-1024734000000,4963328000000,-6109390000000,32110663000000,0,-45117000000,-451000000,0,-8681602000000,-5790779000000,0,0,0,-5790779000000,-275330000000,879000000,20000000,0,0,0,0,0,42368000000,-232063000000,0,0,0,0,0,0,0,-6022842000000,126039483000000,16978000000,120033619000000
2017,4,18265023000000,-9450258000000,580479000000,418046000000,0,-526685000000,-4234722000000,-430035000000,5792138000000,0,-2962662000000,14867490000000,-182679000000,-21653250000000,0,-5871952000000,-7475590000000,-15527254000000,2542085000000,27328819000000,0,-33828000000,4199552000000,0,13846636000000,14869505000000,0,0,0,14869505000000,-736249000000,2855000000,-650000000,0,0,0,0,0,175198000000,-558846000000,0,0,0,-2606383000000,0,0,-2606383000000,11704276000000,120033619000000,-62001000000,131675894000000
2018,1,17422120000000,-9276654000000,663570000000,-899709000000,0,7022000000,-3221112000000,-154727000000,4875201000000,0,400745000000,7455345000000,-123076000000,-33195647000000,0,-2473560000000,-3748274000000,12877790000000,-3191694000000,36337398000000,0,136469000000,-9000000,0,-31756464000000,-12405776000000,0,7883000000,0,-12397893000000,-67369000000,1193000000,-3942000000,0,0,0,0,0,-1413000000,-71531000000,0,0,0,0,0,0,0,-12469424000000,131707327000000,18883000000,119256786000000
2018,2,18578623000000,-10545897000000,662788000000,214944000000,0,19477000000,-3371226000000,-645179000000,5370931000000,0,-12269189000000,10751425000000,651838000000,-41021261000000,0,-187648000000,-1019894000000,22091760000000,-27766254000000,63176185000000,98116000000,44494000000,8615119000000,0,-42907848000000,-14372226000000,0,-7883000000,0,-14380109000000,-165764000000,1044000000,-642000000,0,0,0,0,0,184293000000,18931000000,0,0,0,0,0,0,0,-14361178000000,119256786000000,87953000000,104983561000000
2018,3,18640831000000,-10416255000000,896755000000,401950000000,0,448288000000,-2799446000000,-322725000000,6849398000000,0,15065136000000,4810499000000,-104283000000,-24005648000000,0,-45658000000,-1098496000000,10337433000000,39144230000000,-26697888000000,-98116000000,53011000000,10000002000000,0,-4472923000000,29736697000000,0,0,0,29736697000000,-328178000000,0,0,0,0,0,0,0,147864000000,-180314000000,0,0,0,0,0,0,0,29556383000000,105019573000000,24654000000,134600610000000
2018,4,27085129000000,-17930441000000,534970000000,2299225000000,0,-527617000000,-3900994000000,-450746000000,8286145000000,0,-1568175000000,-245270000000,-176883000000,26691533000000,0,0,-4866209000000,2086277000000,-12473671000000,66978000000,0,-664103000000,5099474000000,0,-312997000000,21923099000000,0,0,0,21923099000000,-308943000000,3847000000,-453000000,0,0,0,0,0,36543000000,-269006000000,0,0,0,0,0,0,0,21654093000000,134600610000000,-93141000000,156161562000000
2019,1,19658178000000,-11360357000000,1041412000000,1213870000000,0,-61289000000,-3019964000000,-43747000000,7649566000000,0,1251297000000,3358281000000,-36779000000,3335657000000,0,0,-2569672000000,-4551939000000,-15617195000000,-1203569000000,0,-27383000000,0,0,-728227000000,-9139963000000,0,0,0,-9139963000000,-187876000000,967000000,-495000000,0,0,0,0,0,3200000000,-184204000000,0,0,0,0,0,0,0,-9324167000000,155544719000000,117133000000,146337685000000
2019,2,20186724000000,-12478590000000,979939000000,493894000000,0,670000000,-3506979000000,-422473000000,5505936000000,0,-1188657000000,-3105251000000,42931000000,-19897530000000,0,-4047293000000,-5230205000000,13434148000000,603751000000,22247433000000,0,-4770000000,13300004000000,0,-14646621000000,7013876000000,0,0,0,7013876000000,100813000000,237191000000,-218759000000,0,0,0,0,304905000000,325007000000,749157000000,593300000000,0,0,-211000000,0,0,593089000000,8356122000000,146337685000000,210533000000,154904340000000
